iteration,wall_time,rmp_lp_obj,lp_obj_final_pool_if_available,irmp_obj_checkpoint_if_solved,columns_added_this_iter,total_columns,pricing_calls_cum,min_reduced_cost_scanned_last,num_negative_columns_scanned_last,num_columns_added_last,min_reduced_cost_added_last,min_reduced_cost_last,num_negative_columns_last,pool_gap_pct_if_available,relative_improvement_last_5,pricing_converged,objective_stabilized
1,0.35736289999476867,303262.75791263726,,,1005,1200,110,-3534.966124847194,3077,1005,-3534.966124847194,-3534.966124847194,3077,,,False,False
2,0.5913281999964966,267603.7371029679,,,511,1711,220,-3214.8304976588242,1172,511,-3214.8304976588242,-3214.8304976588242,1172,,,False,False
3,0.8757708999983151,262007.39417066134,,,142,1853,330,-804.9258339499131,772,142,-804.9258339499131,-804.9258339499131,772,,,False,False
4,1.173962399996526,261655.11008885296,,,11,1864,440,-423.39816573524513,412,11,-189.56668800000034,-423.39816573524513,412,,,False,False
5,1.475761000001512,261655.1100888529,,,14,1878,550,-762.9481630187481,451,14,-762.9481630187481,-762.9481630187481,451,,,False,False
6,1.7835544999979902,261655.11008885296,,,9,1887,660,-367.5529483441883,450,9,-304.5329869499126,-367.5529483441883,450,,0.13719999155244267,False,False
7,2.0942051999954856,261655.1100888529,,,6,1893,770,-377.3769483441879,458,6,-298.35301502028494,-377.3769483441879,458,,0.022229237448302592,False,False
8,2.3975315999996383,261655.11008885293,,,24,1917,880,-367.5529483441883,728,24,-9.824019000000135,-367.5529483441883,728,,0.001344557785949139,False,False
9,2.7058609000014258,261655.11008885296,,,5,1922,990,-423.39816573524513,389,5,-56.11146751661818,-423.39816573524513,389,,0.0,False,False
10,3.0150337999948533,261655.1100888529,261655.1100888529,261655.11008885296,0,1922,1100,-423.39816573524513,384,0,0.0,-423.39816573524513,384,2.2245948452411736e-14,0.0,False,False
