iteration,wall_time,rmp_lp_obj,lp_obj_final_pool_if_available,irmp_obj_checkpoint_if_solved,columns_added_this_iter,total_columns,pricing_calls_cum,min_reduced_cost_scanned_last,num_negative_columns_scanned_last,num_columns_added_last,min_reduced_cost_added_last,min_reduced_cost_last,num_negative_columns_last,pool_gap_pct_if_available,relative_improvement_last_5,pricing_converged,objective_stabilized
1,0.7162184999979218,293035.8626504589,,,1230,1586,125,-4989.1229086756175,12669,1230,-4989.1229086756175,-4989.1229086756175,12669,,,False,False
2,1.1501892999949632,282566.81930505624,,,1193,2779,250,-3042.2846262754033,8235,1193,-3042.2846262754033,-3042.2846262754033,8235,,,False,False
3,1.8012904999995953,278413.8495927668,,,1187,3966,375,-2521.3805586220437,6800,1187,-2521.3805586220437,-2521.3805586220437,6800,,,False,False
4,2.6291434000013396,276599.1386957954,,,1162,5128,500,-1988.0999343888286,5804,1162,-1988.0999343888286,-1988.0999343888286,5804,,,False,False
5,3.7253923999960534,275172.9956889015,,,900,6028,625,-1549.8531083402177,4407,900,-1549.8531083402177,-1549.8531083402177,4407,,,False,False
6,4.922983299999032,273954.44551173283,,,692,6720,750,-1834.2855386491865,2928,692,-1834.2855386491865,-1834.2855386491865,2928,,0.06511632046036248,False,False
7,6.260407199995825,273843.9705447108,,,570,7290,875,-564.8093253387287,3033,570,-564.8093253387287,-564.8093253387287,3033,,0.030870039100126364,False,False
8,7.688749099994311,273764.8776067859,,,500,7790,1000,-769.6372170990953,3292,500,-769.6372170990953,-769.6372170990953,3292,,0.01669806294758998,False,False
9,9.310619399999268,273764.87760672026,,,468,8258,1125,-935.065413699287,2853,468,-935.065413699287,-935.065413699287,2853,,0.010246818202106744,False,False
10,10.902898799999093,273554.53141254856,,,240,8498,1250,-643.1717794572405,2123,240,-643.1717794572405,-643.1717794572405,2123,,0.005881624656885736,False,False
11,12.574263700000301,273554.5314125485,,,138,8636,1375,-306.5761056606116,2781,138,-106.93291814758868,-306.5761056606116,2781,,0.0014597832075231032,False,False
12,14.188272999999754,273554.53141254856,,,102,8738,1500,-310.18600566061195,1769,102,-62.13937944887266,-310.18600566061195,1769,,0.001056949077923906,False,False
13,15.820143299999472,273554.53141254856,,,44,8782,1625,-313.1780056606117,2263,44,-147.3731606491865,-313.1780056606117,2263,,0.0007683461665213269,False,False
14,17.43385549999948,273554.53141254856,,,60,8842,1750,-313.1780056606117,2336,60,-26.84879293189334,-313.1780056606117,2336,,0.0007683461662816767,False,False
15,19.087205099996936,273554.5313704788,,,63,8905,1875,-313.1780056606117,2278,63,-16.212302099095268,-313.1780056606117,2278,,1.5378930603326674e-10,False,False
16,20.717325300000084,273554.5314125485,,,17,8922,2000,-313.1780056606117,2325,17,-111.7847708433028,-313.1780056606117,2325,,0.0,False,False
17,22.35261840000021,273554.5314125486,,,42,8964,2125,-313.1780056606117,2394,42,-147.4112813387287,-313.1780056606117,2394,,0.0,False,False
18,24.039995599996473,273554.5313970343,,,93,9057,2250,-262.948752289175,2295,93,-151.20474844887212,-262.948752289175,2295,,5.671360078057743e-11,False,False
19,25.70880269999907,273554.5314125485,,,203,9260,2375,-313.1780056606117,2774,203,-111.3907613816641,-313.1780056606117,2774,,2.127826602356085e-16,False,False
20,27.398744699996314,273554.53140254196,273554.5313969259,273554.53141254856,247,9507,2500,-313.1780056606117,3297,247,-22.362127147588126,-313.1780056606117,3297,5.710980209393614e-09,0.0,False,True
