iteration,wall_time,rmp_lp_obj,lp_obj_final_pool_if_available,irmp_obj_checkpoint_if_solved,columns_added_this_iter,total_columns,pricing_calls_cum,min_reduced_cost_scanned_last,num_negative_columns_scanned_last,num_columns_added_last,min_reduced_cost_added_last,min_reduced_cost_last,num_negative_columns_last,pool_gap_pct_if_available,relative_improvement_last_5,pricing_converged,objective_stabilized
1,1.0673033999992185,562356.9638716618,,,942,1347,200,-5949.811921312698,36826,942,-5949.811921312698,-5949.811921312698,36826,,,False,False
2,1.491226899997855,561406.7972133314,,,963,2310,400,-6163.961877102388,26477,963,-6163.961877102388,-6163.961877102388,26477,,,False,False
3,2.1004725999991933,558227.7250421091,,,952,3262,600,-4338.082151312698,22473,952,-4338.082151312698,-4338.082151312698,22473,,,False,False
4,2.8756756000002497,551272.3141136991,,,942,4204,800,-3165.2055766322846,18069,942,-3165.2055766322846,-3165.2055766322846,18069,,,False,False
5,3.7360957999990205,546609.6708243566,,,950,5154,1000,-2914.4850313071624,18633,950,-2914.4850313071624,-2914.4850313071624,18633,,,False,False
6,4.684422700000141,542603.054868848,,,964,6118,1200,-2823.0422313071626,17449,964,-2823.0422313071626,-2823.0422313071626,17449,,0.03512699276775026,False,False
7,5.718978400000196,538619.2292419277,,,973,7091,1400,-2734.63869162544,16214,973,-2734.63869162544,-2734.63869162544,16214,,0.04059011769097723,False,False
8,6.90597279999929,534230.3423696472,,,990,8081,1600,-2212.8716261632735,13561,990,-2212.8716261632735,-2212.8716261632735,13561,,0.04298851811893024,False,False
9,8.24357659999805,531744.5194541543,,,963,9044,1800,-2135.2300768689915,11700,963,-2135.2300768689915,-2135.2300768689915,11700,,0.03542313691363294,False,False
10,9.713938099997904,520482.4472858022,,,926,9970,2000,-1800.0000465203743,9816,926,-1800.0000465203743,-1800.0000465203743,9816,,0.04779868511867203,False,False
11,11.349154199997429,515638.95499045606,,,747,10717,2200,-1800.0000425412686,9293,747,-1800.0000425412686,-1800.0000425412686,9293,,0.049693969903854225,False,False
12,13.204763899997488,512458.92866753414,,,756,11473,2400,-1373.0700964610103,6160,756,-1373.0700964610103,-1373.0700964610103,6160,,0.048569191655508756,False,False
13,15.361036399997829,510705.76017921744,,,691,12164,2600,-936.9047878291988,8752,691,-936.9047878291988,-936.9047878291988,8752,,0.04403453028535124,False,False
14,17.584931399997004,510370.9852681244,,,739,12903,2800,-601.7649335394663,12045,739,-601.7649335394663,-601.7649335394663,12045,,0.04019511890403733,False,False
15,19.92137459999867,510368.2307464904,,,472,13375,3000,-518.6016326586978,6217,472,-518.6016326586978,-518.6016326586978,6217,,0.019432387378393156,False,False
16,22.475128199999745,510336.3118038855,,,391,13766,3200,-410.09364205057,3978,391,-309.6041265264347,-410.09364205057,3978,,0.010283635740183166,False,False
17,25.026085699999385,510317.60582040955,,,427,14193,3400,-410.09364205057,7836,427,-221.19896813005244,-410.09364205057,7836,,0.004178525784870876,False,False
18,27.70604159999857,510266.1607427698,,,227,14420,3600,-410.09364205057,3850,227,-186.7488921558729,-410.09364205057,3850,,0.0008607685104107695,False,False
19,30.45506860000023,510259.9543070044,,,281,14701,3800,-410.09364205057,6377,281,-252.27569447903807,-410.09364205057,6377,,0.00021754951657694053,False,False
20,33.2693505999996,510259.9543212443,,,124,14825,4000,-410.09364205057,6338,124,-113.6263678187861,-410.09364205057,6338,,0.0002121535368448003,False,False
21,35.9891409999982,510259.9543014532,,,188,15013,4200,-410.09364205057,7001,188,-127.20905413005266,-410.09364205057,7001,,0.0001496219270825672,False,False
22,38.780139399998006,510259.9543014534,,,89,15102,4400,-410.09364205057,6488,89,-186.08612803746792,-410.09364205057,6488,,0.00011297184008267679,False,False
23,41.59894480000003,510259.95430145325,510259.9543014528,510271.3422300364,236,15338,4600,-410.09364205057,8344,236,-115.77571023746805,-410.09364205057,8344,0.002231739790408847,1.2163145029030298e-05,False,True
