iteration,wall_time,rmp_lp_obj,lp_obj_final_pool_if_available,irmp_obj_checkpoint_if_solved,columns_added_this_iter,total_columns,pricing_calls_cum,min_reduced_cost_scanned_last,num_negative_columns_scanned_last,num_columns_added_last,min_reduced_cost_added_last,min_reduced_cost_last,num_negative_columns_last,pool_gap_pct_if_available,relative_improvement_last_5,pricing_converged,objective_stabilized
1,1.1964345000014873,633274.0200515751,,,960,1336,200,-5919.525174218311,28868,960,-5919.525174218311,-5919.525174218311,28868,,,False,False
2,1.6364805999983218,632807.0613791159,,,971,2307,400,-4551.096667296878,17985,971,-4551.096667296878,-4551.096667296878,17985,,,False,False
3,2.261359000000084,628535.00559099,,,983,3290,600,-4507.3234260916015,16906,983,-4507.3234260916015,-4507.3234260916015,16906,,,False,False
4,3.0551949000000604,612849.853360061,,,981,4271,800,-3368.621051511115,13522,981,-3368.621051511115,-3368.621051511115,13522,,,False,False
5,3.9826481999989483,593741.5290692522,,,981,5252,1000,-3010.254346886431,10836,981,-3010.254346886431,-3010.254346886431,10836,,,False,False
6,5.066700300001685,580030.3823870395,,,977,6229,1200,-2517.966833720618,7825,977,-2517.966833720618,-2517.966833720618,7825,,0.08407677558002362,False,False
7,6.265798399999767,572151.363568313,,,909,7138,1400,-2040.7261608881308,5711,909,-2040.7261608881308,-2040.7261608881308,5711,,0.09585180304185009,False,False
8,7.6387647000010475,566953.9489579564,,,713,7851,1600,-1478.5271703794958,6253,713,-1192.1289327541433,-1478.5271703794958,6253,,0.09797554008170316,False,False
9,9.180192600000737,566005.0352574359,,,566,8417,1800,-1431.6802470417595,6722,566,-1431.6802470417595,-1431.6802470417595,6722,,0.07643767530625949,False,False
10,10.849389200000587,565163.208112549,,,379,8796,2000,-1389.635198379496,1952,379,-799.999996733568,-1389.635198379496,1952,,0.04813259567930589,False,False
11,12.639574799999536,564978.5544482018,,,350,9146,2200,-925.0000403794959,3667,350,-289.69306405163434,-925.0000403794959,3667,,0.025950068127283024,False,False
12,14.479883799998788,564948.3837260964,,,274,9420,2400,-593.9693571489101,3522,274,-311.9235120417593,-593.9693571489101,3522,,0.012589290703239895,False,False
13,16.48018729999967,564944.5382230601,,,251,9671,2600,-596.6966571489102,5255,251,-200.0000435541434,-596.6966571489102,5255,,0.003544222134071999,False,False
14,18.452806500001316,564944.2220770892,,,66,9737,2800,-596.6966571489102,4929,66,-199.9999727541432,-596.6966571489102,4929,,0.001874211560439802,False,False
15,20.635151400001632,564944.2220460369,,,159,9896,3000,-596.6966571489102,6197,159,-166.68931735223032,-596.6966571489102,6197,,0.00038747403116264355,False,False
16,22.64630490000127,564944.2220516246,,,112,10008,3200,-675.2566754007325,3713,112,-129.59453087746488,-675.2566754007325,3713,,6.076761021621476e-05,False,False
17,24.654267800000525,564944.2220743928,,,334,10342,3400,-593.9693571489101,6177,334,-166.68927735223042,-593.9693571489101,6177,,7.36642819664522e-06,False,False
18,26.693674400001328,564944.2220351157,,,133,10475,3600,-595.5919295808094,5600,133,-133.2428033522301,-595.5919295808094,5600,,5.59679619833395e-07,False,False
19,28.767323700001725,564944.2220517083,,,24,10499,3800,-593.9693571489101,2497,24,-82.2533130757447,-593.9693571489101,2497,,4.4926532369361594e-11,False,False
20,30.84804190000068,564944.2220441414,564944.2220875883,564972.779439627,14,10513,4000,-593.9693571489101,2518,14,-66.48557411256934,-593.9693571489101,2518,0.005054642113378859,3.355152944340923e-12,False,True
