iteration,wall_time,rmp_lp_obj,lp_obj_final_pool_if_available,irmp_obj_checkpoint_if_solved,columns_added_this_iter,total_columns,pricing_calls_cum,min_reduced_cost_scanned_last,num_negative_columns_scanned_last,num_columns_added_last,min_reduced_cost_added_last,min_reduced_cost_last,num_negative_columns_last,pool_gap_pct_if_available,relative_improvement_last_5,pricing_converged,objective_stabilized
1,1.1238278999990143,596007.94302885,,,992,1369,200,-5795.674660727819,31005,992,-5795.674660727819,-5795.674660727819,31005,,,False,False
2,1.5593159999989439,594731.4069886022,,,994,2363,400,-4552.534780768439,19367,994,-4552.534780768439,-4552.534780768439,19367,,,False,False
3,2.1588983000001463,591742.1943136889,,,975,3338,600,-3430.362083195144,15598,975,-3430.362083195144,-3430.362083195144,15598,,,False,False
4,2.841300799998862,577521.1529477352,,,958,4296,800,-2963.492522528452,13478,958,-2963.492522528452,-2963.492522528452,13478,,,False,False
5,3.640603799998644,567020.2210706194,,,981,5277,1000,-2441.971301238255,11306,981,-2441.971301238255,-2441.971301238255,11306,,,False,False
6,4.5362146999977995,562331.8114080498,,,950,6227,1200,-2075.7012731494615,9670,950,-2075.7012731494615,-2075.7012731494615,9670,,0.05650282351886396,False,False
7,5.535432699998637,557366.8076021421,,,952,7179,1400,-1971.3967037696993,9847,952,-1971.3967037696993,-1971.3967037696993,9847,,0.06282600674421121,False,False
8,6.659511399997427,554600.8856227268,,,853,8032,1600,-1912.0638237390253,7597,853,-1912.0638237390253,-1912.0638237390253,7597,,0.06276603062595387,False,False
9,7.895513600000413,552930.4943156759,,,807,8839,1800,-2284.977078963047,8378,807,-2284.977078963047,-2284.977078963047,8378,,0.04257966743996414,False,False
10,9.41052739999941,551029.1661202612,,,732,9571,2000,-1891.4723887623595,9578,732,-1891.4723887623595,-1891.4723887623595,9578,,0.02820191301143496,False,False
11,10.961585099998047,545678.7294077317,,,588,10159,2200,-1836.4711059545662,4895,588,-1836.4711059545662,-1836.4711059545662,4895,,0.029614333854987938,False,False
12,12.6474696999976,542875.4310108535,,,417,10576,2400,-1697.254805954566,4939,417,-1697.254805954566,-1697.254805954566,4939,,0.025999712206818012,False,False
13,14.400054499998078,539735.642252458,,,384,10960,2600,-1057.7121998119394,4539,384,-1057.7121998119394,-1057.7121998119394,4539,,0.026803497353916902,False,False
14,16.248097299998335,539158.3243264119,,,312,11272,2800,-381.91879736751434,4500,312,-368.82854136477,-381.91879736751434,4500,,0.02490759712268873,False,False
15,18.153458499997214,539146.7015203154,,,223,11495,3000,-404.5642069521373,3598,223,-175.73602664536247,-404.5642069521373,3598,,0.021564130050699508,False,False
16,20.12340359999871,539083.6193973668,,,130,11625,3200,-381.91879736751434,3940,130,-223.7684145470812,-381.91879736751434,3940,,0.012086067597912609,False,False
17,22.098780299998907,539083.6193973668,,,97,11722,3400,-404.5642069521373,3562,97,-80.71720479852002,-404.5642069521373,3562,,0.0069846808252608545,False,False
18,24.119091799999296,539083.6193973668,,,32,11754,3600,-404.5642069521373,3659,32,-77.12413373016216,-404.5642069521373,3659,,0.0012080411298579356,False,False
19,26.121337399999902,539083.6193973668,,,40,11794,3800,-404.5642069521373,3493,40,-100.15444693731297,-404.5642069521373,3493,,0.00013855842648539273,False,False
20,28.09258339999724,539083.6194122543,,,56,11850,4000,-381.91879736751434,3089,56,-92.08262541170006,-381.91879736751434,3089,,0.00011700360566647221,False,False
21,30.136520399999426,539083.6193973668,539083.6193973668,539083.6193973668,83,11933,4200,-404.5642069521373,3489,83,-4.908831215288956e-05,-404.5642069521373,3489,0.0,0.0,False,True
