iteration,wall_time,rmp_lp_obj,lp_obj_final_pool_if_available,irmp_obj_checkpoint_if_solved,columns_added_this_iter,total_columns,pricing_calls_cum,min_reduced_cost_scanned_last,num_negative_columns_scanned_last,num_columns_added_last,min_reduced_cost_added_last,min_reduced_cost_last,num_negative_columns_last,pool_gap_pct_if_available,relative_improvement_last_5,pricing_converged,objective_stabilized
1,0.43676829999822075,263541.12668413715,,,321,506,110,-5982.972252715852,18973,321,-5982.972252715852,-5982.972252715852,18973,,,False,False
2,0.6452790000003006,239093.8085965342,,,285,791,220,-5458.050315304275,13629,285,-5458.050315304275,-5458.050315304275,13629,,,False,False
3,0.9141237000003457,232296.5424841903,,,267,1058,330,-5134.057509669213,9750,267,-5134.057509669213,-5134.057509669213,9750,,,False,False
4,1.2328869000011764,231198.3721865391,,,252,1310,440,-4223.450296829911,9929,252,-4223.450296829911,-4223.450296829911,9929,,,False,False
5,1.6116666999987501,230405.92712626807,,,254,1564,550,-2871.614944773581,9412,254,-2871.614944773581,-2871.614944773581,9412,,,False,False
6,2.028415299999324,228725.07469340696,,,169,1733,660,-2372.5345246160527,7939,169,-2372.5345246160527,-2372.5345246160527,7939,,0.1321086102529204,False,False
7,2.4844264999992447,221122.90238680673,,,257,1990,770,-2851.8007514094093,7527,257,-2851.8007514094093,-2851.8007514094093,7527,,0.07516257453597633,False,False
8,2.985216799999762,218194.6220899227,,,284,2274,880,-2891.575380067131,7738,284,-2891.575380067131,-2891.575380067131,7738,,0.06070654450324997,False,False
9,3.536679400000139,216799.05823759703,,,295,2569,990,-2170.3590425745856,7950,295,-2170.3590425745856,-2170.3590425745856,7950,,0.062281208179632876,False,False
10,4.117191999997885,214654.0958315755,,,279,2848,1100,-3045.467473321679,7217,279,-3045.467473321679,-3045.467473321679,7217,,0.06836556459791145,False,False
11,4.7522692999991705,213668.2182351426,,,290,3138,1210,-1810.5529069999998,7294,290,-1810.5529069999998,-1810.5529069999998,7294,,0.06582949630007659,False,False
12,5.412108699998498,213325.53542731595,,,292,3430,1320,-1772.6135267760556,6858,292,-1772.6135267760556,-1772.6135267760556,6858,,0.03526259322451808,False,False
13,6.111245399999461,213172.87249629057,,,299,3729,1430,-1700.2308644094092,5922,299,-1700.2308644094092,-1700.2308644094092,5922,,0.023015001678467355,False,False
14,6.840811699999904,213134.57303021915,,,294,4023,1540,-1521.761565309554,6462,294,-1521.761565309554,-1521.761565309554,6462,,0.016902680469035286,False,False
15,7.597823899999639,213042.48972297003,,,276,4299,1650,-1575.2371531084245,3991,276,-1575.2371531084245,-1575.2371531084245,3991,,0.007507921534700187,False,False
