iteration,wall_time,rmp_lp_obj,lp_obj_final_pool_if_available,irmp_obj_checkpoint_if_solved,columns_added_this_iter,total_columns,pricing_calls_cum,min_reduced_cost_scanned_last,num_negative_columns_scanned_last,num_columns_added_last,min_reduced_cost_added_last,min_reduced_cost_last,num_negative_columns_last,pool_gap_pct_if_available,relative_improvement_last_5,pricing_converged,objective_stabilized
1,0.253506600001856,494778.46772545925,,,375,500,125,-3585.3749636540406,4603,375,-3585.3749636540406,-3585.3749636540406,4603,,,False,False
2,0.41223840000020573,346451.1434150913,,,300,800,250,-3217.235417935371,2000,300,-3217.235417935371,-3217.235417935371,2000,,,False,False
3,0.6036523000002489,319488.01650718594,,,246,1046,375,-2647.993339928439,1197,246,-2647.993339928439,-2647.993339928439,1197,,,False,False
4,0.8282615999996779,315820.305542928,,,210,1256,500,-2040.867938414554,1013,210,-2040.867938414554,-2040.867938414554,1013,,,False,False
5,1.070092800000566,311328.8909602796,,,130,1386,625,-1499.9248793821394,668,130,-1499.9248793821394,-1499.9248793821394,668,,,False,False
6,1.3352001000021119,307671.66754284466,,,120,1506,750,-1405.1365793821392,1037,120,-1405.1365793821392,-1405.1365793821392,1037,,0.37816277867297104,False,False
7,1.6081837000019732,304493.4099580261,,,71,1577,875,-925.5242034521622,724,71,-793.0956945415558,-925.5242034521622,724,,0.12110721599436228,False,False
8,1.8927016999987245,303820.13880812615,,,48,1625,1000,-894.2061963914177,432,48,-894.2061963914177,-894.2061963914177,432,,0.04904058020813867,False,False
9,2.1857325000019046,303677.3277791744,,,29,1654,1125,-805.0461681866354,484,29,-805.0461681866354,-805.0461681866354,484,,0.03844900897957962,False,False
10,2.479231000001164,303677.3277791744,,,13,1667,1250,-376.3162109921486,443,13,-200.00002439141736,-376.3162109921486,443,,0.02457710608708479,False,False
11,2.773498800001107,303677.3277791744,,,29,1696,1375,-376.3162109921486,839,29,-123.1832182744738,-376.3162109921486,839,,0.012982475102664618,False,False
12,3.0732824000006076,303677.3277791744,,,10,1706,1500,-376.3162109921486,418,10,-287.38895715394983,-376.3162109921486,418,,0.002680130840809335,False,False
13,3.38646449999942,303677.3277791744,,,3,1709,1625,-391.23112106428607,545,3,-4.733941796075669e-05,-391.23112106428607,545,,0.00047005122672914563,False,False
14,3.690554799999518,303677.3277791744,303677.3277791744,303677.3277791744,6,1715,1750,-690.9235299999999,737,6,-68.3503141902379,-690.9235299999999,737,0.0,0.0,False,True
