iteration,wall_time,rmp_lp_obj,lp_obj_final_pool_if_available,irmp_obj_checkpoint_if_solved,columns_added_this_iter,total_columns,pricing_calls_cum,min_reduced_cost_last,num_negative_columns_last,pool_gap_pct_if_available,relative_improvement_last_5,pricing_converged,objective_stabilized
1,2.6201455000009446,1818558.8993259338,,,2459,3161,500,-5985.45016784359,84817,,,False,False
2,3.630760400001236,1815640.6571381174,,,2473,5634,1000,-5426.914111012597,58890,,,False,False
3,5.114444300001196,1804465.6459589915,,,2483,8117,1500,-3618.967156108259,40205,,,False,False
4,6.910668300000907,1794512.41332368,,,2473,10590,2000,-3460.620789217155,38970,,,False,False
5,9.108771900000647,1779865.9164030608,,,2457,13047,2500,-3384.8864561082587,30655,,,False,False
6,11.6662938999998,1763099.0144902128,,,2425,15472,3000,-3220.4624561082587,24795,,0.030496611826143067,False,False
7,14.750800499999968,1749773.806192258,,,2354,17826,3500,-3164.6069585241403,19633,,0.03627747081279911,False,False
8,18.26385240000127,1733797.953538196,,,1871,19697,4000,-3041.6571869466006,15889,,0.039162669890142957,False,False
9,22.10499929999969,1722295.8524996038,,,1714,21411,4500,-3010.983067152826,11578,,0.04024299875993687,False,False
10,26.246066300000166,1713521.7524537689,,,1375,22786,5000,-2845.906828320741,10449,,0.0372748100505049,False,False
11,30.92222600000059,1702835.3321758602,,,1078,23864,5500,-2829.395946333733,8825,,0.03418054336090557,False,False
12,36.05952770000113,1700274.249025395,,,949,24813,6000,-1044.3196263337334,7832,,0.028289117708637245,False,False
13,41.63353400000051,1698447.1540115406,,,804,25617,6500,-504.0636448979676,10557,,0.020389226699982124,False,False
14,47.366697499999646,1698234.9124629854,,,554,26171,7000,-443.40899480999474,7363,,0.01397027113645907,False,False
15,53.33884140000009,1698226.8287430666,,,531,26702,7500,-65.25842837083655,9581,,0.008926016660599632,False,False
16,59.06187880000107,1698224.4807062235,,,316,27018,8000,-82.43811398382286,4879,,0.0027077494708457675,False,False
17,64.8330747,1698224.042504918,,,449,27467,8500,-90.93303858162653,8400,,0.001205809310852077,False,False
18,70.6738521999996,1698224.0425049183,,,118,27585,9000,-60.39285541797153,8785,,0.00013136205391808654,False,False
19,76.52146240000002,1698224.042504918,,,138,27723,9500,-532.7351463337313,4278,,6.400738783274636e-06,False,False
20,82.30531200000041,1698224.042504918,1698224.0425049176,1698230.3318625225,73,27796,10000,-73.71065432964724,7412,0.0003703477371074146,1.6406749095100963e-06,False,True
