iteration,wall_time,rmp_lp_obj,lp_obj_final_pool_if_available,irmp_obj_checkpoint_if_solved,columns_added_this_iter,total_columns,pricing_calls_cum,min_reduced_cost_last,num_negative_columns_last,pool_gap_pct_if_available,relative_improvement_last_5,pricing_converged,objective_stabilized
1,0.6711388000003353,643867.6404513697,,,940,1248,200,-3707.8555789317325,6372,,,False,False
2,0.9472050999993371,589357.8272130552,,,651,1899,400,-2926.4986401766278,1552,,,False,False
3,1.295360800000708,580548.9794737851,,,246,2145,600,-1343.3072572829367,780,,,False,False
4,1.6851858999998512,578892.7865330614,,,115,2260,800,-1018.427509631556,843,,,False,False
5,2.081073600000309,578475.6166288754,,,56,2316,1000,-318.7902899999999,699,,,False,False
6,2.474193699999887,578475.6166288754,,,23,2339,1200,-265.41554451751335,600,,0.10156128327345762,False,False
7,2.884217200000421,578475.6166288754,,,40,2379,1400,-513.5659605175131,878,,0.018464522030087308,False,False
8,3.294110200000432,578475.6166288754,,,4,2383,1600,-114.96612068487343,533,,0.003571383153216614,False,False
9,3.7096824000000197,578475.6166288754,,,9,2392,1800,-156.30797181623893,516,,0.0007206341379453619,False,False
10,4.132316700000956,578475.6166288754,,,3,2395,2000,-123.25015328487348,583,,0.0,False,False
11,4.548947900000712,578475.6166288754,,,30,2425,2200,-160.78914739332686,604,,0.0,False,False
12,4.955542100000457,578475.6166288754,,,6,2431,2400,-364.9853445175129,632,,0.0,False,False
13,5.375514499999554,578475.6166288754,,,3,2434,2600,-43.309225862014046,551,,0.0,False,False
14,5.791765300000407,578475.6166288754,,,5,2439,2800,-80.94440751302545,565,,0.0,False,False
15,6.219537000000855,578475.6166288754,578475.6166288754,578475.6166288754,0,2439,3000,0.0,524,0.0,0.0,True,False
