iteration,wall_time,rmp_lp_obj,lp_obj_final_pool_if_available,irmp_obj_checkpoint_if_solved,columns_added_this_iter,total_columns,pricing_calls_cum,min_reduced_cost_last,num_negative_columns_last,pool_gap_pct_if_available,relative_improvement_last_5,pricing_converged,objective_stabilized
1,1.177991700000348,560304.481973656,,,993,1454,200,-4692.480973228092,21059,,,False,False
2,1.6104906000000483,548214.0992519903,,,975,2429,400,-2999.999971610174,14252,,,False,False
3,2.242755200000829,545925.329851018,,,969,3398,600,-2971.0549723697773,14326,,,False,False
4,3.065114300001369,544223.5197412089,,,946,4344,800,-2284.977078963047,11446,,,False,False
5,4.042411400001583,542332.309016349,,,913,5257,1000,-1834.3832199315398,9957,,,False,False
6,5.197494500000175,541487.7820461798,,,890,6147,1200,-1390.755105153935,8323,,0.0335829902006048,False,False
7,6.508888000000297,540529.2807072613,,,895,7042,1400,-791.6479716919437,6978,,0.014017914816883708,False,False
8,7.973959500001001,540001.6086273892,,,746,7788,1600,-894.6059816919436,3343,,0.010850790208333837,False,False
9,9.588864900000772,539884.2700951495,,,743,8531,1800,-356.3729317632933,4657,,0.007973285770748698,False,False
10,11.505449500000395,539551.2832510988,,,472,9003,2000,-1124.3385247694082,3450,,0.005127899848515881,False,False
11,13.365589200000613,539434.7726114127,,,411,9414,2200,-454.08974908831124,4553,,0.003791423376182439,False,False
12,15.273038500001348,539226.851402287,,,243,9657,2400,-216.18051215393507,3329,,0.002409544406678751,False,False
13,17.22507300000143,539131.6279458163,,,243,9900,2600,-166.66663500000004,5356,,0.0016110705369643198,False,False
14,19.259686900000816,539083.6193973668,,,80,9980,2800,-333.33331799999996,3302,,0.0014830043069075619,False,False
15,21.32142280000153,539083.6193973668,,,135,10115,3000,-116.63744915644884,3947,,0.0008667644174880233,False,False
16,23.387615200001164,539083.6193725049,,,31,10146,3200,-58.38024939255638,3473,,0.0006509651522979636,False,False
17,25.41757409999991,539083.6193973668,,,67,10213,3400,-120.55632844064894,3708,,0.0002656247635809889,False,False
18,27.49189000000115,539083.6193973668,,,77,10290,3600,-166.6667069535656,3333,,8.904791698534339e-05,False,False
19,29.644462700000076,539083.6193973668,,,23,10313,3800,-104.20302995358679,3224,,0.0,False,False
20,31.701115200001368,539083.6193973668,539083.6193872828,539083.6193973668,126,10439,4000,-288.4192517331869,3483,1.8705839370974916e-09,0.0,False,True
