iteration,wall_time,rmp_lp_obj,lp_obj_final_pool_if_available,irmp_obj_checkpoint_if_solved,columns_added_this_iter,total_columns,pricing_calls_cum,min_reduced_cost_last,num_negative_columns_last,pool_gap_pct_if_available,relative_improvement_last_5,pricing_converged,objective_stabilized
1,1.2994465000010678,563989.2536887465,,,994,1409,200,-5795.674660727819,33464,,,False,False
2,1.7533622999999352,561701.3664469215,,,993,2402,400,-5344.715169639577,21415,,,False,False
3,2.406221100000039,550409.9707898645,,,997,3399,600,-3211.3065512754833,17152,,,False,False
4,3.1746750000002066,543180.3975571514,,,994,4393,800,-2317.331291874377,16770,,,False,False
5,4.072331200000917,535754.0569259312,,,983,5376,1000,-2168.1750190742905,13832,,,False,False
6,5.14960659999997,528203.2456488023,,,974,6350,1200,-1927.2727490883126,11821,,0.0634515778552294,False,False
7,6.36911450000116,524862.6249950362,,,969,7319,1400,-1888.3075221455733,9851,,0.06558421191835649,False,False
8,7.738923599999907,519540.7852254152,,,934,8253,1600,-1660.6564890883114,8088,,0.05608398685102051,False,False
9,9.293031700000938,516315.1599113838,,,820,9073,1800,-859.8547968182797,9233,,0.049459144266966876,False,False
10,10.971097999999984,515028.5569087319,,,649,9722,2000,-458.2931331564487,7849,,0.03868472809355637,False,False
11,12.83777100000043,514833.2014295669,,,635,10357,2200,-400.00003754708086,9061,,0.025312309853023872,False,False
12,14.876008600000205,514791.7118795168,,,505,10862,2400,-317.40592731460083,7076,,0.019187712433543225,False,False
13,16.973085500001616,514649.99137887533,,,308,11170,2600,-240.57830576329343,3906,,0.0094136860581944,False,False
14,19.141299300001265,514621.7865743031,,,278,11448,2800,-179.06211515393534,5977,,0.003279728097411161,False,False
15,21.354352300000755,514605.0767634201,,,291,11739,3000,-91.7499144730873,4908,,0.0008222459505033675,False,False
16,23.60286880000058,514605.0767877538,,,239,11978,3200,-103.99162408086568,4301,,0.000443103982376541,False,False
17,25.892507900000055,514605.0768144206,,,113,12091,3400,-43.85479896304696,958,,0.0003625448133474966,False,False
18,28.471580900000845,514605.07680501783,,,55,12146,3600,-25.48390471015,1613,,8.727207735331974e-05,False,False
19,30.87353350000012,514605.076751018,,,24,12170,3800,-106.94562181299852,4238,,3.247010468862157e-05,False,False
20,33.29673420000108,514605.07679524785,514605.07680505264,514609.1150606575,106,12276,4000,-4.908831215288956e-05,4544,0.000784722906507616,0.0,False,True
