iteration,wall_time,rmp_lp_obj,lp_obj_final_pool_if_available,irmp_obj_checkpoint_if_solved,columns_added_this_iter,total_columns,pricing_calls_cum,min_reduced_cost_last,num_negative_columns_last,pool_gap_pct_if_available,relative_improvement_last_5,pricing_converged,objective_stabilized
1,1.237191399999574,615203.6055051195,,,979,1369,200,-5886.079163103072,28164,,,False,False
2,1.6752084999989165,611838.0041746388,,,980,2349,400,-5815.623592465707,18754,,,False,False
3,2.2872160999995685,607648.0225362779,,,987,3336,600,-3490.756914937871,14622,,,False,False
4,3.028774099999282,589716.2227929849,,,987,4323,800,-3208.943070018078,13385,,,False,False
5,3.9109305999991193,576485.5800401305,,,953,5276,1000,-2752.220515531216,9158,,,False,False
6,4.955372299998999,563226.807434597,,,978,6254,1200,-2256.7745864464723,8659,,0.08448714800337749,False,False
7,6.158612400000493,557263.9807442911,,,896,7150,1400,-1246.3832804468332,6217,,0.08919685122202779,False,False
8,7.510567499999524,552316.4825436453,,,876,8026,1600,-920.3348564464727,5745,,0.09105853708152102,False,False
9,9.028150399999504,550842.6752252246,,,784,8810,1800,-531.5804221115627,3818,,0.06591907440437937,False,False
10,10.629885000000286,550444.2753325166,,,473,9283,2000,-550.0000439038135,3914,,0.04517251707458336,False,False
11,12.326434499998868,550419.6325408982,,,580,9863,2200,-357.34139992483915,6015,,0.02273892990291674,False,False
12,14.18137299999944,550398.0473579995,,,420,10283,2400,-624.3787777569792,7121,,0.012320791623964919,False,False
13,16.19405319999896,550397.1807680153,,,283,10566,2600,-140.72821711156303,3603,,0.0034750036189229857,False,False
14,18.1033611999992,550397.1807424304,,,178,10744,2800,-104.63106511156275,4019,,0.0008087508517963753,False,False
15,20.058463299999858,550397.1807235884,,,112,10856,3000,-116.5906574464725,3787,,8.555745066063965e-05,False,False
16,22.030994299999293,550397.180750638,,,100,10956,3200,-168.34349469434164,4192,,4.079031512104136e-05,False,False
17,24.076157100000273,550397.1808185304,,,135,11091,3400,-126.78261144647286,3852,,1.5743868882978828e-06,False,False
18,26.132555500000308,550397.1807886173,,,102,11193,3600,-38.13409244647255,4138,,0.0,False,False
19,28.211048799999844,550397.180722596,,,68,11261,3800,-61.73347122874702,2230,,3.6036479774171934e-11,False,False
20,30.30977990000065,550397.1807430033,550397.1807447585,550421.0187226476,233,11494,4000,-550.000049924839,3705,0.004330862572150808,0.0,False,True
