iteration,wall_time,rmp_lp_obj,lp_obj_final_pool_if_available,irmp_obj_checkpoint_if_solved,columns_added_this_iter,total_columns,pricing_calls_cum,min_reduced_cost_last,num_negative_columns_last,pool_gap_pct_if_available,relative_improvement_last_5,pricing_converged,objective_stabilized
1,1.1055369999994582,587271.8276261532,,,984,1373,200,-5902.586584968583,30925,,,False,False
2,1.5245582000006834,585853.0738909307,,,980,2353,400,-5047.327353992762,18139,,,False,False
3,2.102208000000246,566760.1084136083,,,995,3348,600,-3090.958101497922,14746,,,False,False
4,2.841479700000491,559441.0527921778,,,993,4341,800,-3045.0218287716243,12672,,,False,False
5,3.716846000001169,552345.3197268937,,,972,5313,1000,-2316.08995661095,11145,,,False,False
6,4.727689200000896,545638.3009481176,,,940,6253,1200,-2058.6311473394176,9511,,0.0708931106849191,False,False
7,5.877206099999967,538631.8750778621,,,896,7149,1400,-1898.3550862829366,7086,,0.08060245975915104,False,False
8,7.159744399999909,527614.3447166738,,,812,7961,1600,-1400.0000254483748,6380,,0.06906937011940646,False,False
9,8.589768900001218,526066.8857559614,,,657,8618,1800,-648.8872806483749,4773,,0.05965627096839862,False,False
10,10.158080999999584,525744.504146125,,,463,9081,2000,-999.5068190278644,3761,,0.04815975555639968,False,False
11,11.889819800000623,525738.6675459673,,,403,9484,2200,-384.13734733941783,5475,,0.036470374912413867,False,False
12,13.63777310000114,525406.7275348101,,,289,9773,2400,-191.27083923908413,5176,,0.024553221142250843,False,False
13,15.43942590000006,525406.7275547452,,,268,10041,2600,-234.29591551302565,5753,,0.004184149244680136,False,False
14,17.24545659999967,525406.7275817017,,,104,10145,2800,-167.21740761264437,5157,,0.0012548939918752976,False,False
15,19.149997900000017,525405.3651345754,,,171,10316,3000,-369.2437147462306,5867,,0.0006450643019092539,False,False
16,21.117222400000173,525404.9182981708,,,308,10624,3200,-114.5330792718969,6370,,0.0006348196706823041,False,False
17,23.115809400000217,525404.918271415,,,98,10722,3400,-106.95115854436699,6317,,3.4435482079152667e-06,False,False
18,25.11627050000061,525404.9182266479,,,160,10882,3600,-514.533095845869,6216,,3.443671354740092e-06,False,False
19,27.104296200001045,525404.9182189861,,,153,11035,3800,-172.88760267135058,5623,,3.44373724315223e-06,False,False
20,29.197530700001153,525404.9182577496,525404.9182482536,525417.6739598438,102,11137,4000,-309.3043432718973,6185,0.002427727924346071,8.505372335707191e-07,False,True
