experiment,scenario,mechanism,N,seed,method,param_name,param_value,obj,runtime_total,runtime_pricing,gap,status,error,num_iters,num_pricing_calls,num_columns_added,min_reduced_cost_last,pricing_time_share,cost_energy,cost_delay,shore_utilization,mode_shore_count,mode_battery_count,mode_brown_count,infeasible_jobs,shore_ratio,battery_ratio,brown_ratio,mechanism_counts,type_A_count,type_A_cost_energy,type_A_cost_delay,type_A_cost_total,type_A_shore_ratio,type_A_battery_ratio,type_A_brown_ratio,type_A_avg_tardy_hours,type_B_count,type_B_cost_energy,type_B_cost_delay,type_B_cost_total,type_B_shore_ratio,type_B_battery_ratio,type_B_brown_ratio,type_B_avg_tardy_hours,type_C_count,type_C_cost_energy,type_C_cost_delay,type_C_cost_total,type_C_shore_ratio,type_C_battery_ratio,type_C_brown_ratio,type_C_avg_tardy_hours,type_D_count,type_D_cost_energy,type_D_cost_delay,type_D_cost_total,type_D_shore_ratio,type_D_battery_ratio,type_D_brown_ratio,type_D_avg_tardy_hours,time_limit
sensitivity,U,hybrid,100,1,cg,battery_cost,0.3,121901.57197983407,11.13074619998224,0.0,,ok,,1.0,0.0,0.0,0.0,0.0,121901.57197983407,0.0,1.0,13,87,0,0,0.13,0.87,0.0,"{'shore': 13, 'battery': 87, 'brown': 0}",19,35443.978666181945,0.0,35443.978666181945,0.21052631578947367,0.7894736842105263,0.0,0.0,48,50646.83672188812,0.0,50646.83672188812,0.16666666666666666,0.8333333333333334,0.0,0.0,19,19610.75659176401,0.0,19610.75659176401,0.0,1.0,0.0,0.0,14,16200.0,0.0,16200.0,0.07142857142857142,0.9285714285714286,0.0,0.0,
sensitivity,U,hybrid,100,1,greedy,battery_cost,0.3,174017.34955641025,0.07411970000248402,,,ok,,,,,,,162042.34955641025,11975.0,1.0,15,69,16,0,0.15,0.69,0.16,"{'shore': 15, 'battery': 69, 'brown': 16}",19,48193.98135042147,2500.0,50693.98135042147,0.0,0.8947368421052632,0.10526315789473684,0.06578947368421052,48,66349.47937770895,5600.0,71949.47937770895,0.3125,0.5,0.1875,0.14583333333333334,19,23498.888828279807,2750.0,26248.888828279807,0.0,0.8947368421052632,0.10526315789473684,0.2894736842105263,14,24000.0,1125.0,25125.0,0.0,0.7857142857142857,0.21428571428571427,0.05357142857142857,
sensitivity,U,hybrid,100,1,fifo,battery_cost,0.3,172525.37799386843,0.03230759996222332,,,ok,,,,,,,158750.37799386837,13775.0,1.0,15,70,15,0,0.15,0.7,0.15,"{'shore': 15, 'battery': 70, 'brown': 15}",19,47050.24722025562,2000.0,49050.24722025562,0.05263157894736842,0.8421052631578947,0.10526315789473684,0.05263157894736842,48,64201.24194533293,8400.0,72601.24194533293,0.2916666666666667,0.5416666666666666,0.16666666666666666,0.21875,19,23498.888828279807,2250.0,25748.888828279807,0.0,0.8947368421052632,0.10526315789473684,0.23684210526315788,14,24000.0,1125.0,25125.0,0.0,0.7857142857142857,0.21428571428571427,0.05357142857142857,
sensitivity,U,hybrid,100,1,milp60,battery_cost,0.3,138360.1504835773,63.501628199999686,,,not solved,,,,,,,138360.1504835773,0.0,1.0,12,82,6,0,0.12,0.82,0.06,"{'shore': 12, 'battery': 82, 'brown': 6}",19,42825.328146188476,0.0,42825.328146188476,0.2631578947368421,0.631578947368421,0.10526315789473684,0.0,48,55443.78058508279,0.0,55443.78058508279,0.14583333333333334,0.8125,0.041666666666666664,0.0,19,23291.04175230604,0.0,23291.04175230604,0.0,0.8947368421052632,0.10526315789473684,0.0,14,16800.0,0.0,16800.0,0.0,1.0,0.0,0.0,60.0
sensitivity,U,hybrid,100,1,milp300,battery_cost,0.3,124987.23783487837,303.2275723000057,,,not solved,,,,,,,124787.23783487837,200.0,1.0,11,88,1,0,0.11,0.88,0.01,"{'shore': 11, 'battery': 88, 'brown': 1}",19,35385.00726890025,0.0,35385.00726890025,0.21052631578947367,0.7894736842105263,0.0,0.0,48,52991.473974214096,200.0,53191.473974214096,0.14583333333333334,0.8333333333333334,0.020833333333333332,0.005208333333333333,19,19610.75659176401,0.0,19610.75659176401,0.0,1.0,0.0,0.0,14,16800.0,0.0,16800.0,0.0,1.0,0.0,0.0,300.0
sensitivity,U,hybrid,100,2,cg,battery_cost,0.3,130168.0178463745,19.214578400016762,0.0,,ok,,1.0,0.0,0.0,0.0,0.0,130168.0178463745,0.0,1.0,16,84,0,0,0.16,0.84,0.0,"{'shore': 16, 'battery': 84, 'brown': 0}",23,48276.36464659247,0.0,48276.36464659247,0.043478260869565216,0.9565217391304348,0.0,0.0,53,54626.42492970457,0.0,54626.42492970457,0.2830188679245283,0.7169811320754716,0.0,0.0,12,12865.228270077476,0.0,12865.228270077476,0.0,1.0,0.0,0.0,12,14400.0,0.0,14400.0,0.0,1.0,0.0,0.0,
sensitivity,U,hybrid,100,2,greedy,battery_cost,0.3,188712.3720194831,0.10954179998952895,,,ok,,,,,,,164812.37201948307,23900.0,1.0,12,74,14,0,0.12,0.74,0.14,"{'shore': 12, 'battery': 74, 'brown': 14}",23,50835.568119392534,9500.0,60335.568119392534,0.08695652173913043,0.8695652173913043,0.043478260869565216,0.20652173913043478,53,77316.10730507526,9400.0,86716.10730507526,0.18867924528301888,0.6415094339622641,0.16981132075471697,0.22169811320754718,12,15060.696595015343,2750.0,17810.696595015343,0.0,0.9166666666666666,0.08333333333333333,0.4583333333333333,12,21600.0,2250.0,23850.0,0.0,0.75,0.25,0.125,
sensitivity,U,hybrid,100,2,fifo,battery_cost,0.3,180051.42413521148,0.036214000021573156,,,ok,,,,,,,164801.42413521145,15250.0,1.0,13,73,14,0,0.13,0.73,0.14,"{'shore': 13, 'battery': 73, 'brown': 14}",23,52032.262907599776,5000.0,57032.262907599776,0.043478260869565216,0.9130434782608695,0.043478260869565216,0.10869565217391304,53,76708.4646325964,8000.0,84708.4646325964,0.20754716981132076,0.6226415094339622,0.16981132075471697,0.18867924528301888,12,15060.696595015343,2250.0,17310.696595015343,0.0,0.9166666666666666,0.08333333333333333,0.375,12,21000.0,0.0,21000.0,0.08333333333333333,0.6666666666666666,0.25,0.0,
sensitivity,U,hybrid,100,2,milp60,battery_cost,0.3,157874.0360668186,63.926058600016404,,,not solved,,,,,,,157874.0360668186,0.0,1.0,8,81,11,0,0.08,0.81,0.11,"{'shore': 8, 'battery': 81, 'brown': 11}",23,51008.526109745864,0.0,51008.526109745864,0.2608695652173913,0.6521739130434783,0.08695652173913043,0.0,53,77572.60802681991,0.0,77572.60802681991,0.03773584905660377,0.8113207547169812,0.1509433962264151,0.0,12,14892.90193025278,0.0,14892.90193025278,0.0,0.9166666666666666,0.08333333333333333,0.0,12,14400.0,0.0,14400.0,0.0,1.0,0.0,0.0,60.0
sensitivity,U,hybrid,100,2,milp300,battery_cost,0.3,140666.4940706235,303.6460482000257,,,not solved,,,,,,,138566.4940706235,2100.0,1.0,10,86,4,0,0.1,0.86,0.04,"{'shore': 10, 'battery': 86, 'brown': 4}",23,44680.8013759269,0.0,44680.8013759269,0.17391304347826086,0.8260869565217391,0.0,0.0,53,64755.01031726688,1600.0,66355.01031726689,0.11320754716981132,0.8301886792452831,0.05660377358490566,0.03773584905660377,12,14730.682377429728,500.0,15230.682377429728,0.0,0.9166666666666666,0.08333333333333333,0.08333333333333333,12,14400.0,0.0,14400.0,0.0,1.0,0.0,0.0,300.0
sensitivity,U,hybrid,100,3,cg,battery_cost,0.3,125292.7912358673,17.11393130000215,0.0,,ok,,1.0,0.0,0.0,0.0,0.0,125092.7912358673,200.0,1.0,17,83,0,0,0.17,0.83,0.0,"{'shore': 17, 'battery': 83, 'brown': 0}",19,37647.571584018995,0.0,37647.571584018995,0.05263157894736842,0.9473684210526315,0.0,0.0,51,55210.85453362606,200.0,55410.85453362606,0.27450980392156865,0.7254901960784313,0.0,0.004901960784313725,18,19034.36511822225,0.0,19034.36511822225,0.0,1.0,0.0,0.0,12,13200.0,0.0,13200.0,0.16666666666666666,0.8333333333333334,0.0,0.0,
