experiment,scenario,mechanism,N,seed,method,param_name,param_value,obj,runtime_total,runtime_pricing,gap,status,error,num_iters,num_pricing_calls,num_columns_added,min_reduced_cost_last,pricing_time_share,cost_energy,cost_delay,shore_utilization,mode_shore_count,mode_battery_count,mode_brown_count,infeasible_jobs,shore_ratio,battery_ratio,brown_ratio,mechanism_counts,type_A_count,type_A_cost_energy,type_A_cost_delay,type_A_cost_total,type_A_shore_ratio,type_A_battery_ratio,type_A_brown_ratio,type_A_avg_tardy_hours,type_B_count,type_B_cost_energy,type_B_cost_delay,type_B_cost_total,type_B_shore_ratio,type_B_battery_ratio,type_B_brown_ratio,type_B_avg_tardy_hours,type_C_count,type_C_cost_energy,type_C_cost_delay,type_C_cost_total,type_C_shore_ratio,type_C_battery_ratio,type_C_brown_ratio,type_C_avg_tardy_hours,type_D_count,type_D_cost_energy,type_D_cost_delay,type_D_cost_total,type_D_shore_ratio,type_D_battery_ratio,type_D_brown_ratio,type_D_avg_tardy_hours,time_limit,solver_backend
sensitivity,U,hybrid,100,1,cg,battery_cost,0.3,121892.83752512385,14.970186699996702,0.0,,ok,,1.0,0.0,0.0,0.0,0.0,121892.83752512385,0.0,1.0,13,87,0,0,0.13,0.87,0.0,"{'shore': 13, 'battery': 87, 'brown': 0}",19,35443.978666181945,0.0,35443.978666181945,0.2105263157894736,0.7894736842105263,0.0,0.0,48,50638.10226717788,0.0,50638.10226717788,0.1666666666666666,0.8333333333333334,0.0,0.0,19,19610.75659176401,0.0,19610.75659176401,0.0,1.0,0.0,0.0,14,16200.0,0.0,16200.0,0.0714285714285714,0.9285714285714286,0.0,0.0,,
sensitivity,U,hybrid,100,1,cg,battery_cost,0.4,159523.9286506756,13.275741899968123,0.0,,ok,,1.0,0.0,0.0,0.0,0.0,159523.9286506756,0.0,1.0,13,87,0,0,0.13,0.87,0.0,"{'shore': 13, 'battery': 87, 'brown': 0}",19,45928.80067540833,0.0,45928.80067540833,0.2105263157894736,0.7894736842105263,0.0,0.0,48,66047.45251958189,0.0,66047.45251958189,0.1666666666666666,0.8333333333333334,0.0,0.0,19,26147.675455685345,0.0,26147.675455685345,0.0,1.0,0.0,0.0,14,21400.0,0.0,21400.0,0.0714285714285714,0.9285714285714286,0.0,0.0,,
sensitivity,U,hybrid,100,1,cg,battery_cost,0.45,178339.47421345147,13.356528900098056,0.0,,ok,,1.0,0.0,0.0,0.0,0.0,178339.47421345147,0.0,1.0,13,87,0,0,0.13,0.87,0.0,"{'shore': 13, 'battery': 87, 'brown': 0}",19,51171.21168002153,0.0,51171.21168002153,0.2105263157894736,0.7894736842105263,0.0,0.0,48,73752.12764578388,0.0,73752.12764578388,0.1666666666666666,0.8333333333333334,0.0,0.0,19,29416.13488764601,0.0,29416.13488764601,0.0,1.0,0.0,0.0,14,24000.0,0.0,24000.0,0.0714285714285714,0.9285714285714286,0.0,0.0,,
sensitivity,U,hybrid,100,1,cg,battery_cost,0.5,197155.0197762274,13.362739499891177,0.0,,ok,,1.0,0.0,0.0,0.0,0.0,197155.0197762274,0.0,1.0,13,87,0,0,0.13,0.87,0.0,"{'shore': 13, 'battery': 87, 'brown': 0}",19,56413.622684634734,0.0,56413.622684634734,0.2105263157894736,0.7894736842105263,0.0,0.0,48,81456.8027719859,0.0,81456.8027719859,0.1666666666666666,0.8333333333333334,0.0,0.0,19,32684.59431960668,0.0,32684.59431960668,0.0,1.0,0.0,0.0,14,26600.0,0.0,26600.0,0.0714285714285714,0.9285714285714286,0.0,0.0,,
sensitivity,U,hybrid,100,1,cg,battery_cost,0.6,234786.11090177903,13.176290899980811,0.0,,ok,,1.0,0.0,0.0,0.0,0.0,234786.11090177903,0.0,1.0,13,87,0,0,0.13,0.87,0.0,"{'shore': 13, 'battery': 87, 'brown': 0}",19,66898.44469386112,0.0,66898.44469386112,0.2105263157894736,0.7894736842105263,0.0,0.0,48,96866.1530243899,0.0,96866.1530243899,0.1666666666666666,0.8333333333333334,0.0,0.0,19,39221.51318352802,0.0,39221.51318352802,0.0,1.0,0.0,0.0,14,31800.0,0.0,31800.0,0.0714285714285714,0.9285714285714286,0.0,0.0,,
sensitivity,U,hybrid,100,1,cg,battery_cost,0.8,310048.2931528824,13.669780900003389,0.0,,ok,,1.0,0.0,0.0,0.0,0.0,310048.2931528824,0.0,1.0,13,87,0,0,0.13,0.87,0.0,"{'shore': 13, 'battery': 87, 'brown': 0}",19,87868.08871231391,0.0,87868.08871231391,0.2105263157894736,0.7894736842105263,0.0,0.0,48,127684.85352919792,0.0,127684.85352919792,0.1666666666666666,0.8333333333333334,0.0,0.0,19,52295.35091137069,0.0,52295.35091137069,0.0,1.0,0.0,0.0,14,42200.0,0.0,42200.0,0.0714285714285714,0.9285714285714286,0.0,0.0,,
sensitivity,U,hybrid,100,1,cg,deadline_tightness,0.8,178826.31783412778,12.689615400042385,0.0,,ok,,1.0,0.0,0.0,0.0,0.0,178826.31783412778,0.0,1.0,15,85,0,0,0.15,0.85,0.0,"{'shore': 15, 'battery': 85, 'brown': 0}",19,56862.76869669536,0.0,56862.76869669536,0.0526315789473684,0.9473684210526316,0.0,0.0,48,70947.41424978635,0.0,70947.41424978635,0.2291666666666666,0.7708333333333334,0.0,0.0,19,29416.13488764601,0.0,29416.13488764601,0.0,1.0,0.0,0.0,14,21600.0,0.0,21600.0,0.2142857142857142,0.7857142857142857,0.0,0.0,,
sensitivity,U,hybrid,100,1,cg,deadline_tightness,1.0,178339.47421345147,14.282880099955946,0.0,,ok,,1.0,0.0,0.0,0.0,0.0,178339.47421345147,0.0,1.0,13,87,0,0,0.13,0.87,0.0,"{'shore': 13, 'battery': 87, 'brown': 0}",19,51171.21168002153,0.0,51171.21168002153,0.2105263157894736,0.7894736842105263,0.0,0.0,48,73752.12764578388,0.0,73752.12764578388,0.1666666666666666,0.8333333333333334,0.0,0.0,19,29416.13488764601,0.0,29416.13488764601,0.0,1.0,0.0,0.0,14,24000.0,0.0,24000.0,0.0714285714285714,0.9285714285714286,0.0,0.0,,
sensitivity,U,hybrid,100,1,cg,deadline_tightness,1.2,177735.39411499535,14.632713900064118,0.0,,ok,,1.0,0.0,0.0,0.0,0.0,177735.39411499535,0.0,1.0,13,87,0,0,0.13,0.87,0.0,"{'shore': 13, 'battery': 87, 'brown': 0}",19,50970.6142623873,0.0,50970.6142623873,0.2105263157894736,0.7894736842105263,0.0,0.0,48,73348.64496496198,0.0,73348.64496496198,0.1666666666666666,0.8333333333333334,0.0,0.0,19,29416.13488764601,0.0,29416.13488764601,0.0,1.0,0.0,0.0,14,24000.0,0.0,24000.0,0.0714285714285714,0.9285714285714286,0.0,0.0,,
sensitivity,U,hybrid,100,1,cg,shore_cap,1.0,189489.64980362653,5.518062000046484,0.0,,ok,,1.0,0.0,0.0,0.0,0.0,188889.64980362653,600.0,1.0,9,90,1,0,0.09,0.9,0.01,"{'shore': 9, 'battery': 90, 'brown': 1}",19,59150.23695702706,0.0,59150.23695702706,0.0,1.0,0.0,0.0,48,73743.84842454066,600.0,74343.84842454066,0.1875,0.8125,0.0,0.015625,19,30795.564422058764,0.0,30795.564422058764,0.0,0.9473684210526316,0.0526315789473684,0.0,14,25200.0,0.0,25200.0,0.0,1.0,0.0,0.0,,
