experiment,scenario,mechanism,N,seed,method,param_name,param_value,obj,runtime_total,runtime_pricing,gap,status,error,num_iters,num_pricing_calls,num_columns_added,min_reduced_cost_last,pricing_time_share,cost_energy,cost_delay,shore_utilization,mode_shore_count,mode_battery_count,mode_brown_count,infeasible_jobs,shore_ratio,battery_ratio,brown_ratio,mechanism_counts,type_A_count,type_A_cost_energy,type_A_cost_delay,type_A_cost_total,type_A_shore_ratio,type_A_battery_ratio,type_A_brown_ratio,type_A_avg_tardy_hours,type_B_count,type_B_cost_energy,type_B_cost_delay,type_B_cost_total,type_B_shore_ratio,type_B_battery_ratio,type_B_brown_ratio,type_B_avg_tardy_hours,type_C_count,type_C_cost_energy,type_C_cost_delay,type_C_cost_total,type_C_shore_ratio,type_C_battery_ratio,type_C_brown_ratio,type_C_avg_tardy_hours,type_D_count,type_D_cost_energy,type_D_cost_delay,type_D_cost_total,type_D_shore_ratio,type_D_battery_ratio,type_D_brown_ratio,type_D_avg_tardy_hours,time_limit
scenario,U,hybrid,100,1,cg,scenario,U,178339.47421345147,70.60090399999171,0.0,,ok,,1.0,0.0,0.0,0.0,0.0,178339.47421345147,0.0,1.0,13,87,0,0,0.13,0.87,0.0,"{'shore': 13, 'battery': 87, 'brown': 0}",19,51171.21168002153,0.0,51171.21168002153,0.21052631578947367,0.7894736842105263,0.0,0.0,48,73752.12764578388,0.0,73752.12764578388,0.16666666666666666,0.8333333333333334,0.0,0.0,19,29416.134887646014,0.0,29416.134887646014,0.0,1.0,0.0,0.0,14,24000.0,0.0,24000.0,0.07142857142857142,0.9285714285714286,0.0,0.0,
scenario,U,hybrid,100,1,greedy,scenario,U,220165.3258081347,0.07214230002136901,,,ok,,,,,,,209415.3258081347,10750.0,1.0,15,68,17,0,0.15,0.68,0.17,"{'shore': 15, 'battery': 68, 'brown': 17}",19,63433.13623099793,4500.0,67933.13623099793,0.05263157894736842,0.8421052631578947,0.10526315789473684,0.11842105263157894,48,81669.17117611007,5000.0,86669.17117611007,0.2916666666666667,0.5208333333333334,0.1875,0.13020833333333334,19,33713.01840102664,875.0,34588.01840102664,0.0,0.8421052631578947,0.15789473684210525,0.09210526315789473,14,30600.0,375.0,30975.0,0.0,0.7857142857142857,0.21428571428571427,0.017857142857142856,
scenario,U,hybrid,100,1,fifo,scenario,U,218820.70862380567,0.030111200001556426,,,ok,,,,,,,209195.70862380564,9625.0,1.0,15,69,16,0,0.15,0.69,0.16,"{'shore': 15, 'battery': 69, 'brown': 16}",19,65720.60449132964,1000.0,66720.60449132964,0.0,0.8947368421052632,0.10526315789473684,0.02631578947368421,48,80542.87006744315,6000.0,86542.87006744315,0.3125,0.5,0.1875,0.15625,19,32332.23406503286,2250.0,34582.234065032855,0.0,0.8947368421052632,0.10526315789473684,0.23684210526315788,14,30600.0,375.0,30975.0,0.0,0.7857142857142857,0.21428571428571427,0.017857142857142856,
scenario,U,hybrid,100,1,milp60,scenario,U,173323.5611782428,336.2300295000314,,,infeasible,,,,,,,229461.16454204745,34650.0,1.0,0,86,14,0,0.0,0.86,0.14,"{'shore': 0, 'battery': 86, 'brown': 14}",19,80537.20572948306,26500.0,107037.20572948306,0.0,0.631578947368421,0.3684210526315789,0.6973684210526315,48,94307.82392491834,5400.0,99707.82392491834,0.0,0.8541666666666666,0.14583333333333334,0.140625,19,29416.134887646014,2750.0,32166.134887646014,0.0,1.0,0.0,0.2894736842105263,14,25200.0,0.0,25200.0,0.0,1.0,0.0,0.0,60.0
scenario,U,hybrid,100,1,milp300,scenario,U,173323.5611782428,331.8682886000024,,,infeasible,,,,,,,229461.16454204745,34650.0,1.0,0,86,14,0,0.0,0.86,0.14,"{'shore': 0, 'battery': 86, 'brown': 14}",19,80537.20572948306,26500.0,107037.20572948306,0.0,0.631578947368421,0.3684210526315789,0.6973684210526315,48,94307.82392491834,5400.0,99707.82392491834,0.0,0.8541666666666666,0.14583333333333334,0.140625,19,29416.134887646014,2750.0,32166.134887646014,0.0,1.0,0.0,0.2894736842105263,14,25200.0,0.0,25200.0,0.0,1.0,0.0,0.0,300.0
scenario,U,hybrid,100,2,cg,scenario,U,190849.8277569194,70.09225839999272,0.0,,ok,,1.0,0.0,0.0,0.0,0.0,190849.8277569194,0.0,1.0,16,84,0,0,0.16,0.84,0.0,"{'shore': 16, 'battery': 84, 'brown': 0}",23,71908.2069146626,0.0,71908.2069146626,0.043478260869565216,0.9565217391304348,0.0,0.0,53,79243.77843714059,0.0,79243.77843714059,0.2641509433962264,0.7358490566037735,0.0,0.0,12,19297.84240511622,0.0,19297.84240511622,0.0,1.0,0.0,0.0,12,20400.0,0.0,20400.0,0.08333333333333333,0.9166666666666666,0.0,0.0,
scenario,U,hybrid,100,2,greedy,scenario,U,234162.06951325823,0.07417520001763478,,,ok,,,,,,,219987.06951325823,14175.0,1.0,14,71,15,0,0.14,0.71,0.15,"{'shore': 14, 'battery': 71, 'brown': 15}",23,78101.47441038773,2000.0,80101.47441038773,0.043478260869565216,0.8695652173913043,0.08695652173913043,0.043478260869565216,53,93941.15145405084,9800.0,103741.15145405084,0.24528301886792453,0.5849056603773585,0.16981132075471697,0.23113207547169812,12,20944.44364881962,1250.0,22194.44364881962,0.0,0.9166666666666666,0.08333333333333333,0.20833333333333334,12,27000.0,1125.0,28125.0,0.0,0.75,0.25,0.0625,
scenario,U,hybrid,100,2,fifo,scenario,U,232550.01869144567,0.03360680001787841,,,ok,,,,,,,218625.01869144573,13925.0,1.0,13,72,15,0,0.13,0.72,0.15,"{'shore': 13, 'battery': 72, 'brown': 15}",23,72220.86992411925,6500.0,78720.86992411925,0.08695652173913043,0.8695652173913043,0.043478260869565216,0.14130434782608695,53,99659.70511850678,5800.0,105459.70511850678,0.18867924528301888,0.6226415094339622,0.18867924528301888,0.13679245283018868,12,20944.44364881962,1625.0,22569.44364881962,0.0,0.9166666666666666,0.08333333333333333,0.2708333333333333,12,25800.0,0.0,25800.0,0.08333333333333333,0.6666666666666666,0.25,0.0,
scenario,U,hybrid,100,2,milp60,scenario,U,185617.6419312347,4919.607213199954,,,infeasible,,,,,,,243249.928275372,126775.0,1.0,0,88,12,0,0.0,0.88,0.12,"{'shore': 0, 'battery': 88, 'brown': 12}",23,103957.73045552493,80500.0,184457.73045552493,0.0,0.6086956521739131,0.391304347826087,1.75,53,98394.35541473085,40400.0,138794.35541473085,0.0,0.9433962264150944,0.05660377358490566,0.9528301886792453,12,19297.84240511622,2875.0,22172.84240511622,0.0,1.0,0.0,0.4791666666666667,12,21600.0,3000.0,24600.0,0.0,1.0,0.0,0.16666666666666666,60.0
scenario,U,hybrid,100,2,milp300,scenario,U,185617.6419312347,4913.063590200036,,,infeasible,,,,,,,243249.928275372,126775.0,1.0,0,88,12,0,0.0,0.88,0.12,"{'shore': 0, 'battery': 88, 'brown': 12}",23,103957.73045552493,80500.0,184457.73045552493,0.0,0.6086956521739131,0.391304347826087,1.75,53,98394.35541473085,40400.0,138794.35541473085,0.0,0.9433962264150944,0.05660377358490566,0.9528301886792453,12,19297.84240511622,2875.0,22172.84240511622,0.0,1.0,0.0,0.4791666666666667,12,21600.0,3000.0,24600.0,0.0,1.0,0.0,0.16666666666666666,300.0
