iteration,wall_time,rmp_obj,rmp_lb,best_primal_obj,columns_added_this_iter,pricing_calls_cum,min_reduced_cost_last,dual_norm
1,0.2527179000317119,790832.8746908188,790832.8746908188,790832.8746908188,600,200,-3594.0542852050144,0.0
2,0.41685980005422607,612029.1238245962,612029.1238245962,612029.1238245962,420,400,-3594.0542852050144,0.0
3,0.6118981000036001,603334.1908375794,603334.1908375794,603334.1908375794,337,600,-3594.0542852050144,0.0
4,0.834734300035052,596931.9998351705,596931.9998351705,596931.9998351705,182,800,-3594.0542852050144,0.0
5,1.0801327000372112,592701.5281885989,592701.5281885989,592701.5281885989,182,1000,-3594.0542852050144,0.0
6,1.3412483000429347,589149.2092803937,589149.2092803937,589149.2092803937,98,1200,-3594.0542852050144,0.0
7,1.6042102000210434,586342.3367236278,586342.3367236278,586342.3367236278,75,1400,-3594.0542852050144,0.0
8,1.8816024000407197,585542.0626527439,585542.0626527439,585542.0626527439,24,1600,-3594.0542852050144,0.0
9,2.1588759000296704,585542.0626527439,585542.0626527439,585542.0626527439,8,1800,-3594.0542852050144,0.0
10,2.4351331000216305,585542.0626527439,585542.0626527439,585542.0626527439,18,2000,-3594.0542852050144,0.0
11,2.7273296000203118,585542.0626527439,585542.0626527439,585542.0626527439,12,2200,-3594.0542852050144,0.0
12,3.0052135000005364,585542.0626527439,585542.0626527439,585542.0626527439,9,2400,-3594.0542852050144,0.0
13,3.285263900004793,585542.0626527439,585542.0626527439,585542.0626527439,0,2600,-3594.0542852050144,0.0
