iteration,wall_time,rmp_obj,rmp_lb,best_primal_obj,columns_added_this_iter,pricing_calls_cum,min_reduced_cost_last,dual_norm
1,0.50608610000927,807474.9519948729,807474.9519948729,807474.9519948729,600,200,-5929.354840235244,0.0
2,0.7630206000176258,763019.7369122333,763019.7369122333,763019.7369122333,585,400,-6720.13342128133,0.0
3,1.1134933999856003,746767.6598815763,746767.6598815763,746767.6598815763,597,600,-6720.13342128133,0.0
4,1.5526151999947615,726395.2887804487,726395.2887804487,726395.2887804487,597,800,-6720.13342128133,0.0
5,2.071403599984478,714657.9746598642,714657.9746598642,714657.9746598642,600,1000,-6720.13342128133,0.0
6,2.6672893000068143,700387.1460342316,700387.1460342316,700387.1460342316,599,1200,-6720.13342128133,0.0
7,3.338883199961856,692910.84135686,692910.84135686,692910.84135686,592,1400,-6720.13342128133,0.0
8,4.048555199988186,685901.0766886561,685901.0766886561,685901.0766886561,590,1600,-6720.13342128133,0.0
9,4.842303799989168,678801.3976621695,678801.3976621695,678801.3976621695,588,1800,-6720.13342128133,0.0
10,5.6791162000154145,671154.9930568336,671154.9930568336,671154.9930568336,590,2000,-6720.13342128133,0.0
11,6.55938629998127,663024.3587168831,663024.3587168831,663024.3587168831,585,2200,-6720.13342128133,0.0
12,7.472042499983218,655562.6025745742,655562.6025745742,655562.6025745742,591,2400,-6720.13342128133,0.0
13,8.446003399963956,647271.7182226254,647271.7182226254,647271.7182226254,586,2600,-6720.13342128133,0.0
14,9.487531799997669,641073.0111163184,641073.0111163184,641073.0111163184,590,2800,-6720.13342128133,0.0
15,10.572702199977357,634051.7211319781,634051.7211319781,634051.7211319781,575,3000,-6720.13342128133,0.0
16,11.798999699996784,627303.31313796,627303.31313796,627303.31313796,570,3200,-6720.13342128133,0.0
17,13.012784999969881,620166.4786371656,620166.4786371656,620166.4786371656,551,3400,-6720.13342128133,0.0
18,14.299014499993064,612079.0969040424,612079.0969040424,612079.0969040424,504,3600,-6720.13342128133,0.0
19,15.623578400001861,605914.4721055361,605914.4721055361,605914.4721055361,487,3800,-6720.13342128133,0.0
20,17.01012270001229,600541.8996129956,600541.8996129956,600541.8996129956,502,4000,-6720.13342128133,0.0
