iteration,wall_time,rmp_obj,rmp_lb,best_primal_obj,columns_added_this_iter,pricing_calls_cum,min_reduced_cost_last,dual_norm
1,1.3397509000496939,2035712.7138378436,2035712.7138378436,2035712.7138378436,1500,500,-5988.945914226697,0.0
2,1.9446923000505194,1986592.3024416657,1986592.3024416657,1986592.3024416657,1500,1000,-7727.061673508793,0.0
3,2.843311700038612,1968906.088195178,1968906.088195178,1968906.088195178,1500,1500,-7727.061673508793,0.0
4,4.277117399964482,1950517.2249537795,1950517.2249537795,1950517.2249537795,1500,2000,-7727.061673508793,0.0
5,5.980280700023286,1939378.7981546957,1939378.7981546957,1939378.7981546957,1499,2500,-7727.061673508793,0.0
6,7.9429831999586895,1926709.1377884534,1926709.1377884534,1926709.1377884534,1499,3000,-7727.061673508793,0.0
7,10.063703399966471,1915138.5273426902,1915138.5273426902,1915138.5273426902,1498,3500,-7727.061673508793,0.0
8,12.27584660006687,1906568.5200299216,1906568.5200299216,1906568.5200299216,1499,4000,-7727.061673508793,0.0
9,14.657740900060162,1896768.2878013798,1896768.2878013798,1896768.2878013798,1495,4500,-7727.061673508793,0.0
10,17.15013079997152,1888068.4451075739,1888068.4451075739,1888068.4451075739,1486,5000,-7727.061673508793,0.0
11,19.813342300010845,1875928.0424470538,1875928.0424470538,1875928.0424470538,1487,5500,-7727.061673508793,0.0
12,22.648119800025597,1867611.7224920066,1867611.7224920066,1867611.7224920066,1465,6000,-7727.061673508793,0.0
13,25.761067699990235,1857408.393370757,1857408.393370757,1857408.393370757,1445,6500,-7727.061673508793,0.0
14,28.93962299998384,1843596.1728503592,1843596.1728503592,1843596.1728503592,1311,7000,-7727.061673508793,0.0
15,32.239792600041255,1828462.0228736596,1828462.0228736596,1828462.0228736596,1322,7500,-7727.061673508793,0.0
16,35.71007460006513,1818819.8048905563,1818819.8048905563,1818819.8048905563,1281,8000,-7727.061673508793,0.0
17,39.338004900026135,1809902.0833848964,1809902.0833848964,1809902.0833848964,1306,8500,-7727.061673508793,0.0
18,43.09940790000837,1800885.953705007,1800885.953705007,1800885.953705007,1092,9000,-7727.061673508793,0.0
19,46.975514300051145,1794074.1054340159,1794074.1054340159,1794074.1054340159,1071,9500,-7727.061673508793,0.0
20,51.17022299999371,1787246.0399939513,1787246.0399939513,1787246.0399939513,1102,10000,-7727.061673508793,0.0
