iteration,wall_time,rmp_obj,rmp_lb,best_primal_obj,columns_added_this_iter,pricing_calls_cum,min_reduced_cost_last,dual_norm
1,1.725177999935113,2043738.959982083,2043738.959982083,2043738.959982083,1500,500,-5983.345939773279,0.0
2,2.628079899935983,1992751.6443494747,1992751.6443494747,1992751.6443494747,1500,1000,-9542.586999225856,0.0
3,3.8243098999373615,1972196.8675042752,1972196.8675042752,1972196.8675042752,1500,1500,-9542.586999225856,0.0
4,5.675475499941967,1957411.7773972822,1957411.7773972822,1957411.7773972822,1500,2000,-9542.586999225856,0.0
5,7.677927199983969,1945226.254457858,1945226.254457858,1945226.254457858,1493,2500,-9542.586999225856,0.0
6,10.277030299999751,1930444.3603217057,1930444.3603217057,1930444.3603217057,1494,3000,-9542.586999225856,0.0
7,13.009863400016911,1922937.5949140904,1922937.5949140904,1922937.5949140904,1491,3500,-9542.586999225856,0.0
8,16.06782979995478,1914306.905793978,1914306.905793978,1914306.905793978,1493,4000,-9542.586999225856,0.0
9,19.41188239993062,1905484.2581511925,1905484.2581511925,1905484.2581511925,1492,4500,-9542.586999225856,0.0
10,23.273336199927144,1894806.3542002272,1894806.3542002272,1894806.3542002272,1486,5000,-9542.586999225856,0.0
11,27.23335140000563,1882732.3352698816,1882732.3352698816,1882732.3352698816,1481,5500,-9542.586999225856,0.0
12,31.2400873999577,1873433.280159262,1873433.280159262,1873433.280159262,1467,6000,-9542.586999225856,0.0
13,35.533168599940836,1863983.4203806773,1863983.4203806773,1863983.4203806773,1372,6500,-9542.586999225856,0.0
14,40.474945200025104,1855083.5040459489,1855083.5040459489,1855083.5040459489,1388,7000,-9542.586999225856,0.0
15,45.284788899938576,1842811.6091194383,1842811.6091194383,1842811.6091194383,1343,7500,-9542.586999225856,0.0
16,50.07091489993036,1831704.0289773382,1831704.0289773382,1831704.0289773382,1168,8000,-9542.586999225856,0.0
17,55.67717649997212,1823214.5299876179,1823214.5299876179,1823214.5299876179,1100,8500,-9542.586999225856,0.0
18,61.01265249995049,1813222.7960242762,1813222.7960242762,1813222.7960242762,990,9000,-9542.586999225856,0.0
19,66.59174379997421,1805811.3865229678,1805811.3865229678,1805811.3865229678,1015,9500,-9542.586999225856,0.0
20,72.59174599999096,1793021.3222970718,1793021.3222970718,1793021.3222970718,854,10000,-9542.586999225856,0.0
