experiment,scenario,mechanism,N,seed,method,param_name,param_value,obj,runtime_total,runtime_pricing,gap,status,error,num_iters,num_pricing_calls,num_columns_added,min_reduced_cost_last,pricing_time_share,cost_energy,cost_delay,shore_utilization,mode_shore_count,mode_battery_count,mode_brown_count,infeasible_jobs,shore_ratio,battery_ratio,brown_ratio,mechanism_counts,type_A_count,type_A_cost_energy,type_A_cost_delay,type_A_cost_total,type_A_shore_ratio,type_A_battery_ratio,type_A_brown_ratio,type_A_avg_tardy_hours,type_B_count,type_B_cost_energy,type_B_cost_delay,type_B_cost_total,type_B_shore_ratio,type_B_battery_ratio,type_B_brown_ratio,type_B_avg_tardy_hours,type_C_count,type_C_cost_energy,type_C_cost_delay,type_C_cost_total,type_C_shore_ratio,type_C_battery_ratio,type_C_brown_ratio,type_C_avg_tardy_hours,type_D_count,type_D_cost_energy,type_D_cost_delay,type_D_cost_total,type_D_shore_ratio,type_D_battery_ratio,type_D_brown_ratio,type_D_avg_tardy_hours,time_limit
main,U,hybrid,20,1,cg,,,23813.46519278539,2.739388000103645,0.0,,ok,,1.0,0.0,0.0,0.0,0.0,23813.46519278539,0.0,1.0,11,9,0,0,0.55,0.45,0.0,"{'shore': 11, 'battery': 9, 'brown': 0}",3,3483.3403438932487,0.0,3483.3403438932487,1.0,0.0,0.0,0.0,12,12373.727582233576,0.0,12373.727582233576,0.6666666666666666,0.3333333333333333,0.0,0.0,3,4356.397266658572,0.0,4356.397266658572,0.0,1.0,0.0,0.0,2,3600.0,0.0,3600.0,0.0,1.0,0.0,0.0,
main,U,hybrid,20,1,greedy,,,25538.193879251317,0.012783100013621151,,,ok,,,,,,,24538.193879251314,1000.0,1.0,11,9,0,0,0.55,0.45,0.0,"{'shore': 11, 'battery': 9, 'brown': 0}",3,5809.262601743198,0.0,5809.262601743198,0.6666666666666666,0.3333333333333333,0.0,0.0,12,10772.53401084955,1000.0,11772.53401084955,0.75,0.25,0.0,0.10416666666666667,3,4356.397266658572,0.0,4356.397266658572,0.0,1.0,0.0,0.0,2,3600.0,0.0,3600.0,0.0,1.0,0.0,0.0,
main,U,hybrid,20,1,fifo,,,25538.193879251317,0.0028919000178575516,,,ok,,,,,,,24538.193879251317,1000.0,1.0,11,9,0,0,0.55,0.45,0.0,"{'shore': 11, 'battery': 9, 'brown': 0}",3,5809.262601743198,0.0,5809.262601743198,0.6666666666666666,0.3333333333333333,0.0,0.0,12,10772.53401084955,1000.0,11772.53401084955,0.75,0.25,0.0,0.10416666666666667,3,4356.397266658572,0.0,4356.397266658572,0.0,1.0,0.0,0.0,2,3600.0,0.0,3600.0,0.0,1.0,0.0,0.0,
main,U,hybrid,20,1,milp60,,,43646.45693185997,51.93946079991292,,,ok,,,,,,,33046.45693185997,10600.0,1.0,11,7,2,0,0.55,0.35,0.1,"{'shore': 11, 'battery': 7, 'brown': 2}",3,15085.236418734623,0.0,15085.236418734623,0.3333333333333333,0.0,0.6666666666666666,0.0,12,12404.82324646677,10600.0,23004.82324646677,0.6666666666666666,0.3333333333333333,0.0,1.1041666666666667,3,4356.397266658572,0.0,4356.397266658572,0.0,1.0,0.0,0.0,2,1200.0,0.0,1200.0,1.0,0.0,0.0,0.0,60.0
main,U,hybrid,20,1,milp300,,,25883.226425302888,289.8897476999555,,,ok,,,,,,,25883.226425302888,0.0,1.0,9,11,0,0,0.45,0.55,0.0,"{'shore': 9, 'battery': 11, 'brown': 0}",3,3483.3403438932487,0.0,3483.3403438932487,1.0,0.0,0.0,0.0,12,15643.488814751072,0.0,15643.488814751072,0.4166666666666667,0.5833333333333334,0.0,0.0,3,4356.397266658572,0.0,4356.397266658572,0.0,1.0,0.0,0.0,2,2400.0,0.0,2400.0,0.5,0.5,0.0,0.0,300.0
main,U,hybrid,20,2,cg,,,26206.55794271497,5.316245199996047,0.0,,ok,,1.0,0.0,0.0,0.0,0.0,26206.55794271497,0.0,1.0,11,9,0,0,0.55,0.45,0.0,"{'shore': 11, 'battery': 9, 'brown': 0}",5,9705.52754468435,0.0,9705.52754468435,0.6,0.4,0.0,0.0,12,11373.519974333441,0.0,11373.519974333441,0.6666666666666666,0.3333333333333333,0.0,0.0,2,3327.510423697183,0.0,3327.510423697183,0.0,1.0,0.0,0.0,1,1800.0,0.0,1800.0,0.0,1.0,0.0,0.0,
main,U,hybrid,20,2,greedy,,,27645.679309053776,0.014650000026449561,,,ok,,,,,,,27045.679309053776,600.0,1.0,11,9,0,0,0.55,0.45,0.0,"{'shore': 11, 'battery': 9, 'brown': 0}",5,9705.52754468435,0.0,9705.52754468435,0.6,0.4,0.0,0.0,12,12212.641340672248,600.0,12812.641340672248,0.6666666666666666,0.3333333333333333,0.0,0.0625,2,3327.510423697183,0.0,3327.510423697183,0.0,1.0,0.0,0.0,1,1800.0,0.0,1800.0,0.0,1.0,0.0,0.0,
main,U,hybrid,20,2,fifo,,,27645.679309053776,0.0031623999821022153,,,ok,,,,,,,27045.679309053776,600.0,1.0,11,9,0,0,0.55,0.45,0.0,"{'shore': 11, 'battery': 9, 'brown': 0}",5,9705.52754468435,0.0,9705.52754468435,0.6,0.4,0.0,0.0,12,12212.641340672248,600.0,12812.641340672248,0.6666666666666666,0.3333333333333333,0.0,0.0625,2,3327.510423697183,0.0,3327.510423697183,0.0,1.0,0.0,0.0,1,1800.0,0.0,1800.0,0.0,1.0,0.0,0.0,
main,U,hybrid,20,2,milp60,,,40166.9692249328,43.85352750006132,,,ok,,,,,,,38366.9692249328,1800.0,1.0,10,6,4,0,0.5,0.3,0.2,"{'shore': 10, 'battery': 6, 'brown': 4}",5,16368.796113589138,0.0,16368.796113589138,0.6,0.0,0.4,0.0,12,15070.662687646472,1800.0,16870.662687646472,0.5833333333333334,0.3333333333333333,0.08333333333333333,0.1875,2,3327.510423697183,0.0,3327.510423697183,0.0,1.0,0.0,0.0,1,3600.0,0.0,3600.0,0.0,0.0,1.0,0.0,60.0
main,U,hybrid,20,2,milp300,,,26206.55794271497,283.62938289996237,,,ok,,,,,,,26206.55794271497,0.0,1.0,11,9,0,0,0.55,0.45,0.0,"{'shore': 11, 'battery': 9, 'brown': 0}",5,9705.52754468435,0.0,9705.52754468435,0.6,0.4,0.0,0.0,12,11373.519974333441,0.0,11373.519974333441,0.6666666666666666,0.3333333333333333,0.0,0.0,2,3327.510423697183,0.0,3327.510423697183,0.0,1.0,0.0,0.0,1,1800.0,0.0,1800.0,0.0,1.0,0.0,0.0,300.0
