capacity_config,carbon_price,C_AE,KSP,KBS,seed,total_cost,energy_cost,delay_cost,sp_share,bs_share,ae_share,avg_stay_time,masking_rate,runtime
adequate,100,0.65,2,2,1,178339.47421345147,178339.47421345147,0.0,0.13,0.87,0.0,15.902694493174037,0.483054317188994,16.509929899999406
adequate,100,0.65,2,2,2,190845.92207749336,190845.92207749336,0.0,0.16,0.84,0.0,15.70470377514971,0.47677026258925975,20.8245167999994
adequate,100,0.65,2,2,3,183140.37162830672,182740.37162830672,400.0,0.17,0.83,0.0,16.286439729971825,0.5626675202948949,17.73730620002607
adequate,100,0.65,2,2,4,177329.8383274136,177329.8383274136,0.0,0.12,0.88,0.0,16.378931208788757,0.4949248661047988,16.067120700026862
adequate,100,0.65,2,2,5,180162.8843081935,180162.8843081935,0.0,0.15,0.85,0.0,15.584235776626981,0.437576732900103,13.53220539999893
adequate,100,0.65,2,2,6,183223.63287354715,183223.63287354715,0.0,0.14,0.86,0.0,15.815548101851366,0.4780802455898985,13.690149800037034
adequate,100,0.65,2,2,7,189318.64671756962,189318.64671756962,0.0,0.15,0.85,0.0,16.053353166425225,0.46281743299825445,13.947241299960297
adequate,100,0.65,2,2,8,186831.28410148967,186831.28410148967,0.0,0.15,0.85,0.0,16.169703216994957,0.5298434163075174,15.914008099993225
adequate,100,0.65,2,2,9,182675.58904233202,182675.58904233202,0.0,0.16,0.84,0.0,15.388249263360557,0.5174703562224992,12.591778700007126
adequate,100,0.65,2,2,10,181510.71319053316,181510.71319053316,0.0,0.16,0.84,0.0,16.113645872255752,0.5463246298622151,15.142482900002506
adequate,140,0.75,2,2,1,178339.47421345147,178339.47421345147,0.0,0.13,0.87,0.0,16.033128676407188,0.48860639168329756,16.270039699971676
adequate,140,0.75,2,2,2,190845.92207749336,190845.92207749336,0.0,0.16,0.84,0.0,15.596197002791614,0.527265616428053,19.063605599978473
adequate,140,0.75,2,2,3,183140.37162830672,182740.37162830672,400.0,0.17,0.83,0.0,16.189125059064022,0.5743050933395875,14.928637299977709
adequate,140,0.75,2,2,4,177329.8383274136,177329.8383274136,0.0,0.12,0.88,0.0,16.34384970384545,0.4826163179838172,17.891591600026004
adequate,140,0.75,2,2,5,180162.8843081935,180162.8843081935,0.0,0.15,0.85,0.0,15.554487306419205,0.4835661780622273,14.216666300024372
