capacity_config,carbon_price,C_AE,mean_cost,std_cost,mean_ae_share,std_ae_share,mean_sp_share,mean_bs_share,mean_masking_rate
adequate,100,0.65,183337.835648033,4234.791508192314,0.0,0.0,0.149,0.851,0.4989529780058435
adequate,140,0.75,183337.835648033,4234.791508192315,0.0,0.0,0.149,0.851,0.510637839409158
adequate,200,0.9,183337.835648033,4234.791508192314,0.0,0.0,0.149,0.851,0.4969118976810778
adequate,260,1.05,183337.835648033,4234.791508192314,0.0,0.0,0.149,0.851,0.500702500434273
adequate,320,1.2,183337.835648033,4234.791508192315,0.0,0.0,0.149,0.851,0.4962783251840676
adequate,380,1.35,183337.835648033,4234.791508192314,0.0,0.0,0.149,0.851,0.4918780929640789
constrained,100,0.65,226376.3793211965,5111.058078521543,0.462,0.013266499161421587,0.08299999999999999,0.45499999999999996,0.2695295579601984
constrained,140,0.75,243131.694899025,5654.369614184076,0.45899999999999996,0.01374772708486751,0.08299999999999999,0.458,0.2741979073950533
constrained,200,0.9,268150.1273218311,6474.679902490645,0.45599999999999996,0.01280624847486569,0.08299999999999999,0.461,0.27260011381471483
constrained,260,1.05,292944.7872091923,7293.338288019514,0.45,0.0161245154965971,0.08399999999999999,0.466,0.2724045776156247
constrained,320,1.2,317371.34685868205,8167.825115844035,0.44400000000000006,0.012806248474865708,0.08499999999999999,0.471,0.26720988384301336
constrained,380,1.35,341432.0808644213,9077.594697747258,0.43600000000000005,0.011135528725660053,0.088,0.476,0.2577936944556284
