carbon_price,C_AE,seed,total_cost,energy_cost,delay_cost,sp_share,bs_share,ae_share,avg_stay_time,masking_rate,runtime
100,0.65,1,178339.47421345147,178339.47421345147,0.0,0.13,0.87,0.0,15.902694493174037,0.483054317188994,13.441028299974278
100,0.65,2,190845.92207749336,190845.92207749336,0.0,0.16,0.84,0.0,15.70470377514971,0.47677026258925975,16.26779740001075
100,0.65,3,183140.37162830672,182740.37162830672,400.0,0.17,0.83,0.0,16.286439729971825,0.5626675202948949,13.497913800005335
100,0.65,4,177329.8383274136,177329.8383274136,0.0,0.12,0.88,0.0,16.378931208788757,0.4949248661047988,14.991101499996148
100,0.65,5,180162.8843081935,180162.8843081935,0.0,0.15,0.85,0.0,15.584235776626981,0.437576732900103,12.36831600003643
100,0.65,6,183223.63287354715,183223.63287354715,0.0,0.14,0.86,0.0,15.815548101851366,0.4780802455898985,12.447117600007914
100,0.65,7,189318.64671756962,189318.64671756962,0.0,0.15,0.85,0.0,16.053353166425225,0.46281743299825445,12.489639499981422
100,0.65,8,186831.28410148967,186831.28410148967,0.0,0.15,0.85,0.0,16.169703216994957,0.5298434163075174,14.16079609998269
100,0.65,9,182675.58904233202,182675.58904233202,0.0,0.16,0.84,0.0,15.388249263360557,0.5174703562224992,10.774687300028745
100,0.65,10,181510.71319053316,181510.71319053316,0.0,0.16,0.84,0.0,16.113645872255752,0.5463246298622151,13.591337899968494
140,0.75,1,178339.47421345147,178339.47421345147,0.0,0.13,0.87,0.0,16.033128676407188,0.48860639168329756,14.805043299973477
140,0.75,2,190845.92207749336,190845.92207749336,0.0,0.16,0.84,0.0,15.596197002791614,0.527265616428053,17.89040269999532
140,0.75,3,183140.37162830672,182740.37162830672,400.0,0.17,0.83,0.0,16.189125059064022,0.5743050933395875,13.910052499966696
140,0.75,4,177329.8383274136,177329.8383274136,0.0,0.12,0.88,0.0,16.34384970384545,0.4826163179838172,14.64454750000732
140,0.75,5,180162.8843081935,180162.8843081935,0.0,0.15,0.85,0.0,15.554487306419205,0.4835661780622273,12.178724700002931
