iteration,wall_time,rmp_obj,rmp_lb,best_primal_obj,columns_added_this_iter,pricing_calls_cum,min_reduced_cost_last,dual_norm
1,0.6292186999926344,494778.46772545925,494778.46772545925,494778.46772545925,375,125,-3585.3749636540406,0.0
2,1.2985979999648407,346451.1434150913,346451.1434150913,346451.1434150913,303,250,-3217.235417935371,0.0
3,2.050696699996479,319433.3159839445,319433.3159839445,319433.3159839445,249,375,-2472.2868637866354,0.0
4,3.069974399986677,315821.95588669827,315821.95588669827,315821.95588669827,196,500,-1967.4284545415562,0.0
5,3.570995399961248,310972.4484966598,310972.4484966598,310972.4484966598,138,625,-1644.774444452885,0.0
6,4.371291700052097,307395.31577500777,307395.31577500777,307395.31577500777,105,750,-1433.6927793821392,0.0
7,5.433937199995853,304552.6034468002,304552.6034468002,304552.6034468002,53,875,-642.5839034284393,0.0
8,6.454884200007655,303677.3277791744,303677.3277791744,303677.3277791744,35,1000,-324.5254437866356,0.0
9,7.607077699969523,303677.3277791744,303677.3277791744,303677.3277791744,25,1125,-912.7034827866344,0.0
10,8.820913700037636,303677.3277791744,303677.3277791744,303677.3277791744,10,1250,-399.99997127447386,0.0
11,10.174115299945697,303677.3277791744,303677.3277791744,303677.3277791744,3,1375,-157.50342239141764,0.0
12,11.294869799981825,303677.3277791744,303677.3277791744,303677.3277791744,13,1500,-78.80845358698184,0.0
13,11.835879600024782,303677.3277791744,303677.3277791744,303677.3277791744,20,1625,-80.2268980291602,0.0
14,13.174740000045858,303677.3277791744,303677.3277791744,303677.3277791744,1,1750,-3.3947942013314503,0.0
15,14.459336300031282,303677.3277791744,303677.3277791744,303677.3277791744,7,1875,-1.8318969750907854e-05,0.0
16,15.24621789995581,303677.3277791744,303677.3277791744,303677.3277791744,0,2000,0.0,0.0
