iteration,wall_time,rmp_obj,rmp_lb,best_primal_obj,columns_added_this_iter,pricing_calls_cum,min_reduced_cost_last,dual_norm
1,0.9820253999205306,511309.70413860335,511309.70413860335,511309.70413860335,375,125,-5887.287586658465,0.0
2,1.3426734999520704,477946.3338279933,477946.3338279933,477946.3338279933,333,250,-7191.091419062065,0.0
3,2.098852299968712,467933.9746764038,467933.9746764038,467933.9746764038,333,375,-5887.287596311775,0.0
4,2.7168691999977455,451809.9825742523,451809.9825742523,451809.9825742523,340,500,-5766.818057230648,0.0
5,3.6339542999630794,416481.06316853827,416481.06316853827,416481.06316853827,374,625,-5225.425257230648,0.0
6,4.655434499960393,400636.72379653197,400636.72379653197,400636.72379653197,375,750,-4722.572704762219,0.0
7,5.603317299974151,393577.2541050678,393577.2541050678,393577.2541050678,375,875,-3358.336019784821,0.0
8,7.0380190999712795,384793.54710697214,384793.54710697214,384793.54710697214,374,1000,-4081.6620047622177,0.0
9,7.896070300019346,378315.48270275793,378315.48270275793,378315.48270275793,375,1125,-3801.903504762218,0.0
10,9.220307099982165,372525.2150846282,372525.2150846282,372525.2150846282,372,1250,-2731.8431194517866,0.0
11,10.738126799929887,366963.4906441634,366963.4906441634,366963.4906441634,372,1375,-2295.5938320628356,0.0
12,12.521301299915649,361908.3364831254,361908.3364831254,361908.3364831254,367,1500,-2380.6503109343103,0.0
13,13.595482799923047,357498.1247617544,357498.1247617544,357498.1247617544,361,1625,-2442.5957609343104,0.0
14,15.160391599987634,352661.29945910384,352661.29945910384,352661.29945910384,364,1750,-2082.4793724389624,0.0
15,16.62286210001912,346541.6761988339,346541.6761988339,346541.6761988339,363,1875,-2042.0051653544629,0.0
16,18.314600199926645,342295.8323608587,342295.8323608587,342295.8323608587,341,2000,-2008.51522216976,0.0
17,19.85608289996162,338131.05530080135,338131.05530080135,338131.05530080135,357,2125,-2005.611772438962,0.0
18,22.11982539994642,333948.2760745682,333948.2760745682,333948.2760745682,339,2250,-1945.979060976648,0.0
19,24.15701069997158,329997.23466322053,329997.23466322053,329997.23466322053,322,2375,-1859.180519451787,0.0
