seed,slack_low,slack_high,objective,ae_share,delay_cost_pct,internal_gap,flag_ae,flag_delay,flag_gap,flagged
1,0.5,1.5,188475.44267810768,0.05,0.6897450307201222,5.349070240552856e-05,False,False,False,False
2,0.5,1.5,205662.78710945454,0.08,0.4619211931103541,0.0035853688086931812,False,False,False,False
3,0.5,1.5,197584.4078368172,0.08,0.6326410133700232,0.008680225779162175,False,False,False,False
4,0.5,1.5,182253.30523012223,0.01,0.384080825923099,0.003934208753700565,False,False,False,False
5,0.5,1.5,192249.86565032194,0.06,0.6892072436659106,0.042390358536766364,False,False,False,False
6,0.5,1.5,191829.23498175506,0.04,0.2736809121143255,1.0055100228406382e-08,False,False,False,False
7,0.5,1.5,202846.30746460345,0.07,0.7271515160597076,0.0172764636197342,False,False,False,False
8,0.5,1.5,199554.7490496427,0.06,0.30066936660612353,0.039537168151709726,False,False,False,False
9,0.5,1.5,197845.60694558674,0.08,0.7202586006329249,0.12340348454979606,False,False,False,False
10,0.5,1.5,195477.29508624523,0.07,0.6138820365150623,0.0,False,False,False,False
