record_type,N,seed,scenario,method,operation_mode,baseline_pool_size,full_column_pool_size,baseline_pool_complete,used_full_pool_small,baseline_pool_mode_counts,Z_baseline_IRMP,baseline_internal_gap,lp_lower_bound,baseline_lp_status,baseline_ip_status,baseline_success,num_iters,pricing_calls,num_columns_added_during_cg,min_reduced_cost_last,mode_distribution_baseline,cost_energy,cost_delay,Z_MILP_exact,gap_baseline_vs_MILP,epsilon_ratio,epsilon_pct,epsilon_label,epsilon_abs,enriched_pool_size,columns_added,columns_by_mode_added,Z_enriched_IRMP,improvement_pct,enriched_internal_gap,solutions_identical,n_vessels_changed,changed_vessels,mode_distribution_enriched,cost_energy_baseline,cost_delay_baseline,cost_energy_enriched,cost_delay_enriched,enriched_lp_status,enriched_ip_status,enriched_success,gap_enriched_vs_MILP
baseline,20,1,U,cg,simops,6594,6594,True,True,"{'SP': 3908, 'BS': 2666, 'AE': 20}",23813.46519278539,0.20477119413974293,23764.80172450917,Optimal,Optimal,True,1.0,0.0,0.0,0.0,"{'SP': 0.55, 'BS': 0.45, 'AE': 0.0}",23813.46519278539,0.0,23813.46519278539,0.0,,,,,,,,,,,,,,,,,,,,,,
baseline,20,2,U,cg,simops,7803,7803,True,True,"{'SP': 4774, 'BS': 3009, 'AE': 20}",26206.55794271497,0.2281786247563236,26146.896314288566,Optimal,Optimal,True,1.0,0.0,0.0,0.0,"{'SP': 0.55, 'BS': 0.45, 'AE': 0.0}",26206.55794271497,0.0,26206.55794271497,0.0,,,,,,,,,,,,,,,,,,,,,,
baseline,20,3,U,cg,simops,6353,6353,True,True,"{'SP': 3720, 'BS': 2613, 'AE': 20}",27236.148197566563,0.030627721595771172,27227.808940047777,Optimal,Optimal,True,1.0,0.0,0.0,0.0,"{'SP': 0.55, 'BS': 0.45, 'AE': 0.0}",27236.148197566563,0.0,27236.148197566563,0.0,,,,,,,,,,,,,,,,,,,,,,
baseline,20,4,U,cg,simops,6471,6471,True,True,"{'SP': 3920, 'BS': 2531, 'AE': 20}",25050.129812979376,0.09080154250996804,25027.404543603574,Optimal,Optimal,True,1.0,0.0,0.0,0.0,"{'SP': 0.5, 'BS': 0.5, 'AE': 0.0}",25050.129812979376,0.0,25050.129812979376,0.0,,,,,,,,,,,,,,,,,,,,,,
baseline,20,5,U,cg,simops,7505,7505,True,True,"{'SP': 4478, 'BS': 3007, 'AE': 20}",22259.86502202449,0.006441031425471124,22258.431349466453,Optimal,Optimal,True,1.0,0.0,0.0,0.0,"{'SP': 0.65, 'BS': 0.35, 'AE': 0.0}",22259.86502202449,0.0,22259.86502202449,0.0,,,,,,,,,,,,,,,,,,,,,,
baseline,20,6,U,cg,simops,6432,6432,True,True,"{'SP': 3822, 'BS': 2590, 'AE': 20}",24128.75437747837,0.0793357650865651,24109.626820580746,Optimal,Optimal,True,1.0,0.0,0.0,0.0,"{'SP': 0.6, 'BS': 0.4, 'AE': 0.0}",24128.75437747837,0.0,24128.75437747837,0.0,,,,,,,,,,,,,,,,,,,,,,
baseline,20,7,U,cg,simops,6552,6552,True,True,"{'SP': 3836, 'BS': 2696, 'AE': 20}",21677.692169095855,0.15930290753567408,21643.21390006888,Optimal,Optimal,True,1.0,0.0,0.0,0.0,"{'SP': 0.6, 'BS': 0.4, 'AE': 0.0}",21677.692169095855,0.0,21677.69216909585,1.678213150511514e-14,,,,,,,,,,,,,,,,,,,,,,
baseline,20,8,U,cg,simops,6904,6904,True,True,"{'SP': 4198, 'BS': 2686, 'AE': 20}",24025.426096259922,0.01252724037676374,24022.416750369295,Optimal,Optimal,True,1.0,0.0,0.0,0.0,"{'SP': 0.6, 'BS': 0.4, 'AE': 0.0}",24025.426096259922,0.0,24025.42609625992,1.5142203066517282e-14,,,,,,,,,,,,,,,,,,,,,,
baseline,20,9,U,cg,simops,5948,5948,True,True,"{'SP': 3252, 'BS': 2676, 'AE': 20}",25561.709083544843,0.0,25561.709083544843,Optimal,Optimal,True,1.0,0.0,0.0,0.0,"{'SP': 0.5, 'BS': 0.5, 'AE': 0.0}",25561.709083544843,0.0,25561.709083544843,0.0,,,,,,,,,,,,,,,,,,,,,,
baseline,20,10,U,cg,simops,5239,5239,True,True,"{'SP': 2810, 'BS': 2409, 'AE': 20}",26704.34893606173,0.0,26704.34893606173,Optimal,Optimal,True,1.0,0.0,0.0,0.0,"{'SP': 0.45, 'BS': 0.55, 'AE': 0.0}",26704.34893606173,0.0,26704.34893606173,0.0,,,,,,,,,,,,,,,,,,,,,,
