N,method,obj_mean,obj_std,runtime_mean,runtime_std,success_rate,gap_pct_mean
20,cg,24666.40968305115,1738.6474145636116,1.970994089997839,0.4296465096554554,1.0,0.08119860274262795
20,fifo,27354.349938652787,2058.2601577740165,0.0027400299906730203,0.0006299677362665866,1.0,
20,fix_and_optimize,25434.099994737135,1740.8914255930074,10.826772639993578,2.904774549276482,1.0,
20,greedy,27334.349938652787,2078.19018748099,0.013007640023715761,0.0017573077964365643,1.0,
20,milp300,24666.40968305115,1738.6474145636116,12.07355235000141,3.394195381744871,1.0,
20,milp60,24666.40968305115,1738.6474145636116,12.136149520007894,3.305406514008758,1.0,
20,restricted_cg,27334.349938652787,2078.1901874809887,0.4170833600044716,0.022419696471552078,1.0,4.045483076559278e-14
20,rolling_horizon,26095.178466014975,1851.5774252527158,5.359770310003659,1.5442679944135003,1.0,
50,cg,82695.01146921565,2369.3294597450436,6.335256000002846,1.5727400402599714,1.0,0.008374181834230304
50,fifo,85133.54767396327,2627.058871617086,0.013843220018315987,0.003797613014648332,1.0,
50,fix_and_optimize,83770.64759844227,2375.427441121149,17.072302919998766,4.057812700751373,1.0,
50,greedy,85168.30822680327,3065.639441044993,0.040281079977285084,0.009937843340945472,1.0,
50,milp300,82695.01146883811,2369.329460076402,47.902146529988386,12.104179118578106,1.0,
50,milp60,82846.88411831352,2314.789797135205,50.6685000800062,24.01721980504638,0.8,
50,restricted_cg,85168.30822680324,3065.6394410450075,0.6973830700007966,0.044774943293239715,1.0,0.0
50,rolling_horizon,84749.40822366823,2775.7452545585256,12.567917399996077,1.677243829459916,1.0,
100,cg,183337.835648033,4234.79150819231,21.53404484001221,2.0043282821374158,1.0,0.0018571537964192169
100,fifo,219354.28422228363,7613.917548570368,0.09922317001037295,0.0065263439869472145,1.0,
100,fix_and_optimize,204854.36941663118,5928.312987300417,32.30868801000761,5.315263196551442,1.0,
100,greedy,220052.50145458383,7961.835826591392,0.20854900000849735,0.014730190561786283,1.0,
100,milp300,186497.55318386672,5635.278195825345,304.3324436400202,2.130781604299609,0.0,
100,milp60,194614.98010073922,7441.007113025212,65.98292778001633,3.986943139697486,0.0,
100,restricted_cg,219929.72125837757,7937.498373246377,1.1905335299932631,0.055117657763552194,1.0,0.030832930821534005
100,rolling_horizon,209452.86803879187,8140.076315618645,23.173432959994535,2.1287267472607136,1.0,
200,cg,535891.9682508595,7703.350077757823,120.64960663999663,20.52230600559254,1.0,0.00116190835599721
200,fifo,596409.3582190223,10226.59419113224,0.24740140999201685,0.006728425468748054,1.0,
200,fix_and_optimize,584668.8626866268,9705.722550490185,59.214218880003315,6.072652408646816,1.0,
200,greedy,598402.6582126331,9889.801344424819,0.3966623900108971,0.048458232562387536,1.0,
200,milp300,,,,,0.0,
200,milp60,,,,,0.0,
200,restricted_cg,598148.6175243167,9973.226035431378,2.1601131500006887,0.08575278058648866,1.0,0.003047675802092968
200,rolling_horizon,595687.2866408,8959.186678381177,45.55391893000342,1.5844763754541378,1.0,
500,cg,1690831.876915054,13429.766685525852,275.895422949997,32.26087721999341,1.0,0.00022499874184409003
500,fifo,1825679.247300726,14168.464389026203,0.7567850100109353,0.022205193459680736,1.0,
500,fix_and_optimize,1810200.6352817826,15130.777923882282,121.11070609000163,7.245900203548671,1.0,
500,greedy,1821269.8360819549,15666.299191661414,1.0690612499951384,0.04052225965193704,1.0,
500,milp300,,,,,0.0,
500,milp60,,,,,0.0,
500,restricted_cg,1821088.5912157805,15552.70450187232,5.151567630001227,0.1178236892330381,1.0,5.779552851924211e-14
500,rolling_horizon,1820918.3296632548,16272.435276199714,95.6987188900006,4.091600893098353,1.0,
