experiment,scenario,mechanism,N,seed,method,param_name,param_value,obj,runtime_total,runtime_pricing,gap,status,error,num_iters,num_pricing_calls,num_columns_added,min_reduced_cost_last,pricing_time_share,cost_energy,cost_delay,shore_utilization,mode_shore_count,mode_battery_count,mode_brown_count,infeasible_jobs,shore_ratio,battery_ratio,brown_ratio,mechanism_counts,type_A_count,type_A_cost_energy,type_A_cost_delay,type_A_cost_total,type_A_shore_ratio,type_A_battery_ratio,type_A_brown_ratio,type_A_avg_tardy_hours,type_B_count,type_B_cost_energy,type_B_cost_delay,type_B_cost_total,type_B_shore_ratio,type_B_battery_ratio,type_B_brown_ratio,type_B_avg_tardy_hours,type_C_count,type_C_cost_energy,type_C_cost_delay,type_C_cost_total,type_C_shore_ratio,type_C_battery_ratio,type_C_brown_ratio,type_C_avg_tardy_hours,type_D_count,type_D_cost_energy,type_D_cost_delay,type_D_cost_total,type_D_shore_ratio,type_D_battery_ratio,type_D_brown_ratio,type_D_avg_tardy_hours,time_limit,solver_backend
main,U,hybrid,20,1,cg_basic,,,23813.46519278539,2.1025813999585807,0.0,,ok,,1.0,0.0,0.0,0.0,0.0,23813.46519278539,0.0,1.0,11,9,0,0,0.55,0.45,0.0,"{'shore': 11, 'battery': 9, 'brown': 0}",3,3483.3403438932487,0.0,3483.3403438932487,1.0,0.0,0.0,0.0,12,12373.727582233576,0.0,12373.727582233576,0.6666666666666666,0.3333333333333333,0.0,0.0,3,4356.397266658572,0.0,4356.397266658572,0.0,1.0,0.0,0.0,2,3600.0,0.0,3600.0,0.0,1.0,0.0,0.0,,
main,U,hybrid,20,1,cg_warm,,,23813.46519278539,1.9025325999828056,0.0,,ok,,1.0,0.0,0.0,0.0,0.0,23813.46519278539,0.0,1.0,11,9,0,0,0.55,0.45,0.0,"{'shore': 11, 'battery': 9, 'brown': 0}",3,3483.3403438932487,0.0,3483.3403438932487,1.0,0.0,0.0,0.0,12,12373.727582233576,0.0,12373.727582233576,0.6666666666666666,0.3333333333333333,0.0,0.0,3,4356.397266658572,0.0,4356.397266658572,0.0,1.0,0.0,0.0,2,3600.0,0.0,3600.0,0.0,1.0,0.0,0.0,,
main,U,hybrid,20,1,cg_stab,,,23813.46519278539,1.8908945999573916,0.0,,ok,,1.0,0.0,0.0,0.0,0.0,23813.46519278539,0.0,1.0,11,9,0,0,0.55,0.45,0.0,"{'shore': 11, 'battery': 9, 'brown': 0}",3,3483.3403438932487,0.0,3483.3403438932487,1.0,0.0,0.0,0.0,12,12373.727582233576,0.0,12373.727582233576,0.6666666666666666,0.3333333333333333,0.0,0.0,3,4356.397266658572,0.0,4356.397266658572,0.0,1.0,0.0,0.0,2,3600.0,0.0,3600.0,0.0,1.0,0.0,0.0,,
main,U,hybrid,20,1,cg_multik,,,23813.46519278539,1.9118635000195354,0.0,,ok,,1.0,0.0,0.0,0.0,0.0,23813.46519278539,0.0,1.0,11,9,0,0,0.55,0.45,0.0,"{'shore': 11, 'battery': 9, 'brown': 0}",3,3483.3403438932487,0.0,3483.3403438932487,1.0,0.0,0.0,0.0,12,12373.727582233576,0.0,12373.727582233576,0.6666666666666666,0.3333333333333333,0.0,0.0,3,4356.397266658572,0.0,4356.397266658572,0.0,1.0,0.0,0.0,2,3600.0,0.0,3600.0,0.0,1.0,0.0,0.0,,
main,U,hybrid,20,1,cg_full,,,23813.46519278539,1.893893500091508,0.0,,ok,,1.0,0.0,0.0,0.0,0.0,23813.46519278539,0.0,1.0,11,9,0,0,0.55,0.45,0.0,"{'shore': 11, 'battery': 9, 'brown': 0}",3,3483.3403438932487,0.0,3483.3403438932487,1.0,0.0,0.0,0.0,12,12373.727582233576,0.0,12373.727582233576,0.6666666666666666,0.3333333333333333,0.0,0.0,3,4356.397266658572,0.0,4356.397266658572,0.0,1.0,0.0,0.0,2,3600.0,0.0,3600.0,0.0,1.0,0.0,0.0,,
main,U,hybrid,20,1,fifo,,,25538.193879251317,0.0028960000490769744,,,ok,,,,,,,24538.193879251317,1000.0,1.0,11,9,0,0,0.55,0.45,0.0,"{'shore': 11, 'battery': 9, 'brown': 0}",3,5809.262601743198,0.0,5809.262601743198,0.6666666666666666,0.3333333333333333,0.0,0.0,12,10772.53401084955,1000.0,11772.53401084955,0.75,0.25,0.0,0.10416666666666667,3,4356.397266658572,0.0,4356.397266658572,0.0,1.0,0.0,0.0,2,3600.0,0.0,3600.0,0.0,1.0,0.0,0.0,,
main,U,hybrid,20,1,greedy,,,25538.193879251317,0.01228700007777661,,,ok,,,,,,,24538.193879251314,1000.0,1.0,11,9,0,0,0.55,0.45,0.0,"{'shore': 11, 'battery': 9, 'brown': 0}",3,5809.262601743198,0.0,5809.262601743198,0.6666666666666666,0.3333333333333333,0.0,0.0,12,10772.53401084955,1000.0,11772.53401084955,0.75,0.25,0.0,0.10416666666666667,3,4356.397266658572,0.0,4356.397266658572,0.0,1.0,0.0,0.0,2,3600.0,0.0,3600.0,0.0,1.0,0.0,0.0,,
main,U,hybrid,20,1,milp60,,,23813.46519278539,11.735543600050732,,,ok,,,,,,,23813.46519278539,0.0,1.0,11,9,0,0,0.55,0.45,0.0,"{'shore': 11, 'battery': 9, 'brown': 0}",3,3483.3403438932487,0.0,3483.3403438932487,1.0,0.0,0.0,0.0,12,12373.727582233576,0.0,12373.727582233576,0.6666666666666666,0.3333333333333333,0.0,0.0,3,4356.397266658572,0.0,4356.397266658572,0.0,1.0,0.0,0.0,2,3600.0,0.0,3600.0,0.0,1.0,0.0,0.0,60.0,gurobi_cmd
main,U,hybrid,20,1,milp300,,,23813.46519278539,11.760754500050098,,,ok,,,,,,,23813.46519278539,0.0,1.0,11,9,0,0,0.55,0.45,0.0,"{'shore': 11, 'battery': 9, 'brown': 0}",3,3483.3403438932487,0.0,3483.3403438932487,1.0,0.0,0.0,0.0,12,12373.727582233576,0.0,12373.727582233576,0.6666666666666666,0.3333333333333333,0.0,0.0,3,4356.397266658572,0.0,4356.397266658572,0.0,1.0,0.0,0.0,2,3600.0,0.0,3600.0,0.0,1.0,0.0,0.0,300.0,gurobi_cmd
main,U,hybrid,20,2,cg_basic,,,26206.55794271497,2.5993578999768943,0.0,,ok,,1.0,0.0,0.0,0.0,0.0,26206.55794271497,0.0,1.0,11,9,0,0,0.55,0.45,0.0,"{'shore': 11, 'battery': 9, 'brown': 0}",5,9705.52754468435,0.0,9705.52754468435,0.6,0.4,0.0,0.0,12,11373.519974333441,0.0,11373.519974333441,0.6666666666666666,0.3333333333333333,0.0,0.0,2,3327.510423697183,0.0,3327.510423697183,0.0,1.0,0.0,0.0,1,1800.0,0.0,1800.0,0.0,1.0,0.0,0.0,,
