experiment,scenario,mechanism,N,seed,method,param_name,param_value,obj,runtime_total,runtime_pricing,gap,status,error,num_iters,num_pricing_calls,num_columns_added,min_reduced_cost_last,pricing_time_share,cost_energy,cost_delay,shore_utilization,mode_shore_count,mode_battery_count,mode_brown_count,infeasible_jobs,shore_ratio,battery_ratio,brown_ratio,mechanism_counts,type_A_count,type_A_cost_energy,type_A_cost_delay,type_A_cost_total,type_A_shore_ratio,type_A_battery_ratio,type_A_brown_ratio,type_A_avg_tardy_hours,type_B_count,type_B_cost_energy,type_B_cost_delay,type_B_cost_total,type_B_shore_ratio,type_B_battery_ratio,type_B_brown_ratio,type_B_avg_tardy_hours,type_C_count,type_C_cost_energy,type_C_cost_delay,type_C_cost_total,type_C_shore_ratio,type_C_battery_ratio,type_C_brown_ratio,type_C_avg_tardy_hours,type_D_count,type_D_cost_energy,type_D_cost_delay,type_D_cost_total,type_D_shore_ratio,type_D_battery_ratio,type_D_brown_ratio,type_D_avg_tardy_hours,time_limit,solver_backend
scenario,U,hybrid,100,1,cg,scenario,U,178339.47421345147,15.34631180006545,0.0,,ok,,1.0,0.0,0.0,0.0,0.0,178339.47421345147,0.0,1.0,13,87,0,0,0.13,0.87,0.0,"{'shore': 13, 'battery': 87, 'brown': 0}",19,51171.21168002153,0.0,51171.21168002153,0.2105263157894736,0.7894736842105263,0.0,0.0,48,73752.12764578388,0.0,73752.12764578388,0.1666666666666666,0.8333333333333334,0.0,0.0,19,29416.13488764601,0.0,29416.13488764601,0.0,1.0,0.0,0.0,14,24000.0,0.0,24000.0,0.0714285714285714,0.9285714285714286,0.0,0.0,,
scenario,U,hybrid,100,1,greedy,scenario,U,220165.3258081347,0.0729452999075874,,,ok,,,,,,,209415.3258081347,10750.0,1.0,15,68,17,0,0.15,0.68,0.17,"{'shore': 15, 'battery': 68, 'brown': 17}",19,63433.13623099793,4500.0,67933.13623099793,0.0526315789473684,0.8421052631578947,0.1052631578947368,0.1184210526315789,48,81669.17117611007,5000.0,86669.17117611007,0.2916666666666667,0.5208333333333334,0.1875,0.1302083333333333,19,33713.01840102664,875.0,34588.01840102664,0.0,0.8421052631578947,0.1578947368421052,0.0921052631578947,14,30600.0,375.0,30975.0,0.0,0.7857142857142857,0.2142857142857142,0.0178571428571428,,
scenario,U,hybrid,100,1,fifo,scenario,U,218820.7086238057,0.029887199983932,,,ok,,,,,,,209195.70862380564,9625.0,1.0,15,69,16,0,0.15,0.69,0.16,"{'shore': 15, 'battery': 69, 'brown': 16}",19,65720.60449132964,1000.0,66720.60449132964,0.0,0.8947368421052632,0.1052631578947368,0.0263157894736842,48,80542.87006744315,6000.0,86542.87006744315,0.3125,0.5,0.1875,0.15625,19,32332.23406503286,2250.0,34582.234065032855,0.0,0.8947368421052632,0.1052631578947368,0.2368421052631578,14,30600.0,375.0,30975.0,0.0,0.7857142857142857,0.2142857142857142,0.0178571428571428,,
scenario,U,hybrid,100,1,milp60,scenario,U,187789.8625091516,62.97183389996644,,,not solved,,,,,,,187789.8625091516,0.0,1.0,12,83,5,0,0.12,0.83,0.05,"{'shore': 12, 'battery': 83, 'brown': 5}",19,52407.80880421,0.0,52407.80880421,0.2631578947368421,0.6842105263157895,0.0526315789473684,0.0,48,79385.13448130181,0.0,79385.13448130181,0.1458333333333333,0.7916666666666666,0.0625,0.0,19,30796.91922363979,0.0,30796.91922363979,0.0,0.9473684210526316,0.0526315789473684,0.0,14,25200.0,0.0,25200.0,0.0,1.0,0.0,0.0,60.0,gurobi_cmd
scenario,U,hybrid,100,1,milp300,scenario,U,178339.47421273272,300.28129099996295,,,not solved,,,,,,,178339.47421345147,0.0,1.0,13,87,0,0,0.13,0.87,0.0,"{'shore': 13, 'battery': 87, 'brown': 0}",19,51171.21168002153,0.0,51171.21168002153,0.2105263157894736,0.7894736842105263,0.0,0.0,48,73752.12764578388,0.0,73752.12764578388,0.1666666666666666,0.8333333333333334,0.0,0.0,19,29416.13488764601,0.0,29416.13488764601,0.0,1.0,0.0,0.0,14,24000.0,0.0,24000.0,0.0714285714285714,0.9285714285714286,0.0,0.0,300.0,gurobi_cmd
scenario,U,hybrid,100,2,cg,scenario,U,190845.92207749336,15.970217800000682,0.0,,ok,,1.0,0.0,0.0,0.0,0.0,190845.92207749336,0.0,1.0,16,84,0,0,0.16,0.84,0.0,"{'shore': 16, 'battery': 84, 'brown': 0}",23,71908.2069146626,0.0,71908.2069146626,0.0434782608695652,0.9565217391304348,0.0,0.0,53,78039.87275771453,0.0,78039.87275771453,0.2830188679245283,0.7169811320754716,0.0,0.0,12,19297.84240511622,0.0,19297.84240511622,0.0,1.0,0.0,0.0,12,21600.0,0.0,21600.0,0.0,1.0,0.0,0.0,,
scenario,U,hybrid,100,2,greedy,scenario,U,234162.06951325823,0.0728438000660389,,,ok,,,,,,,219987.06951325823,14175.0,1.0,14,71,15,0,0.14,0.71,0.15,"{'shore': 14, 'battery': 71, 'brown': 15}",23,78101.47441038773,2000.0,80101.47441038773,0.0434782608695652,0.8695652173913043,0.0869565217391304,0.0434782608695652,53,93941.15145405084,9800.0,103741.15145405084,0.2452830188679245,0.5849056603773585,0.1698113207547169,0.2311320754716981,12,20944.44364881962,1250.0,22194.44364881962,0.0,0.9166666666666666,0.0833333333333333,0.2083333333333333,12,27000.0,1125.0,28125.0,0.0,0.75,0.25,0.0625,,
scenario,U,hybrid,100,2,fifo,scenario,U,232550.01869144567,0.0328344999579712,,,ok,,,,,,,218625.01869144573,13925.0,1.0,13,72,15,0,0.13,0.72,0.15,"{'shore': 13, 'battery': 72, 'brown': 15}",23,72220.86992411925,6500.0,78720.86992411925,0.0869565217391304,0.8695652173913043,0.0434782608695652,0.1413043478260869,53,99659.70511850678,5800.0,105459.70511850678,0.1886792452830188,0.6226415094339622,0.1886792452830188,0.1367924528301886,12,20944.44364881962,1625.0,22569.44364881962,0.0,0.9166666666666666,0.0833333333333333,0.2708333333333333,12,25800.0,0.0,25800.0,0.0833333333333333,0.6666666666666666,0.25,0.0,,
scenario,U,hybrid,100,2,milp60,scenario,U,201235.28712148333,62.68110060004983,,,not solved,,,,,,,200785.28712148333,450.0,1.0,9,85,6,0,0.09,0.85,0.06,"{'shore': 9, 'battery': 85, 'brown': 6}",23,60343.98466434583,0.0,60343.98466434583,0.2608695652173913,0.7391304347826086,0.0,0.0,53,99543.46005202128,200.0,99743.46005202128,0.0566037735849056,0.8301886792452831,0.1132075471698113,0.0047169811320754,12,19297.84240511622,250.0,19547.84240511622,0.0,1.0,0.0,0.0416666666666666,12,21600.0,0.0,21600.0,0.0,1.0,0.0,0.0,60.0,gurobi_cmd
scenario,U,hybrid,100,2,milp300,scenario,U,193522.9029069902,302.78827839996666,,,not solved,,,,,,,193322.9029069902,200.0,1.0,14,85,1,0,0.14,0.85,0.01,"{'shore': 14, 'battery': 85, 'brown': 1}",23,71645.10143074571,0.0,71645.10143074571,0.0434782608695652,0.9565217391304348,0.0,0.0,53,84379.95907112831,200.0,84579.95907112831,0.1886792452830188,0.7924528301886793,0.0188679245283018,0.0047169811320754,12,19297.84240511622,0.0,19297.84240511622,0.0,1.0,0.0,0.0,12,18000.0,0.0,18000.0,0.25,0.75,0.0,0.0,300.0,gurobi_cmd
