slack,perturbation_type,Delta,total_cost,avg_stay_h
loose,one_sided_delay,0.0,184401.46712014254,15.837753441190607
loose,one_sided_delay,1.0,184873.52434579286,15.48978661342574
loose,one_sided_delay,2.0,185382.33097110802,15.345222254278683
loose,symmetric,0.0,184474.69271973573,15.644084026708306
loose,symmetric,1.0,185044.18345613175,15.523601022497774
loose,symmetric,2.0,184646.75723037747,15.536380729151588
tight,one_sided_delay,0.0,197098.91868444503,14.384099549763988
tight,one_sided_delay,1.0,202655.48603090632,14.165668723288707
tight,one_sided_delay,2.0,233282.613365693,14.117058067224217
tight,symmetric,0.0,197057.54742710898,14.353855867813508
tight,symmetric,1.0,200381.02400877964,14.307658172678618
tight,symmetric,2.0,213808.59066973673,14.351597183568947
