N,seed,scenario,method,status,error,obj,runtime_total,runtime_pricing,gap,gap_pct,lp_lower_bound,lp_obj_final_pool,irmp_obj,best_reduced_cost_last,num_negative_columns_last,num_columns_total,iterations,runtime_sec,cg_status,gap_type,full_pricing_converged,min_reduced_cost,lp_status,ip_status,success,num_iters,num_pricing_calls,num_columns_added,n_columns_generated,min_reduced_cost_last,pricing_time_share,infeasible_jobs,cost_energy,cost_delay,type_A_count,type_A_cost_energy,type_A_cost_delay,type_A_cost_total,type_A_shore_ratio,type_A_battery_ratio,type_A_brown_ratio,type_A_avg_tardy_hours,type_B_count,type_B_cost_energy,type_B_cost_delay,type_B_cost_total,type_B_shore_ratio,type_B_battery_ratio,type_B_brown_ratio,type_B_avg_tardy_hours,type_C_count,type_C_cost_energy,type_C_cost_delay,type_C_cost_total,type_C_shore_ratio,type_C_battery_ratio,type_C_brown_ratio,type_C_avg_tardy_hours,type_D_count,type_D_cost_energy,type_D_cost_delay,type_D_cost_total,type_D_shore_ratio,type_D_battery_ratio,type_D_brown_ratio,type_D_avg_tardy_hours,mode_shore_count,mode_battery_count,mode_brown_count,SP_share,BS_share,AE_share,C_BS,num_fully_masked,num_partially_masked,avg_masking_rate,time_saved_total,avg_stay_time,num_fully_masked_type_A,num_partially_masked_type_A,avg_masking_rate_type_A,num_fully_masked_type_B,num_partially_masked_type_B,avg_masking_rate_type_B,num_fully_masked_type_C,num_partially_masked_type_C,avg_masking_rate_type_C,num_fully_masked_type_D,num_partially_masked_type_D,avg_masking_rate_type_D
100,1,U,CG+IR,ok,,121892.83752512385,19.27044429999978,0.0,1.1600972771744222e-05,0.0011600972771744,121891.42344963465,121891.42344963465,121892.83752512385,0.0,0.0,42648.0,1.0,19.27044429999978,full_pricing_converged,Full-CG LP-IP gap,1.0,0.0,Optimal,Optimal,True,1.0,0.0,0.0,42648.0,0.0,0.0,0,121892.83752512385,0.0,19,35443.978666181945,0.0,35443.978666181945,0.2105263157894736,0.7894736842105263,0.0,0.0,48,50638.10226717788,0.0,50638.10226717788,0.1666666666666666,0.8333333333333334,0.0,0.0,19,19610.75659176401,0.0,19610.75659176401,0.0,1.0,0.0,0.0,14,16200.0,0.0,16200.0,0.0714285714285714,0.9285714285714286,0.0,0.0,13,87,0,0.13,0.87,0.0,0.3,,,,,,,,,,,,,,,,,
100,1,U,rolling_horizon,ok,,148321.53402710627,18.85617869999988,,,,,,,,,,,,,,,,,,True,,,,,,,0,144246.53402710627,4075.0,19,43062.74979327313,0.0,43062.74979327313,0.0526315789473684,0.8947368421052632,0.0526315789473684,0.0,48,60884.89540555334,1200.0,62084.89540555334,0.25,0.625,0.125,0.03125,19,23498.888828279807,2125.0,25623.888828279807,0.0,0.8947368421052632,0.1052631578947368,0.2236842105263158,14,16800.0,750.0,17550.0,0.0,1.0,0.0,0.0357142857142857,13,78,9,0.13,0.78,0.09,0.3,44.0,9.0,0.4799129797404939,57.59576650595745,15.621965372701563,9.0,2.0,0.5338924130433703,15.0,7.0,0.3718196276296949,10.0,0.0,0.5263157894736842,10.0,0.0,0.7142857142857143
100,1,U,fix_and_optimize,ok,,152689.65520435732,14.118750199999797,,,,,,,,,,,,,,,,,,True,,,,,,,0,144714.65520435732,7975.0,19,44213.99121981265,500.0,44713.99121981265,0.0,0.9473684210526316,0.0526315789473684,0.0131578947368421,48,59724.11958432358,2600.0,62324.11958432358,0.3125,0.5625,0.125,0.0677083333333333,19,21576.5444002211,3375.0,24951.5444002211,0.0,0.9473684210526316,0.0526315789473684,0.3552631578947368,14,19200.0,1500.0,20700.0,0.0,0.9285714285714286,0.0714285714285714,0.0714285714285714,15,76,9,0.15,0.76,0.09,0.3,47.0,12.0,0.5278107341817546,72.56559004314472,15.521738028544128,12.0,1.0,0.6812392753791444,19.0,8.0,0.4505991182679247,9.0,2.0,0.5554647073319102,7.0,1.0,0.5467814335575024
100,2,U,CG+IR,ok,,130167.9064397454,20.800442199999907,0.0,6.086701970567912e-05,0.0060867019705679,130159.98350721908,130159.98350721908,130167.9064397454,0.0,0.0,44467.0,1.0,20.800442199999907,full_pricing_converged,Full-CG LP-IP gap,1.0,0.0,Optimal,Optimal,True,1.0,0.0,0.0,44467.0,0.0,0.0,0,130167.9064397454,0.0,23,48276.36464659247,0.0,48276.36464659247,0.0434782608695652,0.9565217391304348,0.0,0.0,53,54626.31352307547,0.0,54626.31352307547,0.2830188679245283,0.7169811320754716,0.0,0.0,12,12865.228270077476,0.0,12865.228270077476,0.0,1.0,0.0,0.0,12,14400.0,0.0,14400.0,0.0,1.0,0.0,0.0,16,84,0,0.16,0.84,0.0,0.3,,,,,,,,,,,,,,,,,
100,2,U,rolling_horizon,ok,,171090.68620696754,20.47269150000011,,,,,,,,,,,,,,,,,,True,,,,,,,0,166290.68620696754,4800.0,23,52032.262907599776,1000.0,53032.262907599776,0.0434782608695652,0.9130434782608696,0.0434782608695652,0.0217391304347826,53,76332.27259700018,2800.0,79132.27259700018,0.1886792452830188,0.6415094339622641,0.1698113207547169,0.0660377358490566,12,16926.150702367595,1000.0,17926.150702367595,0.0,0.8333333333333334,0.1666666666666666,0.1666666666666666,12,21000.0,0.0,21000.0,0.0833333333333333,0.6666666666666666,0.25,0.0,12,73,15,0.12,0.73,0.15,0.3,46.0,8.0,0.4959771379700879,64.29265452903316,15.339569796282692,13.0,1.0,0.604339952570244,23.0,5.0,0.4773217539153629,6.0,1.0,0.5216058196842199,4.0,1.0,0.3450476745140254
100,2,U,fix_and_optimize,ok,,165305.22041392338,15.618537500000455,,,,,,,,,,,,,,,,,,True,,,,,,,0,159355.22041392338,5950.0,23,50835.56811939253,500.0,51335.56811939253,0.0869565217391304,0.8695652173913043,0.0434782608695652,0.0108695652173913,53,74858.9556995155,4200.0,79058.9556995155,0.1886792452830188,0.660377358490566,0.1509433962264151,0.0990566037735849,12,15060.696595015344,875.0,15935.696595015344,0.0,0.9166666666666666,0.0833333333333333,0.1458333333333333,12,18600.0,375.0,18975.0,0.0833333333333333,0.75,0.1666666666666666,0.0208333333333333,13,75,12,0.13,0.75,0.12,0.3,49.0,10.0,0.5461803648653966,81.92672826199617,15.123507282783487,12.0,3.0,0.6123272151172027,25.0,6.0,0.5249478150065772,8.0,0.0,0.6666666666666666,4.0,1.0,0.3926896952912839
100,1,U,CG+IR,ok,,159523.9286506756,17.4531506000003,0.0,1.4774595437087404e-05,0.0014774595437087,159521.57174916723,159521.57174916723,159523.9286506756,0.0,0.0,42648.0,1.0,17.4531506000003,full_pricing_converged,Full-CG LP-IP gap,1.0,0.0,Optimal,Optimal,True,1.0,0.0,0.0,42648.0,0.0,0.0,0,159523.9286506756,0.0,19,45928.80067540833,0.0,45928.80067540833,0.2105263157894736,0.7894736842105263,0.0,0.0,48,66047.45251958189,0.0,66047.45251958189,0.1666666666666666,0.8333333333333334,0.0,0.0,19,26147.675455685345,0.0,26147.675455685345,0.0,1.0,0.0,0.0,14,21400.0,0.0,21400.0,0.0714285714285714,0.9285714285714286,0.0,0.0,13,87,0,0.13,0.87,0.0,0.4,,,,,,,,,,,,,,,,,
100,1,U,rolling_horizon,ok,,187616.85524156943,19.84600909999972,,,,,,,,,,,,,,,,,,True,,,,,,,0,182341.85524156943,5275.0,19,54643.00262462037,0.0,54643.00262462037,0.0526315789473684,0.8947368421052632,0.0526315789473684,0.0,48,73911.06696416724,3400.0,77311.06696416724,0.2708333333333333,0.5833333333333334,0.1458333333333333,0.0885416666666666,19,29387.78565278184,0.0,29387.78565278184,0.0,0.8947368421052632,0.1052631578947368,0.0,14,24400.0,1875.0,26275.0,0.0,0.9285714285714286,0.0714285714285714,0.0892857142857142,14,75,11,0.14,0.75,0.11,0.4,37.0,9.0,0.4067597799577198,50.94739295741962,15.697383936297806,8.0,2.0,0.4786791041344143,14.0,5.0,0.3261205570859168,7.0,1.0,0.4171574790283976,8.0,1.0,0.5715211553967531
100,1,U,fix_and_optimize,ok,,186244.20277103595,13.918173600000046,,,,,,,,,,,,,,,,,,True,,,,,,,0,180244.20277103595,6000.0,19,54655.51478524315,1000.0,55655.51478524315,0.0526315789473684,0.8947368421052632,0.0526315789473684,0.0263157894736842,48,71402.85602305984,2000.0,73402.85602305984,0.2916666666666667,0.5833333333333334,0.125,0.0520833333333333,19,27785.83196273292,3000.0,30785.83196273292,0.0,0.9473684210526316,0.0526315789473684,0.3157894736842105,14,26400.0,0.0,26400.0,0.0,0.8571428571428571,0.1428571428571428,0.0,15,75,10,0.15,0.75,0.1,0.4,49.0,7.0,0.5201175577402242,73.97559940989123,15.307062180866255,12.0,1.0,0.6481340833692246,20.0,5.0,0.4661583636153217,10.0,0.0,0.5263157894736842,7.0,1.0,0.5229719097479786
100,2,U,CG+IR,ok,,170619.9168649107,21.414295099999435,0.0,7.739324583965249e-05,0.0077393245839652,170606.71203573962,170606.71203573962,170619.9168649107,0.0,0.0,44467.0,1.0,21.414295099999435,full_pricing_converged,Full-CG LP-IP gap,1.0,0.0,Optimal,Optimal,True,1.0,0.0,0.0,44467.0,0.0,0.0,0,170619.9168649107,0.0,23,64030.92615863924,0.0,64030.92615863924,0.0434782608695652,0.9565217391304348,0.0,0.0,53,70235.35301283485,0.0,70235.35301283485,0.2830188679245283,0.7169811320754716,0.0,0.0,12,17153.637693436638,0.0,17153.637693436638,0.0,1.0,0.0,0.0,12,19200.0,0.0,19200.0,0.0,1.0,0.0,0.0,16,84,0,0.16,0.84,0.0,0.4,,,,,,,,,,,,,,,,,
