C_BS,method,total_cost,cost_std
0.3,CG+IR,126030.37198243462,5851.3573443149135
0.3,fix_and_optimize,158997.43780914036,8920.551708185241
0.3,rolling_horizon,159706.1101170369,16100.221908248363
0.4,CG+IR,165071.92275779316,7846.048510251627
0.4,fix_and_optimize,193071.13200501213,9654.735912050439
0.4,rolling_horizon,197832.67197317595,14447.34657255596
0.45,CG+IR,184592.69814547242,8843.394093220038
0.45,fix_and_optimize,211890.02239198802,10617.280770108371
0.45,rolling_horizon,210813.0330372663,11177.961339556372
0.6,CG+IR,243155.02430851012,11835.430842125168
0.6,fix_and_optimize,263120.05222099076,13741.291279894045
0.6,rolling_horizon,268181.71454592625,14068.47398150518
0.8,CG+IR,321215.6571782734,15793.03766066535
0.8,fix_and_optimize,331966.8456030925,18551.776276809163
0.8,rolling_horizon,334745.04084777145,18026.785712014782
