carbon_price,grid_factor,capacity_config,total_cost,emissions_proxy_kg,AE_share
100,0.2,baseline,184592.69814547242,36918.53962909449,0.0
100,0.2,constrained,267795.655825738,53389.1311651476,0.455
100,0.2,expanded,167249.0236368045,33449.8047273609,0.0
100,0.565,baseline,184592.69814547242,104294.87445219193,0.0
100,0.565,constrained,267795.655825738,150824.29554154194,0.455
100,0.565,expanded,167249.0236368045,94495.6983547945,0.0
260,0.2,baseline,184592.69814547242,36918.53962909449,0.0
260,0.2,constrained,285993.03276948177,56813.60655389636,0.45
260,0.2,expanded,167249.0236368045,33449.8047273609,0.0
260,0.565,baseline,184592.69814547242,104294.87445219193,0.0
260,0.565,constrained,285993.03276948177,160498.4385147572,0.45
260,0.565,expanded,167249.0236368045,94495.6983547945,0.0
380,0.2,baseline,184592.69814547242,36918.53962909449,0.0
380,0.2,constrained,299499.0182665058,59474.80365330117,0.45
380,0.2,expanded,167249.0236368045,33449.8047273609,0.0
380,0.565,baseline,184592.69814547242,104294.87445219193,0.0
380,0.565,constrained,299499.0182665058,168016.3203205758,0.45
380,0.565,expanded,167249.0236368045,94495.6983547945,0.0
