N,scenario,seed,method,C_BS,status,error,obj,runtime_total,runtime_pricing,gap,gap_pct,lp_lower_bound,lp_obj_final_pool,irmp_obj,pool_gap_pct,min_reduced_cost_scanned_last,num_negative_columns_scanned_last,num_columns_added_last,min_reduced_cost_added_last,best_reduced_cost_last,num_negative_columns_last,num_columns_total,iterations,runtime_sec,cg_status,gap_type,full_pricing_converged,pricing_converged,objective_stabilized,relative_improvement_last_5,injected_columns_count,injected_incumbent_methods,min_reduced_cost,operation_mode,lp_status,ip_status,success,num_iters,num_pricing_calls,num_columns_added,n_columns_generated,min_reduced_cost_last,pricing_time_share,infeasible_jobs,cost_energy,cost_delay,type_A_count,type_A_cost_energy,type_A_cost_delay,type_A_cost_total,type_A_shore_ratio,type_A_battery_ratio,type_A_brown_ratio,type_A_avg_tardy_hours,type_B_count,type_B_cost_energy,type_B_cost_delay,type_B_cost_total,type_B_shore_ratio,type_B_battery_ratio,type_B_brown_ratio,type_B_avg_tardy_hours,type_C_count,type_C_cost_energy,type_C_cost_delay,type_C_cost_total,type_C_shore_ratio,type_C_battery_ratio,type_C_brown_ratio,type_C_avg_tardy_hours,type_D_count,type_D_cost_energy,type_D_cost_delay,type_D_cost_total,type_D_shore_ratio,type_D_battery_ratio,type_D_brown_ratio,type_D_avg_tardy_hours,num_fully_masked,num_partially_masked,avg_masking_rate,time_saved_total,avg_stay_time,num_fully_masked_type_A,num_partially_masked_type_A,avg_masking_rate_type_A,num_fully_masked_type_B,num_partially_masked_type_B,avg_masking_rate_type_B,num_fully_masked_type_C,num_partially_masked_type_C,avg_masking_rate_type_C,num_fully_masked_type_D,num_partially_masked_type_D,avg_masking_rate_type_D,avg_delay_h,delay_cost,emissions_total_kg,emissions_total_tCO2,mode_shore_count,mode_battery_count,mode_brown_count,SP_share,BS_share,AE_share,objective,total_cost,avg_stay_h,masking_rate
100,U,1,CG+IR,0.3,ok,,121892.83752512383,18.482725000001665,0.0,1.1600972771744222e-05,0.0011600972771744222,121891.42344963463,121891.42344963463,121892.83752512383,0.0011600972771744222,0.0,0,0,0.0,0.0,0,42648,1,18.482725000001665,full_pricing_converged,Full-CG LP-IP gap,True,True,False,,0,,0.0,simops,Optimal,Optimal,True,1,0,0,42648,0.0,0.0,0,121892.83752512383,0.0,19,35443.978666181945,0.0,35443.978666181945,0.21052631578947367,0.7894736842105263,0.0,0.0,48,50638.10226717788,0.0,50638.10226717788,0.16666666666666666,0.8333333333333334,0.0,0.0,19,19610.75659176401,0.0,19610.75659176401,0.0,1.0,0.0,0.0,14,16200.0,0.0,16200.0,0.07142857142857142,0.9285714285714286,0.0,0.0,42,12,0.49055334032957787,72.85799219797074,15.967819894623332,6,4,0.4168238909212532,19,7,0.4930344170516925,6,1,0.34052779405119693,11,0,0.7857142857142857,0.017951764438485007,0.0,194157.06248249547,194.15706248249546,13,87,0,0.13,0.87,0.0,121892.83752512383,121892.83752512383,15.967819894623332,0.49055334032957787
100,U,2,CG+IR,0.3,ok,,130167.9064397454,19.473437300002843,0.0,6.0867019705679124e-05,0.006086701970567912,130159.98350721909,130159.98350721909,130167.9064397454,0.006086701970567912,0.0,0,0,0.0,0.0,0,44467,1,19.473437300002843,full_pricing_converged,Full-CG LP-IP gap,True,True,False,,0,,0.0,simops,Optimal,Optimal,True,1,0,0,44467,0.0,0.0,0,130167.9064397454,0.0,23,48276.36464659247,0.0,48276.36464659247,0.043478260869565216,0.9565217391304348,0.0,0.0,53,54626.31352307547,0.0,54626.31352307547,0.2830188679245283,0.7169811320754716,0.0,0.0,12,12865.228270077476,0.0,12865.228270077476,0.0,1.0,0.0,0.0,12,14400.0,0.0,14400.0,0.0,1.0,0.0,0.0,41,17,0.49785212459078215,73.6143676283481,15.52081200778141,9,2,0.44275035799892415,19,13,0.4775199293622758,2,1,0.243619423541805,11,1,0.9474970738667242,0.018909904638716172,0.0,206153.34271259254,206.15334271259255,16,84,0,0.16,0.84,0.0,130167.9064397454,130167.9064397454,15.52081200778141,0.49785212459078215
100,U,3,CG+IR,0.3,ok,,125292.7912358673,16.326131499998155,0.0,2.255737028570071e-10,2.255737028570071e-08,125292.79120760455,125292.79120760455,125292.7912358673,2.255737028570071e-08,0.0,0,0,0.0,0.0,0,42771,1,16.326131499998155,full_pricing_converged,Full-CG LP-IP gap,True,True,False,,0,,0.0,simops,Optimal,Optimal,True,1,0,0,42771,0.0,0.0,0,125092.7912358673,200.0,19,37647.571584018995,0.0,37647.571584018995,0.05263157894736842,0.9473684210526315,0.0,0.0,51,55210.85453362606,200.0,55410.85453362606,0.27450980392156865,0.7254901960784313,0.0,0.004901960784313725,18,19034.36511822225,0.0,19034.36511822225,0.0,1.0,0.0,0.0,12,13200.0,0.0,13200.0,0.16666666666666666,0.8333333333333334,0.0,0.0,51,9,0.5622591404556364,77.1858345856177,16.18902597295075,11,2,0.6144324244142522,21,5,0.4847195862310761,11,1,0.6561663915968634,8,1,0.6683336695970358,0.0170732327907659,200.0,199202.80384181187,199.20280384181186,17,83,0,0.17,0.83,0.0,125292.7912358673,125292.7912358673,16.18902597295075,0.5622591404556364
100,U,4,CG+IR,0.3,ok,,121363.84946140881,17.41931679999834,0.0,3.515199952844206e-06,0.0003515199952844206,121363.42284321091,121363.42284321091,121363.84946140881,0.0003515199952844206,0.0,0,0,0.0,0.0,0,45126,1,17.41931679999834,full_pricing_converged,Full-CG LP-IP gap,True,True,False,,0,,0.0,simops,Optimal,Optimal,True,1,0,0,45126,0.0,0.0,0,121363.84946140881,0.0,14,25127.021775868594,0.0,25127.021775868594,0.2857142857142857,0.7142857142857143,0.0,0.0,56,62529.40061660731,0.0,62529.40061660731,0.125,0.875,0.0,0.0,10,10307.427068932882,0.0,10307.427068932882,0.0,1.0,0.0,0.0,20,23400.0,0.0,23400.0,0.05,0.95,0.0,0.0,47,8,0.5253621410348263,83.96991609334871,16.407207476239204,6,3,0.6079152399761263,25,4,0.48900282120307587,4,1,0.4641242756444603,12,0,0.6,0.015035800256729032,0.0,194013.65309969801,194.01365309969802,12,88,0,0.12,0.88,0.0,121363.84946140881,121363.84946140881,16.407207476239204,0.5253621410348263
100,U,5,CG+IR,0.3,ok,,123106.47997877028,16.76020040000003,0.0,2.1721699870859523e-05,0.0021721699870859523,123103.80589676002,123103.80589676002,123106.47997877028,0.0021721699870859523,0.0,0,0,0.0,0.0,0,43663,1,16.76020040000003,full_pricing_converged,Full-CG LP-IP gap,True,True,False,,0,,0.0,simops,Optimal,Optimal,True,1,0,0,43663,0.0,0.0,0,123106.47997877028,0.0,17,35232.3201521998,0.0,35232.3201521998,0.058823529411764705,0.9411764705882353,0.0,0.0,50,51315.76573129731,0.0,51315.76573129731,0.26,0.74,0.0,0.0,17,17958.394095273186,0.0,17958.394095273186,0.0,1.0,0.0,0.0,16,18600.0,0.0,18600.0,0.0625,0.9375,0.0,0.0,40,10,0.45633311136268434,68.13044976229918,15.635217010601115,10,0,0.5882352941176471,12,9,0.3356019295736789,7,0,0.4117647058823529,11,1,0.7408259160990305,0.02451688425925962,0.0,195948.5577597297,195.9485577597297,15,85,0,0.15,0.85,0.0,123106.47997877028,123106.47997877028,15.635217010601115,0.45633311136268434
100,U,6,CG+IR,0.3,ok,,125411.98185382831,15.238858400000026,0.0,3.797747683656905e-06,0.0003797747683656905,125411.50557076473,125411.50557076473,125411.98185382831,0.0003797747683656905,0.0,0,0,0.0,0.0,0,43388,1,15.238858400000026,full_pricing_converged,Full-CG LP-IP gap,True,True,False,,0,,0.0,simops,Optimal,Optimal,True,1,0,0,43388,0.0,0.0,0,125411.98185382831,0.0,18,34513.71694493627,0.0,34513.71694493627,0.2222222222222222,0.7777777777777778,0.0,0.0,46,50561.098808930066,0.0,50561.098808930066,0.1956521739130435,0.8043478260869565,0.0,0.0,16,16937.166099962018,0.0,16937.166099962018,0.0,1.0,0.0,0.0,20,23400.0,0.0,23400.0,0.05,0.95,0.0,0.0,42,9,0.4698391547705635,70.84262920832687,15.81016482152023,4,5,0.37702376581232244,15,2,0.3374925643932806,8,1,0.5427657908687685,15,1,0.7994288538221668,0.009553341705610806,0.0,200547.6481411915,200.54764814119147,14,86,0,0.14,0.86,0.0,125411.98185382831,125411.98185382831,15.81016482152023,0.4698391547705635
100,U,7,CG+IR,0.3,ok,,129206.21226547206,17.47117679999792,0.0,1.1389989799918651e-05,0.0011389989799918652,129204.74060803227,129204.74060803227,129206.21226547206,0.0011389989799918652,0.0,0,0,0.0,0.0,0,45148,1,17.47117679999792,full_pricing_converged,Full-CG LP-IP gap,True,True,False,,0,,0.0,simops,Optimal,Optimal,True,1,0,0,45148,0.0,0.0,0,129206.21226547206,0.0,21,43968.959441855215,0.0,43968.959441855215,0.0,1.0,0.0,0.0,54,57526.88582850608,0.0,57526.88582850608,0.25925925925925924,0.7407407407407407,0.0,0.0,10,10310.366995110788,0.0,10310.366995110788,0.0,1.0,0.0,0.0,15,17400.0,0.0,17400.0,0.06666666666666667,0.9333333333333333,0.0,0.0,48,7,0.5272757107769435,78.59165174447848,15.883641096358888,11,1,0.5585233086621044,22,6,0.4814552147368546,4,0,0.4,11,0,0.7333333333333333,0.022442288431378864,0.0,204978.20751301106,204.97820751301106,15,85,0,0.15,0.85,0.0,129206.21226547206,129206.21226547206,15.883641096358888,0.5272757107769435
100,U,8,CG+IR,0.3,ok,,127481.80482441068,18.03761780000059,0.0,1.0936486120016157e-05,0.0010936486120016156,127480.41062142166,127480.41062142166,127481.80482441068,0.0010936486120016156,0.0,0,0,0.0,0.0,0,45587,1,18.03761780000059,full_pricing_converged,Full-CG LP-IP gap,True,True,False,,0,,0.0,simops,Optimal,Optimal,True,1,0,0,45587,0.0,0.0,0,127481.80482441068,0.0,19,39063.00921387939,0.0,39063.00921387939,0.05263157894736842,0.9473684210526315,0.0,0.0,61,66493.47498743798,0.0,66493.47498743798,0.21311475409836064,0.7868852459016393,0.0,0.0,9,9325.320623093274,0.0,9325.320623093274,0.0,1.0,0.0,0.0,11,12600.0,0.0,12600.0,0.09090909090909091,0.9090909090909091,0.0,0.0,52,7,0.5436278674658657,81.35695137535322,15.982478870396125,9,1,0.48791873952166737,29,5,0.5022742135385512,5,1,0.6059559633136957,9,0,0.8181818181818182,0.015017536669209335,0.0,202125.8991237503,202.12589912375032,15,85,0,0.15,0.85,0.0,127481.80482441068,127481.80482441068,15.982478870396125,0.5436278674658657
100,U,9,CG+IR,0.3,ok,,124774.11977451891,14.670645299993339,0.0,4.1144763406854685e-06,0.00041144763406854686,124773.60639435517,124773.60639435517,124774.11977451891,0.00041144763406854686,0.0,0,0,0.0,0.0,0,41005,1,14.670645299993339,full_pricing_converged,Full-CG LP-IP gap,True,True,False,,0,,0.0,simops,Optimal,Optimal,True,1,0,0,41005,0.0,0.0,0,124774.11977451891,0.0,19,39438.03043857819,0.0,39438.03043857819,0.0,1.0,0.0,0.0,43,44018.47007567119,0.0,44018.47007567119,0.32558139534883723,0.6744186046511628,0.0,0.0,24,25717.619260269566,0.0,25717.619260269566,0.0,1.0,0.0,0.0,14,15600.0,0.0,15600.0,0.14285714285714285,0.8571428571428571,0.0,0.0,48,8,0.5293606941181503,70.39352011293485,15.451234905584933,8,2,0.4862783855844963,18,4,0.4777964842134208,11,0,0.4583333333333333,11,2,0.8679665188951794,0.01441004934579535,0.0,198388.86316989403,198.38886316989402,16,84,0,0.16,0.84,0.0,124774.11977451891,124774.11977451891,15.451234905584933,0.5293606941181503
100,U,10,CG+IR,0.3,ok,,124180.61660339692,16.59116709999944,0.0,8.062354692146285e-06,0.0008062354692146285,124179.61541521997,124179.61541521997,124180.61660339692,0.0008062354692146285,0.0,0,0,0.0,0.0,0,42844,1,16.59116709999944,full_pricing_converged,Full-CG LP-IP gap,True,True,False,,0,,0.0,simops,Optimal,Optimal,True,1,0,0,42844,0.0,0.0,0,124180.61660339692,0.0,18,37621.570301773085,0.0,37621.570301773085,0.0,1.0,0.0,0.0,54,56719.98050714833,0.0,56719.98050714833,0.25925925925925924,0.7407407407407407,0.0,0.0,18,19039.06579447554,0.0,19039.06579447554,0.0,1.0,0.0,0.0,10,10800.0,0.0,10800.0,0.2,0.8,0.0,0.0,48,8,0.5097020102409643,75.20345645500396,16.2437225512292,7,1,0.4136761344893082,20,7,0.41711167783868297,13,0,0.7222222222222222,8,0,0.8,0.020793109841713217,0.0,198323.20938157354,198.32320938157355,16,84,0,0.16,0.84,0.0,124180.61660339692,124180.61660339692,16.2437225512292,0.5097020102409643
