C_BS,method,total_cost_mean,total_cost_std,SP_share_mean,BS_share_mean,AE_share_mean,avg_delay_h_mean,delay_cost_mean,emissions_total_kg_mean,emissions_total_tCO2_mean,runtime_mean,pricing_converged_rate,gap_type
0.3,CG+IR,125287.85999625425,2928.2063953165116,0.149,0.851,0.0,0.017570391237766332,20.0,199383.9247225748,199.38392472257482,17.047127639999236,1.0,Full-CG LP-IP gap
0.4,CG+IR,163989.5404588988,3951.406770216141,0.149,0.851,0.0,0.020405455320667808,40.0,199383.9247225748,199.38392472257482,17.366667599998618,1.0,Full-CG LP-IP gap
0.45,CG+IR,183337.835648033,4463.862193942438,0.149,0.851,0.0,0.018404822902754206,40.0,199383.9247225748,199.38392472257482,17.182325300000958,1.0,Full-CG LP-IP gap
0.6,CG+IR,241374.57643918827,6004.219092791208,0.149,0.851,0.0,0.01968712447630001,60.0,199383.9247225748,199.38392472257482,17.17677049999911,1.0,Full-CG LP-IP gap
0.8,CG+IR,318703.7534346724,8057.919470747298,0.147,0.849,0.004,0.02057570717249442,20.0,199691.6051849133,199.6916051849133,17.883440569999948,1.0,Full-CG LP-IP gap
0.85,CG+IR,337965.83076288045,8550.23818010879,0.146,0.8480000000000001,0.006,0.017518475967371033,0.0,199850.54517284915,199.8505451728491,18.661373289999755,1.0,Full-CG LP-IP gap
0.875,CG+IR,347561.78746196313,8781.54171088802,0.139,0.8480000000000001,0.013000000000000001,0.018391607787460122,0.0,200402.3702053227,200.40237020532265,18.70563123999891,1.0,Full-CG LP-IP gap
0.9,CG+IR,357065.4118122866,8957.132072554368,0.124,0.0,0.876,0.0034371015255459806,0.0,297935.4228042549,297.9354228042549,15.291184539998358,1.0,Full-CG LP-IP gap
0.925,CG+IR,357065.4118122866,8957.132072554368,0.124,0.0,0.876,0.0034371015255459806,0.0,297935.4228042549,297.9354228042549,14.838988740001515,1.0,Full-CG LP-IP gap
0.95,CG+IR,357065.4118122866,8957.132072554368,0.124,0.0,0.876,0.0034371015255459806,0.0,297935.4228042549,297.9354228042549,14.92338294000001,1.0,Full-CG LP-IP gap
0.975,CG+IR,357065.4118122866,8957.132072554368,0.124,0.0,0.876,0.0034371015255459806,0.0,297935.4228042549,297.9354228042549,14.745584470000177,1.0,Full-CG LP-IP gap
1.0,CG+IR,357065.4118122866,8957.132072554368,0.124,0.0,0.876,0.0034371015255459806,0.0,297935.4228042549,297.9354228042549,15.015270710000914,1.0,Full-CG LP-IP gap
1.2,CG+IR,357065.4118122866,8957.132072554368,0.124,0.0,0.876,0.0034371015255459806,0.0,297935.4228042549,297.9354228042549,14.855673110000499,1.0,Full-CG LP-IP gap
