N,seed,seq_obj,simops_obj,simops_saving_pct,dominance_check_passed,seq_cg_status,simops_cg_status,seq_gap_type,simops_gap_type,seq_objective_stabilized,simops_objective_stabilized
110,1,253216.75304010254,206962.13433448982,18.26680823850832,True,budgeted_max_iter,budgeted_max_iter,Pool LP-IP gap,Pool LP-IP gap,False,False
110,2,274638.78226624534,216966.4164126222,20.99935245041734,True,budgeted_max_iter,budgeted_stabilized,Pool LP-IP gap,Pool LP-IP gap,False,True
110,3,263541.12668413715,211196.22744657763,19.86213684981951,True,budgeted_max_iter,budgeted_max_iter,Pool LP-IP gap,Pool LP-IP gap,False,False
110,4,254630.7942791791,202849.04159781738,20.33601349277017,True,budgeted_max_iter,budgeted_max_iter,Pool LP-IP gap,Pool LP-IP gap,False,False
110,5,270575.1731792711,219032.68309303964,19.049231117772102,True,budgeted_max_iter,budgeted_max_iter,Pool LP-IP gap,Pool LP-IP gap,False,False
110,6,252854.28727485405,206609.90061563812,18.28894702858964,True,budgeted_max_iter,budgeted_max_iter,Pool LP-IP gap,Pool LP-IP gap,False,False
110,7,261798.3518220025,209549.09706889,19.957824176309916,True,budgeted_max_iter,budgeted_stabilized,Pool LP-IP gap,Pool LP-IP gap,False,True
110,8,270485.78880682006,217046.55470277474,19.756762209127157,True,budgeted_max_iter,budgeted_max_iter,Pool LP-IP gap,Pool LP-IP gap,False,False
110,9,258455.05330178404,215346.59193730098,16.679287486845006,True,budgeted_max_iter,budgeted_stabilized,Pool LP-IP gap,Pool LP-IP gap,False,True
110,10,261655.11008885296,212941.44173981986,18.617510788339235,True,budgeted_max_iter,budgeted_stabilized,Pool LP-IP gap,Pool LP-IP gap,False,True
125,1,303677.3277791744,256652.06137973708,15.4852740385126,True,budgeted_max_iter,budgeted_max_iter,Pool LP-IP gap,Pool LP-IP gap,False,False
125,2,313412.49879129964,263479.95471397485,15.931893038692982,True,budgeted_max_iter,budgeted_max_iter,Pool LP-IP gap,Pool LP-IP gap,False,False
125,3,316514.43627685367,260974.7548038202,17.54728224290319,True,budgeted_max_iter,budgeted_stabilized,Pool LP-IP gap,Pool LP-IP gap,False,True
125,4,306800.3486053201,257537.2514465466,16.057053840622405,True,budgeted_max_iter,budgeted_stabilized,Pool LP-IP gap,Pool LP-IP gap,False,True
125,5,319717.5874405432,270047.5068376786,15.535610974826836,True,budgeted_max_iter,budgeted_max_iter,Pool LP-IP gap,Pool LP-IP gap,False,False
125,6,318928.4822341582,268291.22073497553,15.87730927775985,True,budgeted_max_iter,budgeted_stabilized,Pool LP-IP gap,Pool LP-IP gap,False,True
125,7,329344.33561287785,274367.14811677916,16.69292031204711,True,budgeted_max_iter,budgeted_max_iter,Pool LP-IP gap,Pool LP-IP gap,False,False
125,8,328220.81604774384,273554.53141254856,16.655337493050222,True,budgeted_max_iter,budgeted_stabilized,Pool LP-IP gap,Pool LP-IP gap,False,True
125,9,311153.21929895313,264852.5978942127,14.880328575438979,True,budgeted_max_iter,budgeted_stabilized,Pool LP-IP gap,Pool LP-IP gap,False,True
125,10,313919.43258551555,264586.12366119714,15.71527717095991,True,budgeted_max_iter,budgeted_max_iter,Pool LP-IP gap,Pool LP-IP gap,False,False
150,1,397700.4649584394,347228.8897999599,12.69085143356669,True,budgeted_max_iter,budgeted_stabilized,Pool LP-IP gap,Pool LP-IP gap,False,True
150,2,414001.85089198384,361604.1515114452,12.656392542121656,True,budgeted_max_iter,budgeted_stabilized,Pool LP-IP gap,Pool LP-IP gap,False,True
150,3,395581.0934390287,341153.67965691775,13.75885113945667,True,budgeted_max_iter,budgeted_stabilized,Pool LP-IP gap,Pool LP-IP gap,False,True
150,4,390112.5029857871,335723.44677388726,13.941890043416885,True,budgeted_max_iter,budgeted_stabilized,Pool LP-IP gap,Pool LP-IP gap,False,True
150,5,401594.91449056834,354669.7195123113,11.68470846743233,True,budgeted_max_iter,budgeted_stabilized,Pool LP-IP gap,Pool LP-IP gap,False,True
150,6,402288.85129164526,353944.39304937253,12.01734974435687,True,budgeted_max_iter,budgeted_max_iter,Pool LP-IP gap,Pool LP-IP gap,False,False
150,7,420054.79961710365,360823.4999219747,14.100850591189666,True,budgeted_max_iter,budgeted_stabilized,Pool LP-IP gap,Pool LP-IP gap,False,True
150,8,415592.168041208,360535.73570998287,13.247706902350966,True,budgeted_max_iter,budgeted_max_iter,Pool LP-IP gap,Pool LP-IP gap,False,False
150,9,399434.6442687517,350637.48633309297,12.216556234122384,True,budgeted_max_iter,budgeted_stabilized,Pool LP-IP gap,Pool LP-IP gap,False,True
150,10,398765.8589508675,351809.5147941069,11.775417354008272,True,budgeted_stabilized,budgeted_max_iter,Pool LP-IP gap,Pool LP-IP gap,True,False
