N,simops_cost_mean,sequential_cost_mean,simops_saving_pct_mean,simops_saving_pct_std,simops_saving_ci95_low,simops_saving_ci95_high,dominance_pass_rate,simops_AE_share_mean,simops_BS_share_mean,simops_SP_share_mean,pricing_converged_rate,objective_stabilized_rate,gap_type,stabilization_applicable,objective_stabilized_rate_display
25,34424.43183236072,43206.299139111194,20.291303840641028,2.619126302145101,18.87570076025136,21.81340035843647,1.0,0.0,0.532,0.4680000000000001,1.0,0.0,Full-CG LP-IP gap,False,N/A
50,82695.01146921565,90235.63188820325,8.369752728610223,0.9748007201300972,7.753710684705445,8.915575353907354,1.0,0.0,0.754,0.246,1.0,0.0,Full-CG LP-IP gap,False,N/A
75,131770.38553129183,148636.09466164297,11.256622373136274,3.311108020780284,9.292003388707018,13.067826330349499,1.0,0.0,0.8333333333333333,0.16666666666666666,1.0,0.0,Full-CG LP-IP gap,False,N/A
90,162178.20085994637,196750.8388772619,17.509883478052988,2.1544557142223444,16.23690761443774,18.816513726504144,1.0,0.0,0.8655555555555556,0.13444444444444442,1.0,0.0,Full-CG LP-IP gap,False,N/A
100,183337.835648033,228619.3688389887,19.708778175734615,2.475710488351829,18.185691074673226,21.13328929008149,1.0,0.0,0.851,0.149,1.0,0.0,Full-CG LP-IP gap,False,N/A
110,212207.95396997017,262185.1220743249,19.041895149612568,1.5011854001160945,18.070931410905114,19.82295143672503,1.0,0.04727272727272723,0.7990909090909091,0.1536363636363636,0.0,0.4,Pool LP-IP gap,True,0.400
125,265832.1438544508,316168.84846724395,15.915599553145412,0.7174984387717226,15.562055641150117,16.355739272527774,1.0,0.1568,0.7087999999999999,0.13440000000000002,0.0,0.6,Pool LP-IP gap,True,0.600
150,352239.1465388152,403512.71489353833,12.706132844603522,0.8613178163835453,12.221092299370666,13.181939921338959,1.0,0.2866666666666667,0.6006666666666666,0.11266666666666662,0.0,0.8,Pool LP-IP gap,True,0.800
200,535891.9682508596,587846.6406982545,8.838682697964316,0.3748598559575479,8.633167836826283,9.053332857915557,1.0,0.4565,0.45949999999999996,0.08399999999999999,0.0,1.0,Pool LP-IP gap,True,1.000
500,1690831.932157915,1760133.7038886019,3.9360782953164395,0.26688400220069497,3.7868847396523626,4.081734700513125,1.0,0.7776000000000001,0.192,0.030400000000000003,0.0,1.0,Pool LP-IP gap,True,1.000
