N,scenario,seed,method,C_BS,status,error,obj,runtime_total,runtime_pricing,gap,gap_pct,lp_lower_bound,lp_obj_final_pool,irmp_obj,pool_gap_pct,min_reduced_cost_scanned_last,num_negative_columns_scanned_last,num_columns_added_last,min_reduced_cost_added_last,best_reduced_cost_last,num_negative_columns_last,num_columns_total,iterations,runtime_sec,cg_status,gap_type,full_pricing_converged,pricing_converged,objective_stabilized,relative_improvement_last_5,injected_columns_count,injected_incumbent_methods,min_reduced_cost,operation_mode,lp_status,ip_status,success,num_iters,num_pricing_calls,num_columns_added,n_columns_generated,min_reduced_cost_last,pricing_time_share,infeasible_jobs,cost_energy,cost_delay,type_A_count,type_A_cost_energy,type_A_cost_delay,type_A_cost_total,type_A_shore_ratio,type_A_battery_ratio,type_A_brown_ratio,type_A_avg_tardy_hours,type_B_count,type_B_cost_energy,type_B_cost_delay,type_B_cost_total,type_B_shore_ratio,type_B_battery_ratio,type_B_brown_ratio,type_B_avg_tardy_hours,type_C_count,type_C_cost_energy,type_C_cost_delay,type_C_cost_total,type_C_shore_ratio,type_C_battery_ratio,type_C_brown_ratio,type_C_avg_tardy_hours,type_D_count,type_D_cost_energy,type_D_cost_delay,type_D_cost_total,type_D_shore_ratio,type_D_battery_ratio,type_D_brown_ratio,type_D_avg_tardy_hours,num_fully_masked,num_partially_masked,avg_masking_rate,time_saved_total,avg_stay_time,num_fully_masked_type_A,num_partially_masked_type_A,avg_masking_rate_type_A,num_fully_masked_type_B,num_partially_masked_type_B,avg_masking_rate_type_B,num_fully_masked_type_C,num_partially_masked_type_C,avg_masking_rate_type_C,num_fully_masked_type_D,num_partially_masked_type_D,avg_masking_rate_type_D,mode_shore_count,mode_battery_count,mode_brown_count,SP_share,BS_share,AE_share,objective,total_cost,delay_cost,avg_stay_h,masking_rate,avg_delay_h,emissions_total
100,U,1,CG+IR,0.3,ok,,121892.83752512385,18.37048330000107,0.0,1.1600972771744222e-05,0.0011600972771744,121891.42344963465,121891.42344963465,121892.83752512385,0.0011600972771744,0.0,0.0,0.0,0.0,0.0,0.0,42648.0,1.0,18.37048330000107,full_pricing_converged,Full-CG LP-IP gap,1.0,1.0,0.0,,0.0,,0.0,simops,Optimal,Optimal,True,1.0,0.0,0.0,42648.0,0.0,0.0,0,121892.83752512385,0.0,19,35443.978666181945,0.0,35443.978666181945,0.2105263157894736,0.7894736842105263,0.0,0.0,48,50638.10226717788,0.0,50638.10226717788,0.1666666666666666,0.8333333333333334,0.0,0.0,19,19610.75659176401,0.0,19610.75659176401,0.0,1.0,0.0,0.0,14,16200.0,0.0,16200.0,0.0714285714285714,0.9285714285714286,0.0,0.0,42,12,0.4905533403295778,72.85799219797074,15.967819894623332,6,4,0.4168238909212532,19,7,0.4930344170516925,6,1,0.3405277940511969,11,0,0.7857142857142857,13,87,0,0.13,0.87,0.0,121892.83752512385,121892.83752512385,0.0,15.967819894623332,0.4905533403295778,,0.0
100,U,1,Rolling-Horizon,0.3,ok,,148321.53402710627,18.62948509999842,,,,,,,,,,,,,,,,18.62948509999842,,,,,,,,,,,,,True,,,,,,,0,144246.53402710627,4075.0,19,43062.74979327313,0.0,43062.74979327313,0.0526315789473684,0.8947368421052632,0.0526315789473684,0.0,48,60884.89540555334,1200.0,62084.89540555334,0.25,0.625,0.125,0.03125,19,23498.888828279807,2125.0,25623.888828279807,0.0,0.8947368421052632,0.1052631578947368,0.2236842105263158,14,16800.0,750.0,17550.0,0.0,1.0,0.0,0.0357142857142857,44,9,0.4799129797404939,57.59576650595745,15.621965372701563,9,2,0.5338924130433703,15,7,0.3718196276296949,10,0,0.5263157894736842,10,0,0.7142857142857143,13,78,9,0.13,0.78,0.09,148321.53402710627,148321.53402710627,4075.0,15.621965372701563,0.4799129797404939,,0.09
100,U,1,Fix-and-Optimize,0.3,ok,,152689.65520435732,13.953318599997148,,,,,,,,,,,,,,,,13.953318599997148,,,,,,,,,,,,,True,,,,,,,0,144714.65520435732,7975.0,19,44213.99121981265,500.0,44713.99121981265,0.0,0.9473684210526316,0.0526315789473684,0.0131578947368421,48,59724.11958432358,2600.0,62324.11958432358,0.3125,0.5625,0.125,0.0677083333333333,19,21576.5444002211,3375.0,24951.5444002211,0.0,0.9473684210526316,0.0526315789473684,0.3552631578947368,14,19200.0,1500.0,20700.0,0.0,0.9285714285714286,0.0714285714285714,0.0714285714285714,47,12,0.5278107341817546,72.56559004314472,15.521738028544128,12,1,0.6812392753791444,19,8,0.4505991182679247,9,2,0.5554647073319102,7,1,0.5467814335575024,15,76,9,0.15,0.76,0.09,152689.65520435732,152689.65520435732,7975.0,15.521738028544128,0.5278107341817546,,0.09
100,U,2,CG+IR,0.3,ok,,130167.9064397454,19.4937514000012,0.0,6.086701970567912e-05,0.0060867019705679,130159.98350721908,130159.98350721908,130167.9064397454,0.0060867019705679,0.0,0.0,0.0,0.0,0.0,0.0,44467.0,1.0,19.4937514000012,full_pricing_converged,Full-CG LP-IP gap,1.0,1.0,0.0,,0.0,,0.0,simops,Optimal,Optimal,True,1.0,0.0,0.0,44467.0,0.0,0.0,0,130167.9064397454,0.0,23,48276.36464659247,0.0,48276.36464659247,0.0434782608695652,0.9565217391304348,0.0,0.0,53,54626.31352307547,0.0,54626.31352307547,0.2830188679245283,0.7169811320754716,0.0,0.0,12,12865.228270077476,0.0,12865.228270077476,0.0,1.0,0.0,0.0,12,14400.0,0.0,14400.0,0.0,1.0,0.0,0.0,41,17,0.4978521245907821,73.6143676283481,15.52081200778141,9,2,0.4427503579989241,19,13,0.4775199293622758,2,1,0.243619423541805,11,1,0.9474970738667242,16,84,0,0.16,0.84,0.0,130167.9064397454,130167.9064397454,0.0,15.52081200778141,0.4978521245907821,,0.0
100,U,2,Rolling-Horizon,0.3,ok,,171090.68620696754,20.24167490000036,,,,,,,,,,,,,,,,20.24167490000036,,,,,,,,,,,,,True,,,,,,,0,166290.68620696754,4800.0,23,52032.262907599776,1000.0,53032.262907599776,0.0434782608695652,0.9130434782608696,0.0434782608695652,0.0217391304347826,53,76332.27259700018,2800.0,79132.27259700018,0.1886792452830188,0.6415094339622641,0.1698113207547169,0.0660377358490566,12,16926.150702367595,1000.0,17926.150702367595,0.0,0.8333333333333334,0.1666666666666666,0.1666666666666666,12,21000.0,0.0,21000.0,0.0833333333333333,0.6666666666666666,0.25,0.0,46,8,0.4959771379700879,64.29265452903316,15.339569796282692,13,1,0.604339952570244,23,5,0.4773217539153629,6,1,0.5216058196842199,4,1,0.3450476745140254,12,73,15,0.12,0.73,0.15,171090.68620696754,171090.68620696754,4800.0,15.339569796282692,0.4959771379700879,,0.15
100,U,2,Fix-and-Optimize,0.3,ok,,165305.22041392338,15.535277300001326,,,,,,,,,,,,,,,,15.535277300001326,,,,,,,,,,,,,True,,,,,,,0,159355.22041392338,5950.0,23,50835.56811939253,500.0,51335.56811939253,0.0869565217391304,0.8695652173913043,0.0434782608695652,0.0108695652173913,53,74858.9556995155,4200.0,79058.9556995155,0.1886792452830188,0.660377358490566,0.1509433962264151,0.0990566037735849,12,15060.696595015344,875.0,15935.696595015344,0.0,0.9166666666666666,0.0833333333333333,0.1458333333333333,12,18600.0,375.0,18975.0,0.0833333333333333,0.75,0.1666666666666666,0.0208333333333333,49,10,0.5461803648653966,81.92672826199617,15.123507282783487,12,3,0.6123272151172027,25,6,0.5249478150065772,8,0,0.6666666666666666,4,1,0.3926896952912839,13,75,12,0.13,0.75,0.12,165305.22041392338,165305.22041392338,5950.0,15.123507282783487,0.5461803648653966,,0.12
100,U,3,CG+IR,0.3,ok,,125292.7912358673,16.374344799998653,0.0,2.2557370285700707e-10,2.2557370285700733e-08,125292.79120760456,125292.79120760456,125292.7912358673,2.2557370285700733e-08,0.0,0.0,0.0,0.0,0.0,0.0,42771.0,1.0,16.374344799998653,full_pricing_converged,Full-CG LP-IP gap,1.0,1.0,0.0,,0.0,,0.0,simops,Optimal,Optimal,True,1.0,0.0,0.0,42771.0,0.0,0.0,0,125092.7912358673,200.0,19,37647.571584019,0.0,37647.571584019,0.0526315789473684,0.9473684210526316,0.0,0.0,51,55210.85453362606,200.0,55410.85453362606,0.2745098039215686,0.7254901960784313,0.0,0.0049019607843137,18,19034.36511822225,0.0,19034.36511822225,0.0,1.0,0.0,0.0,12,13200.0,0.0,13200.0,0.1666666666666666,0.8333333333333334,0.0,0.0,51,9,0.5622591404556364,77.1858345856177,16.18902597295075,11,2,0.6144324244142522,21,5,0.4847195862310761,11,1,0.6561663915968634,8,1,0.6683336695970358,17,83,0,0.17,0.83,0.0,125292.7912358673,125292.7912358673,200.0,16.18902597295075,0.5622591404556364,,0.0
100,U,3,Rolling-Horizon,0.3,ok,,164351.79911865687,19.5000566000017,,,,,,,,,,,,,,,,19.5000566000017,,,,,,,,,,,,,True,,,,,,,0,158151.79911865687,6200.0,19,40452.51168657095,0.0,40452.51168657095,0.1578947368421052,0.7894736842105263,0.0526315789473684,0.0,51,67864.38730238186,6200.0,74064.38730238186,0.1176470588235294,0.803921568627451,0.0784313725490196,0.1519607843137254,18,25234.90012970406,0.0,25234.90012970406,0.0,0.8333333333333334,0.1666666666666666,0.0,12,24600.0,0.0,24600.0,0.25,0.3333333333333333,0.4166666666666667,0.0,39,11,0.4346425657635289,63.48511336381776,16.259214629646994,3,5,0.2864576927195869,23,4,0.4801173716399759,12,0,0.6666666666666666,1,2,0.1279645384201644,12,75,13,0.12,0.75,0.13,164351.79911865687,164351.79911865687,6200.0,16.259214629646994,0.4346425657635289,,0.13
100,U,3,Fix-and-Optimize,0.3,ok,,160650.35957938817,12.472696199998609,,,,,,,,,,,,,,,,12.472696199998609,,,,,,,,,,,,,True,,,,,,,0,153200.35957938817,7450.0,19,40410.73489502866,4000.0,44410.73489502866,0.1578947368421052,0.7894736842105263,0.0526315789473684,0.1052631578947368,51,64277.81334625901,3200.0,67477.813346259,0.1764705882352941,0.7647058823529411,0.0588235294117647,0.0784313725490196,18,23311.811338100502,250.0,23561.811338100502,0.0,0.8888888888888888,0.1111111111111111,0.0277777777777777,12,25200.0,0.0,25200.0,0.1666666666666666,0.4166666666666667,0.4166666666666667,0.0,50,10,0.5479192735245033,76.9901746301361,16.067417654477563,10,2,0.5917368285789937,25,6,0.5462937890432531,12,1,0.6824578053717345,3,1,0.2836419892960266,14,75,11,0.14,0.75,0.11,160650.35957938817,160650.35957938817,7450.0,16.067417654477563,0.5479192735245033,,0.11
100,U,4,CG+IR,0.3,ok,,121363.8494614088,17.639606400000048,0.0,3.515199952844206e-06,0.0003515199952844,121363.42284321092,121363.42284321092,121363.8494614088,0.0003515199952844,0.0,0.0,0.0,0.0,0.0,0.0,45126.0,1.0,17.639606400000048,full_pricing_converged,Full-CG LP-IP gap,1.0,1.0,0.0,,0.0,,0.0,simops,Optimal,Optimal,True,1.0,0.0,0.0,45126.0,0.0,0.0,0,121363.8494614088,0.0,14,25127.0217758686,0.0,25127.0217758686,0.2857142857142857,0.7142857142857143,0.0,0.0,56,62529.40061660731,0.0,62529.40061660731,0.125,0.875,0.0,0.0,10,10307.427068932882,0.0,10307.427068932882,0.0,1.0,0.0,0.0,20,23400.0,0.0,23400.0,0.05,0.95,0.0,0.0,47,8,0.5253621410348263,83.96991609334871,16.407207476239204,6,3,0.6079152399761263,25,4,0.4890028212030758,4,1,0.4641242756444603,12,0,0.6,12,88,0,0.12,0.88,0.0,121363.8494614088,121363.8494614088,0.0,16.407207476239204,0.5253621410348263,,0.0
