N,scenario,seed,method,status,error,obj,runtime_total,runtime_pricing,gap,gap_pct,lp_lower_bound,lp_obj_final_pool,irmp_obj,pool_gap_pct,min_reduced_cost_scanned_last,num_negative_columns_scanned_last,num_columns_added_last,min_reduced_cost_added_last,best_reduced_cost_last,num_negative_columns_last,num_columns_total,iterations,runtime_sec,cg_status,gap_type,full_pricing_converged,pricing_converged,objective_stabilized,relative_improvement_last_5,injected_columns_count,injected_incumbent_methods,min_reduced_cost,operation_mode,lp_status,ip_status,success,num_iters,num_pricing_calls,num_columns_added,n_columns_generated,min_reduced_cost_last,pricing_time_share,infeasible_jobs,cost_energy,cost_delay,type_A_count,type_A_cost_energy,type_A_cost_delay,type_A_cost_total,type_A_shore_ratio,type_A_battery_ratio,type_A_brown_ratio,type_A_avg_tardy_hours,type_B_count,type_B_cost_energy,type_B_cost_delay,type_B_cost_total,type_B_shore_ratio,type_B_battery_ratio,type_B_brown_ratio,type_B_avg_tardy_hours,type_C_count,type_C_cost_energy,type_C_cost_delay,type_C_cost_total,type_C_shore_ratio,type_C_battery_ratio,type_C_brown_ratio,type_C_avg_tardy_hours,type_D_count,type_D_cost_energy,type_D_cost_delay,type_D_cost_total,type_D_shore_ratio,type_D_battery_ratio,type_D_brown_ratio,type_D_avg_tardy_hours,num_fully_masked,num_partially_masked,avg_masking_rate,time_saved_total,avg_stay_time,num_fully_masked_type_A,num_partially_masked_type_A,avg_masking_rate_type_A,num_fully_masked_type_B,num_partially_masked_type_B,avg_masking_rate_type_B,num_fully_masked_type_C,num_partially_masked_type_C,avg_masking_rate_type_C,num_fully_masked_type_D,num_partially_masked_type_D,avg_masking_rate_type_D,mode_shore_count,mode_battery_count,mode_brown_count,SP_share,BS_share,AE_share,objective,total_cost,delay_cost,avg_stay_h,masking_rate,avg_delay_h
500,U,1,CG+IR,ok,,1698230.3318625223,93.92417619999831,8.126051700000971,3.703477371074146e-06,0.0003703477371074,1698224.0425049176,1698224.0425049176,1698230.3318625223,0.0003703477371074,-1459.482333518797,7412.0,73.0,-73.71065432964724,-1459.482333518797,7412.0,27796.0,20.0,93.92417619999831,budgeted_stabilized,Pool LP-IP gap,0.0,0.0,1.0,1.6406749095100963e-06,595.0,Greedy:500;FIFO:500,-1459.482333518797,simops,Optimal,Optimal,1.0,20.0,10000.0,27094.0,27796.0,-1459.482333518797,0.086517146370256,0,1694205.3318625223,4025.0,101,356588.7142831021,0.0,356588.7142831021,0.0,0.8514851485148515,0.1485148514851485,0.0,255,860553.5811457515,1400.0,861953.5811457515,0.0588235294117647,0.0352941176470588,0.9058823529411764,0.0068627450980392,78,242463.03643366747,2625.0,245088.03643366747,0.0,0.0256410256410256,0.9743589743589745,0.0673076923076923,66,234600.0,0.0,234600.0,0.0151515151515151,0.0,0.9848484848484848,0.0,46,9,0.1017414404844581,75.08900980069886,14.718758380878691,39,4,0.4095274934554477,6,5,0.0333664447185445,0,0,0.0,1,0,0.0151515151515151,16,97,387,0.032,0.194,0.774,1698230.3318625223,1698230.3318625223,4025.0,14.718758380878691,0.1017414404844581,
500,U,1,Restricted-CG,ok,,1820074.4243074383,10.036556899998686,1.632178699990618,0.0,0.0,1820074.4243074383,1820074.4243074383,1820074.4243074383,0.0,-6432.698995165512,19453.0,738.0,-6432.698995165512,-6432.698995165512,19453.0,6411.0,8.0,10.036556899998686,budgeted_max_iter,Pool LP-IP gap,0.0,0.0,0.0,0.0024961929182197,0.0,,-6432.698995165512,simops,Optimal,Optimal,1.0,8.0,2000.0,5911.0,6411.0,-6432.698995165512,0.1626233693738967,0,1785449.4243074383,34625.0,101,549774.1225263323,3000.0,552774.1225263323,0.0297029702970297,0.2079207920792079,0.7623762376237624,0.0148514851485148,255,803806.8236709118,26000.0,829806.8236709118,0.0313725490196078,0.2039215686274509,0.7647058823529411,0.1274509803921568,78,210468.47811019403,5625.0,216093.47811019403,0.0,0.282051282051282,0.717948717948718,0.1442307692307692,66,221400.0,0.0,221400.0,0.0454545454545454,0.0606060606060606,0.8939393939393939,0.0,48,9,0.1040750866427807,72.91214582316837,14.807051442267424,11,4,0.1295654442741693,24,2,0.0953999288768944,8,1,0.1038076073110102,5,2,0.0989008820580668,14,99,387,0.028,0.198,0.774,1820074.4243074383,1820074.4243074383,34625.0,14.807051442267424,0.1040750866427807,
500,U,1,Greedy,ok,,1824838.0606004605,0.4144712000015715,,,,,,,,,,,,,,,,0.4144712000015715,,,,,,,,,,,,,,,,,,,,0,1788213.0606004605,36625.0,101,550408.7267447427,5000.0,555408.7267447427,0.0396039603960396,0.1881188118811881,0.7722772277227723,0.0247524752475247,255,804735.8557455248,26000.0,830735.8557455248,0.0274509803921568,0.2078431372549019,0.7647058823529411,0.1274509803921568,78,210468.47811019403,5625.0,216093.47811019403,0.0,0.282051282051282,0.717948717948718,0.1442307692307692,66,222600.0,0.0,222600.0,0.0303030303030303,0.0757575757575757,0.8939393939393939,0.0,46,8,0.0987361833652746,72.95164161544037,14.81774956208552,9,4,0.109098853777565,24,2,0.0953999288768944,8,1,0.1038076073110102,5,1,0.0897747305641874,13,99,388,0.026,0.198,0.776,1824838.0606004605,1824838.0606004605,36625.0,14.81774956208552,0.0987361833652746,
500,U,1,FIFO,ok,,1826178.0361615631,0.2602917000003799,,,,,,,,,,,,,,,,0.2602917000003799,,,,,,,,,,,,,,,,,,,,0,1784003.036161563,42175.0,101,551763.9582106237,3500.0,555263.9582106237,0.0198019801980198,0.2178217821782178,0.7623762376237624,0.0173267326732673,255,805609.6923744684,25800.0,831409.6923744684,0.0392156862745098,0.188235294117647,0.7725490196078432,0.1264705882352941,78,207029.3855764716,11375.0,218404.3855764716,0.0,0.3076923076923077,0.6923076923076923,0.2916666666666667,66,219600.0,1500.0,221100.0,0.0454545454545454,0.0757575757575757,0.8787878787878788,0.0151515151515151,43,11,0.0959845239771734,61.0661879833543,14.873781806029973,10,4,0.1184990857602704,20,5,0.0866133498683149,9,0,0.1153846153846153,4,2,0.0748098501572589,15,99,386,0.03,0.198,0.772,1826178.0361615631,1826178.0361615631,42175.0,14.873781806029973,0.0959845239771734,
500,U,1,Rolling-Horizon,ok,,1821259.0425822933,78.80941719999828,,,,,,,,,,,,,,,,78.80941719999828,,,,,,,,,,,,,1.0,,,,,,,0,1792409.0425822935,28850.0,101,550448.0840291578,1000.0,551448.0840291578,0.0099009900990099,0.2376237623762376,0.7524752475247525,0.0049504950495049,255,808819.5388772435,21600.0,830419.5388772435,0.0431372549019607,0.1725490196078431,0.7843137254901961,0.1058823529411764,78,212341.41967589257,6250.0,218591.41967589257,0.0,0.2692307692307692,0.7307692307692307,0.1602564102564102,66,220800.0,0.0,220800.0,0.0303030303030303,0.0909090909090909,0.8787878787878788,0.0,35,10,0.0772852242047895,53.767587426986935,14.904420650684951,6,3,0.0729004624841935,20,5,0.0841103211994804,5,1,0.069619573122976,4,1,0.0666849512429031,14,95,391,0.028,0.19,0.782,1821259.0425822933,1821259.0425822933,28850.0,14.904420650684951,0.0772852242047895,
500,U,1,Fix-and-Optimize,ok,,1812962.492440226,54.92008939999869,,,,,,,,,,,,,,,,54.92008939999869,,,,,,,,,,,,,1.0,,,,,,,0,1776212.492440226,36750.0,101,541348.2145544793,6000.0,547348.2145544793,0.0099009900990099,0.2673267326732673,0.7227722772277227,0.0297029702970297,255,801333.1360736345,26000.0,827333.1360736345,0.0470588235294117,0.1843137254901961,0.7686274509803922,0.1274509803921568,78,212131.14181211207,4750.0,216881.14181211207,0.0,0.2692307692307692,0.7307692307692307,0.1217948717948717,66,221400.0,0.0,221400.0,0.0454545454545454,0.0606060606060606,0.8939393939393939,0.0,43,7,0.090816949479228,59.74857213445192,14.849203421794767,10,2,0.1091522318979859,20,4,0.0838109075481361,9,0,0.1153846153846153,4,1,0.0607926953506472,16,99,385,0.032,0.198,0.77,1812962.492440226,1812962.492440226,36750.0,14.849203421794767,0.090816949479228,
500,U,2,CG+IR,ok,,1695077.5184917792,95.17278699999952,8.189042099995277,3.2052198370089206e-06,0.0003205219837008,1695072.0853956917,1695072.0853956917,1695077.5184917792,0.0003205219837008,-1402.3580326814051,6062.0,352.0,-138.85944105294675,-1402.3580326814051,6062.0,28546.0,20.0,95.17278699999952,budgeted_stabilized,Pool LP-IP gap,0.0,0.0,1.0,2.378264107076568e-05,599.0,Greedy:500;FIFO:500,-1402.3580326814051,simops,Optimal,Optimal,1.0,20.0,10000.0,27839.0,28546.0,-1402.3580326814051,0.0860439455240006,0,1692202.5184917792,2875.0,105,366847.8881771466,0.0,366847.8881771466,0.0095238095238095,0.8571428571428571,0.1333333333333333,0.0,248,834888.142094403,1000.0,835888.142094403,0.0604838709677419,0.0241935483870967,0.9153225806451613,0.0050403225806451,75,231266.4882202293,1875.0,233141.4882202293,0.0,0.0266666666666666,0.9733333333333334,0.05,72,259200.0,0.0,259200.0,0.0,0.0,1.0,0.0,50,6,0.1050858534283735,71.10578915722789,14.641082167284416,44,2,0.4246428092044126,6,4,0.0320783538214654,0,0,0.0,0,0,0.0,16,98,386,0.032,0.196,0.772,1695077.5184917792,1695077.5184917792,2875.0,14.641082167284416,0.1050858534283735,
500,U,2,Restricted-CG,ok,,1831095.4129799544,7.192231500001071,1.2274648000093291,0.0,0.0,1831095.4129799567,1831095.4129799567,1831095.4129799544,0.0,-7619.542551723389,27623.0,747.0,-7619.542551723389,-7619.542551723389,27623.0,4953.0,6.0,7.192231500001071,budgeted_stabilized,Pool LP-IP gap,0.0,0.0,1.0,0.0,0.0,,-7619.542551723389,simops,Optimal,Optimal,1.0,6.0,1500.0,4453.0,4953.0,-7619.542551723389,0.170665363039155,0,1792295.4129799542,38800.0,105,596483.3912861521,10500.0,606983.3912861521,0.0095238095238095,0.1714285714285714,0.819047619047619,0.05,248,751424.5403047763,20800.0,772224.5403047763,0.0564516129032258,0.2137096774193548,0.7298387096774194,0.1048387096774193,75,200787.4813890257,6750.0,207537.4813890257,0.0,0.28,0.72,0.18,72,243600.0,750.0,244350.0,0.0138888888888888,0.0972222222222222,0.8888888888888888,0.0069444444444444,49,7,0.1063064185963051,77.09813328895582,14.780661877530331,9,0,0.0857142857142857,24,6,0.1130047895078685,11,0,0.1466666666666666,5,1,0.0712225208361273,16,99,385,0.032,0.198,0.77,1831095.4129799544,1831095.4129799544,38800.0,14.780661877530331,0.1063064185963051,
500,U,2,Greedy,ok,,1831095.412979955,0.4121017999968899,,,,,,,,,,,,,,,,0.4121017999968899,,,,,,,,,,,,,,,,,,,,0,1792295.4129799549,38800.0,105,596483.3912861521,10500.0,606983.3912861521,0.0095238095238095,0.1714285714285714,0.819047619047619,0.05,248,751424.5403047763,20800.0,772224.5403047763,0.0564516129032258,0.2137096774193548,0.7298387096774194,0.1048387096774193,75,200787.4813890257,6750.0,207537.4813890257,0.0,0.28,0.72,0.18,72,243600.0,750.0,244350.0,0.0138888888888888,0.0972222222222222,0.8888888888888888,0.0069444444444444,48,7,0.1043064185963051,76.34813328895582,14.786618575138537,8,0,0.0761904761904762,24,6,0.1130047895078685,11,0,0.1466666666666666,5,1,0.0712225208361273,16,99,385,0.032,0.198,0.77,1831095.412979955,1831095.412979955,38800.0,14.786618575138537,0.1043064185963051,
500,U,2,FIFO,ok,,1837984.216554541,0.2581135000000358,,,,,,,,,,,,,,,,0.2581135000000358,,,,,,,,,,,,,,,,,,,,0,1791334.2165545414,46650.0,105,596927.9702964764,11500.0,608427.9702964764,0.0095238095238095,0.1714285714285714,0.819047619047619,0.0547619047619047,248,751395.297794734,26400.0,777795.297794734,0.0524193548387096,0.2217741935483871,0.7258064516129032,0.1330645161290322,75,200610.9484633302,8000.0,208610.9484633302,0.0,0.28,0.72,0.2133333333333333,72,242400.0,750.0,243150.0,0.0277777777777777,0.0833333333333333,0.8888888888888888,0.0069444444444444,48,3,0.0985335805724193,68.28360880903833,14.84127238521631,9,0,0.0857142857142857,22,3,0.0938177027669745,11,0,0.1466666666666666,6,0,0.0833333333333333,16,100,384,0.032,0.2,0.768,1837984.216554541,1837984.216554541,46650.0,14.84127238521631,0.0985335805724193,
