N,seed,seq_obj,simops_obj,simops_saving_pct,dominance_check_passed,seq_cg_status,simops_cg_status,seq_gap_type,simops_gap_type,seq_objective_stabilized,simops_objective_stabilized,seq_best_reduced_cost_last,simops_best_reduced_cost_last
25,1,44168.480643021125,33677.803002689994,23.751502174410245,True,full_pricing_converged,full_pricing_converged,Full-CG LP-IP gap,Full-CG LP-IP gap,False,False,0.0,0.0
25,2,42067.600338367956,34220.32475458618,18.653965333564866,True,full_pricing_converged,full_pricing_converged,Full-CG LP-IP gap,Full-CG LP-IP gap,False,False,0.0,0.0
25,3,43484.19170339084,35636.04770443198,18.048269248033126,True,full_pricing_converged,full_pricing_converged,Full-CG LP-IP gap,Full-CG LP-IP gap,False,False,0.0,0.0
25,4,43607.14599450735,34059.6916334874,21.894242659729503,True,full_pricing_converged,full_pricing_converged,Full-CG LP-IP gap,Full-CG LP-IP gap,False,False,0.0,0.0
25,5,43971.22635730361,33379.879395348464,24.08699469942331,True,full_pricing_converged,full_pricing_converged,Full-CG LP-IP gap,Full-CG LP-IP gap,False,False,0.0,0.0
25,6,46578.52916873955,37328.28414418796,19.859461407724634,True,full_pricing_converged,full_pricing_converged,Full-CG LP-IP gap,Full-CG LP-IP gap,False,False,0.0,0.0
25,7,42120.314976486814,32756.225103979235,22.231766020113987,True,full_pricing_converged,full_pricing_converged,Full-CG LP-IP gap,Full-CG LP-IP gap,False,False,0.0,0.0
25,8,41370.980814116505,34645.72680220072,16.25596947322315,True,full_pricing_converged,full_pricing_converged,Full-CG LP-IP gap,Full-CG LP-IP gap,False,False,0.0,0.0
25,9,42702.59095893565,34152.08611984524,20.023386513743123,True,full_pricing_converged,full_pricing_converged,Full-CG LP-IP gap,Full-CG LP-IP gap,False,False,0.0,0.0
25,10,41991.9304362425,34388.24966285009,18.107480876444324,True,full_pricing_converged,full_pricing_converged,Full-CG LP-IP gap,Full-CG LP-IP gap,False,False,0.0,0.0
50,1,88057.31436291958,80514.61808569141,8.56566695429943,True,full_pricing_converged,full_pricing_converged,Full-CG LP-IP gap,Full-CG LP-IP gap,False,False,0.0,0.0
50,2,93358.38847999614,85737.73734241161,8.162792076490698,True,full_pricing_converged,full_pricing_converged,Full-CG LP-IP gap,Full-CG LP-IP gap,False,False,0.0,0.0
50,3,89495.52876032628,82071.53087465753,8.29538412533503,True,full_pricing_converged,full_pricing_converged,Full-CG LP-IP gap,Full-CG LP-IP gap,False,False,0.0,0.0
50,4,88566.84739656205,81144.36583301124,8.380654592249758,True,full_pricing_converged,full_pricing_converged,Full-CG LP-IP gap,Full-CG LP-IP gap,False,False,0.0,0.0
50,5,90759.39745852354,83134.3351587027,8.401402514054201,True,full_pricing_converged,full_pricing_converged,Full-CG LP-IP gap,Full-CG LP-IP gap,False,False,0.0,0.0
50,6,90834.7522966001,83947.0368396274,7.582687553858726,True,full_pricing_converged,full_pricing_converged,Full-CG LP-IP gap,Full-CG LP-IP gap,False,False,0.0,0.0
50,7,89464.59696894139,81303.63962389002,9.121996433834644,True,full_pricing_converged,full_pricing_converged,Full-CG LP-IP gap,Full-CG LP-IP gap,False,False,0.0,0.0
50,8,93728.59942172127,87882.97466153011,6.236756759683808,True,full_pricing_converged,full_pricing_converged,Full-CG LP-IP gap,Full-CG LP-IP gap,False,False,0.0,0.0
50,9,88683.04314995019,80615.42002165684,9.097142860391203,True,full_pricing_converged,full_pricing_converged,Full-CG LP-IP gap,Full-CG LP-IP gap,False,False,0.0,0.0
50,10,89407.85058649187,80598.45625097759,9.85304341590474,True,full_pricing_converged,full_pricing_converged,Full-CG LP-IP gap,Full-CG LP-IP gap,False,False,0.0,0.0
75,1,148822.40369221807,127742.67334801631,14.164352826740439,True,full_pricing_converged,full_pricing_converged,Full-CG LP-IP gap,Full-CG LP-IP gap,False,False,0.0,0.0
75,2,151716.04626874352,133134.63614145835,12.247491668989865,True,full_pricing_converged,full_pricing_converged,Full-CG LP-IP gap,Full-CG LP-IP gap,False,False,0.0,0.0
75,3,155208.45874570787,131347.99856664706,15.37316997532562,True,full_pricing_converged,full_pricing_converged,Full-CG LP-IP gap,Full-CG LP-IP gap,False,False,0.0,0.0
75,4,138178.1968311293,128969.29779213392,6.6645094886060585,True,full_pricing_converged,full_pricing_converged,Full-CG LP-IP gap,Full-CG LP-IP gap,False,False,0.0,0.0
75,5,153662.0541029543,131271.10460549477,14.571554199358483,True,full_pricing_converged,full_pricing_converged,Full-CG LP-IP gap,Full-CG LP-IP gap,False,False,0.0,0.0
75,6,151692.97109507243,132894.95962520645,12.392144035523216,True,full_pricing_converged,full_pricing_converged,Full-CG LP-IP gap,Full-CG LP-IP gap,False,False,0.0,0.0
75,7,141610.560806009,131698.78398275364,6.9993203662496635,True,full_pricing_converged,full_pricing_converged,Full-CG LP-IP gap,Full-CG LP-IP gap,False,False,0.0,0.0
75,8,154692.75945343397,136590.26852701226,11.702222515379573,True,full_pricing_converged,full_pricing_converged,Full-CG LP-IP gap,Full-CG LP-IP gap,False,False,0.0,0.0
75,9,147460.82632800058,137520.8730950891,6.7407415789206295,True,full_pricing_converged,full_pricing_converged,Full-CG LP-IP gap,Full-CG LP-IP gap,False,False,0.0,0.0
75,10,143316.66929316096,126533.25962910653,11.71071707626918,True,full_pricing_converged,full_pricing_converged,Full-CG LP-IP gap,Full-CG LP-IP gap,False,False,0.0,0.0
90,1,194627.3794391578,158175.68357234038,18.728966074484163,True,full_pricing_converged,full_pricing_converged,Full-CG LP-IP gap,Full-CG LP-IP gap,False,False,0.0,0.0
90,2,202354.39209416648,166221.48564959705,17.856250151345783,True,full_pricing_converged,full_pricing_converged,Full-CG LP-IP gap,Full-CG LP-IP gap,False,False,0.0,0.0
90,3,210126.76263401101,163851.20541920076,22.02268603709983,True,full_pricing_converged,full_pricing_converged,Full-CG LP-IP gap,Full-CG LP-IP gap,False,False,0.0,0.0
90,4,184430.28131038178,158627.40932543078,13.990583217474345,True,full_pricing_converged,full_pricing_converged,Full-CG LP-IP gap,Full-CG LP-IP gap,False,False,0.0,0.0
90,5,195101.15509749195,158418.7971368474,18.801712343688788,True,full_pricing_converged,full_pricing_converged,Full-CG LP-IP gap,Full-CG LP-IP gap,False,False,0.0,0.0
90,6,188984.88515897476,158545.19349137126,16.10694508293482,True,full_pricing_converged,full_pricing_converged,Full-CG LP-IP gap,Full-CG LP-IP gap,False,False,0.0,0.0
90,7,195587.69443551375,163346.5908979633,16.48421882092409,True,full_pricing_converged,full_pricing_converged,Full-CG LP-IP gap,Full-CG LP-IP gap,False,False,0.0,0.0
90,8,201292.3213809004,166840.3005932309,17.115417295266223,True,full_pricing_converged,full_pricing_converged,Full-CG LP-IP gap,Full-CG LP-IP gap,False,False,0.0,0.0
90,9,203101.9257223323,166528.73556407305,18.007308413343022,True,full_pricing_converged,full_pricing_converged,Full-CG LP-IP gap,Full-CG LP-IP gap,False,False,0.0,0.0
90,10,191901.5914996891,161226.60694940868,15.9847473439688,True,full_pricing_converged,full_pricing_converged,Full-CG LP-IP gap,Full-CG LP-IP gap,False,False,0.0,0.0
100,1,215348.5311995486,178339.47421345147,17.185655634587725,True,full_pricing_converged,full_pricing_converged,Full-CG LP-IP gap,Full-CG LP-IP gap,False,False,0.0,0.0
100,2,246383.87882001128,190845.92207749336,22.541229973528253,True,full_pricing_converged,full_pricing_converged,Full-CG LP-IP gap,Full-CG LP-IP gap,False,False,0.0,0.0
100,3,238392.7765821426,183140.37162830672,23.177046614412685,True,full_pricing_converged,full_pricing_converged,Full-CG LP-IP gap,Full-CG LP-IP gap,False,False,0.0,0.0
100,4,214593.0840298251,177329.8383274136,17.3646070053369,True,full_pricing_converged,full_pricing_converged,Full-CG LP-IP gap,Full-CG LP-IP gap,False,False,0.0,0.0
100,5,228748.2582423653,180162.8843081935,21.239669454748032,True,full_pricing_converged,full_pricing_converged,Full-CG LP-IP gap,Full-CG LP-IP gap,False,False,0.0,0.0
100,6,216997.7742058733,183223.63287354715,15.564280074266323,True,full_pricing_converged,full_pricing_converged,Full-CG LP-IP gap,Full-CG LP-IP gap,False,False,0.0,0.0
100,7,237744.47544662617,189318.64671756962,20.368855527803078,True,full_pricing_converged,full_pricing_converged,Full-CG LP-IP gap,Full-CG LP-IP gap,False,False,0.0,0.0
100,8,237383.54831318595,186831.28410148967,21.29560560153117,True,full_pricing_converged,full_pricing_converged,Full-CG LP-IP gap,Full-CG LP-IP gap,False,False,0.0,0.0
100,9,226916.26644156454,182675.589042332,19.496476869200297,True,full_pricing_converged,full_pricing_converged,Full-CG LP-IP gap,Full-CG LP-IP gap,False,False,0.0,0.0
100,10,223685.0951087443,181510.71319053316,18.854355001931673,True,full_pricing_converged,full_pricing_converged,Full-CG LP-IP gap,Full-CG LP-IP gap,False,False,0.0,0.0
110,1,253216.75304010254,208306.43183920486,17.735920179730417,True,budgeted_max_iter,budgeted_max_iter,Pool LP-IP gap,Pool LP-IP gap,False,False,-432.1492381541134,-1445.9241525267103
110,2,274638.78226624534,216966.4164126222,20.99935245041734,True,budgeted_stabilized,budgeted_stabilized,Pool LP-IP gap,Pool LP-IP gap,True,True,-717.9518933226623,-131.03440809868016
110,3,263541.12668413715,211196.22744657763,19.86213684981951,True,budgeted_max_iter,budgeted_max_iter,Pool LP-IP gap,Pool LP-IP gap,False,False,-394.5398322589849,-139.6261767160554
110,4,254630.7942791791,202849.74170742673,20.335738541890276,True,budgeted_stabilized,budgeted_max_iter,Pool LP-IP gap,Pool LP-IP gap,True,False,-410.2243596786875,-200.00004415694946
110,5,270575.1731792711,219075.89336582038,19.033261333008404,True,budgeted_max_iter,budgeted_max_iter,Pool LP-IP gap,Pool LP-IP gap,False,False,-415.1650271740614,-126.3174074809931
110,6,252854.28727485405,206609.90061563812,18.28894702858964,True,budgeted_stabilized,budgeted_max_iter,Pool LP-IP gap,Pool LP-IP gap,True,False,-413.79215981536936,-50.46896926469799
110,7,261798.3518220025,209549.09706889,19.957824176309916,True,budgeted_stabilized,budgeted_stabilized,Pool LP-IP gap,Pool LP-IP gap,True,True,-711.3171941743362,-279.543771914849
110,8,270485.78880682006,217048.53174941233,19.756031284723953,True,budgeted_stabilized,budgeted_max_iter,Pool LP-IP gap,Pool LP-IP gap,True,False,-525.495515881254,-77.5513802411092
110,9,258455.05330178404,217535.85775428932,15.832228863297008,True,budgeted_stabilized,budgeted_stabilized,Pool LP-IP gap,Pool LP-IP gap,True,True,-344.94221123887064,-1508.9295056194355
110,10,261655.11008885293,212941.44173981986,18.617510788339228,True,budgeted_stabilized,budgeted_stabilized,Pool LP-IP gap,Pool LP-IP gap,True,True,-361.05849119990125,-199.99999898314218
125,1,303677.3277791744,256652.06137973708,15.4852740385126,True,budgeted_stabilized,budgeted_max_iter,Pool LP-IP gap,Pool LP-IP gap,True,False,-690.9235299999999,-207.11344124184188
125,2,313412.49879129964,263422.6990097379,15.950161520153609,True,budgeted_stabilized,budgeted_max_iter,Pool LP-IP gap,Pool LP-IP gap,True,False,-402.68418839911965,-300.00001568199013
125,3,316514.43627685367,260974.7548038202,17.54728224290319,True,budgeted_max_iter,budgeted_stabilized,Pool LP-IP gap,Pool LP-IP gap,False,True,-445.271706518306,-220.99920651830598
125,4,306800.3486053201,257537.2514465466,16.057053840622405,True,budgeted_stabilized,budgeted_stabilized,Pool LP-IP gap,Pool LP-IP gap,True,True,-402.43935967868765,-382.38677934675025
125,5,319717.5874405432,270047.5068376786,15.535610974826836,True,budgeted_max_iter,budgeted_max_iter,Pool LP-IP gap,Pool LP-IP gap,False,False,-444.3554855504749,-320.1835883634544
125,6,318928.4822341582,269720.57849724195,15.429134266154277,True,budgeted_stabilized,budgeted_stabilized,Pool LP-IP gap,Pool LP-IP gap,True,True,-445.7684433814434,-1717.9934418709959
125,7,329344.33561287785,275953.9795956117,16.21110498770592,True,budgeted_stabilized,budgeted_stabilized,Pool LP-IP gap,Pool LP-IP gap,True,True,-492.3018714553682,-1757.876610074662
125,8,328220.81604774384,274573.88541872427,16.344767914176398,True,budgeted_stabilized,budgeted_stabilized,Pool LP-IP gap,Pool LP-IP gap,True,True,-449.5301580114483,-1721.988546969454
