N,simops_cost_mean,simops_cost_std,sequential_cost_mean,sequential_cost_std,simops_saving_pct_mean,simops_saving_pct_std,simops_saving_ci95_low,simops_saving_ci95_high,dominance_pass_rate,simops_AE_share_mean,sequential_AE_share_mean,simops_BS_share_mean,sequential_BS_share_mean,simops_SP_share_mean,sequential_SP_share_mean,masking_rate_mean,objective_stabilized_rate,pricing_converged_rate
25,34424.43183236072,1275.01534953744,43206.29913911119,1516.3387168775705,20.291303840641028,2.619126302145101,18.73861351555535,21.805774553734807,1.0,0.0,0.0,0.532,0.716,0.4680000000000001,0.2840000000000001,0.6580704692500399,0.0,1.0
50,82695.01146921565,2497.4925400435222,90235.63188820325,1953.731945645883,8.369752728610223,0.9748007201300972,7.735860124374229,8.882924523289528,1.0,0.0,0.0,0.754,0.806,0.246,0.194,0.6332187255064604,0.0,1.0
75,131770.38553129183,3517.481589235438,148636.09466164297,5891.68932331881,11.256622373136272,3.3111080207802837,9.247228921882842,13.15883888514021,1.0,0.0,0.07866666666666666,0.8333333333333333,0.784,0.16666666666666669,0.13733333333333334,0.5490919703348758,0.0,1.0
90,162178.20085994637,3621.543755921136,196750.8388772619,7568.0713089684905,17.509883478052988,2.1544557142223444,16.282551864250447,18.780706729707227,1.0,0.0,0.1922222222222222,0.8655555555555556,0.678888888888889,0.13444444444444445,0.1288888888888889,0.5324159004254392,0.0,1.0
100,183337.835648033,4463.862193942438,228619.3688389887,11087.296097348357,19.708778175734615,2.4757104883518295,18.291768121760644,21.064331179086516,1.0,0.0,0.236,0.851,0.6479999999999999,0.149,0.11600000000000002,0.5021826829829151,0.0,1.0
110,212207.95396997017,5420.092621899122,262185.1220743249,7710.990230627205,19.041895149612568,1.5011854001160936,18.057963055251047,19.877631132861758,1.0,0.047272727272727265,0.29272727272727267,0.7990909090909091,0.6009090909090908,0.15363636363636363,0.10636363636363637,0.41613751923803954,0.4,0.0
125,265832.1438544508,6639.525561694743,316168.84846724395,8305.237249341455,15.915599553145412,0.7174984387717228,15.549479649293275,16.394776472395215,1.0,0.1568,0.36479999999999996,0.7087999999999999,0.5408,0.13440000000000002,0.0944,0.3576048703740862,0.6,0.0
150,352239.1465388153,8983.663430246672,403512.7148935383,9719.244246930733,12.706132844603522,0.8613178163835455,12.226609316951917,13.23045447244113,1.0,0.2866666666666667,0.45599999999999996,0.6006666666666666,0.46266666666666667,0.11266666666666665,0.08133333333333333,0.3023830891112914,0.8,0.0
200,535891.9682508596,8120.043953116625,587846.6406982545,8303.214940367023,8.838682697964316,0.3748598559575478,8.625551635151833,9.044570004950412,1.0,0.4565,0.5810000000000001,0.45949999999999996,0.358,0.08399999999999999,0.06100000000000001,0.25032577681855567,1.0,0.0
500,1690831.932157915,14156.274191213917,1760133.7038886019,16748.381598009688,3.9360782953164395,0.26688400220069497,3.7859259882974796,4.095206301276977,1.0,0.7776000000000001,0.8175999999999999,0.192,0.1558,0.030400000000000003,0.026600000000000002,0.10624037970522968,1.0,0.0
