N,scenario,method,objective_mean,objective_std,rel_gap_to_CG_mean,runtime_mean,runtime_std,status_success_rate,cg_status,gap_type,pricing_converged_rate,objective_stabilized_rate,pool_gap_pct_mean,columns_mean,iterations_mean
200,U,CG+IR,535891.9682508595,8120.043953116632,0.0,33.6078829799997,1.0062743008650277,1.0,budgeted_stabilized,Pool LP-IP gap,0.0,1.0,0.0011618754123199,11556.2,20.1
200,U,Rolling-Horizon,596178.676120664,10632.321146361068,11.24926956910095,38.15482000000011,2.1327414593032343,1.0,,,,,,,
200,U,Fix-and-Optimize,586061.1745951982,10314.76425946531,9.36309636756272,25.635606810000173,1.8212648433142449,1.0,,,,,,,
200,U,Restricted-CG,597018.3047469159,10883.541186629503,11.40448785697816,3.2848471600002087,0.4897256905573178,1.0,budgeted_max_iter;budgeted_stabilized,Pool LP-IP gap,0.0,0.8,0.0041800544029658,2025.8,6.4
200,U,FIFO,596409.3582190222,10779.776783408392,11.291866137622298,0.0836112799999682,0.0015374767110329,1.0,,,,,,,
200,U,Greedy,598402.6582126331,10424.765951659292,11.664892747785707,0.1642626799992285,0.0017692184687151,1.0,,,,,,,
200,P,CG+IR,542832.3035658005,9972.522379543065,0.0,36.75850558000021,3.8267444171900262,1.0,budgeted_stabilized,Pool LP-IP gap,0.0,1.0,0.0036601626808754,10929.6,20.0
200,P,Rolling-Horizon,608630.128556404,15555.084013127786,12.113521526706975,36.95395177999999,2.1009680797000017,1.0,,,,,,,
200,P,Fix-and-Optimize,597021.6007716209,14673.35737218649,9.975610045762355,26.442822720000187,2.264560618319829,1.0,,,,,,,
200,P,Restricted-CG,604726.1110043358,14923.656409045896,11.395907548622189,3.3419497600003525,0.7312234703085218,1.0,budgeted_max_iter;budgeted_stabilized,Pool LP-IP gap,0.0,0.9,5.932755472300103e-15,1957.4,6.2
200,P,FIFO,606209.5954452279,14279.523090235509,11.670015913578007,0.1072296600003028,0.0604793385894526,1.0,,,,,,,
200,P,Greedy,605071.5514816132,15242.157714085291,11.458701743161742,0.2002817799995682,0.1143673249838762,1.0,,,,,,,
200,L,CG+IR,511397.2404326039,8089.08816437655,0.0,43.63274046000006,5.752677594430649,1.0,budgeted_max_iter;budgeted_stabilized,Pool LP-IP gap,0.0,0.9,0.0043451242061279,14025.4,21.0
200,L,Rolling-Horizon,571080.1409044554,9351.528281151075,11.671850229392463,32.218005449999694,2.320813080494717,1.0,,,,,,,
200,L,Fix-and-Optimize,558193.4438706946,10374.341146367133,9.149769890306446,21.245544059999883,0.920550179107918,1.0,,,,,,,
200,L,Restricted-CG,569565.8796999818,11592.865197725963,11.370299775402222,3.221488390000013,0.4116623125605257,1.0,budgeted_max_iter;budgeted_stabilized,Pool LP-IP gap,0.0,0.9,6.081145432832052e-15,1943.1,6.2
200,L,FIFO,569774.9064185482,12259.389937450473,11.41025007871493,0.0971756800008734,0.0017093398489538,1.0,,,,,,,
200,L,Greedy,569729.0443380333,11640.380471579603,11.402403663275546,0.1669275300002482,0.002831801604482,1.0,,,,,,,
500,U,CG+IR,1690831.876915054,14156.21705697064,0.0,96.90446760999984,2.210014645900184,1.0,budgeted_stabilized,Pool LP-IP gap,0.0,1.0,0.0002249985384267,27593.5,20.0
500,U,Rolling-Horizon,1821716.3846233,14175.73538226959,7.741821698326348,79.43523203000004,3.880179709705556,1.0,,,,,,,
500,U,Fix-and-Optimize,1812278.476515089,14785.584862604734,7.183287829106686,56.26804870999986,2.1795768596267964,1.0,,,,,,,
500,U,Restricted-CG,1820005.9658709296,15925.63966411835,7.640170681916812,7.802894390000074,1.2560446970812442,1.0,budgeted_max_iter;budgeted_stabilized,Pool LP-IP gap,0.0,0.7,0.0105012664387814,5217.3,6.4
500,U,FIFO,1825679.247300726,14934.872805436353,7.975869716837687,0.267851909998717,0.0128609359250161,1.0,,,,,,,
500,U,Greedy,1821269.8360819549,16513.729317101643,7.714550992282007,0.4128319300001749,0.0072907775565287,1.0,,,,,,,
