scenario,method,mechanism,obj_mean,infeasibility_rate,n_seeds,penalty_vs_hybrid_pct
L,CG+IR,BS_only,203768.95549167972,0.0,2,11.773020252625066
L,CG+IR,Green_only_no_AE,182306.02969404333,0.0,2,0.0
L,CG+IR,Hybrid,182306.02969404333,0.0,2,0.0
L,CG+IR,SP_only,354563.005506013,0.0,2,94.48781046960511
L,Fix-and-Optimize,BS_only,225453.20449408802,0.0,2,16.67618603799684
L,Fix-and-Optimize,Green_only_no_AE,,1.0,2,
L,Fix-and-Optimize,Hybrid,193229.83733858663,0.0,2,0.0
L,Fix-and-Optimize,SP_only,360357.45738907665,0.0,2,86.49162176628082
L,Rolling-Horizon,BS_only,223783.51899243816,0.0,2,12.135727897616068
L,Rolling-Horizon,Green_only_no_AE,,1.0,2,
L,Rolling-Horizon,Hybrid,199564.86945602254,0.0,2,0.0
L,Rolling-Horizon,SP_only,364996.0347394317,0.0,2,82.89593540904487
P,CG+IR,BS_only,223613.96393952024,0.0,2,18.638634256121556
P,CG+IR,Green_only_no_AE,188483.2587138301,0.0,2,0.0
P,CG+IR,Hybrid,188483.2587138301,0.0,2,0.0
P,CG+IR,SP_only,367641.5881470911,0.0,2,95.0526485247547
P,Fix-and-Optimize,BS_only,252073.53778688508,0.0,2,14.031589483563495
P,Fix-and-Optimize,Green_only_no_AE,,1.0,2,
P,Fix-and-Optimize,Hybrid,221055.88366214867,0.0,2,0.0
P,Fix-and-Optimize,SP_only,374183.4540638447,0.0,2,69.27097703299721
P,Rolling-Horizon,BS_only,251473.1629837717,0.0,2,11.087873186439303
P,Rolling-Horizon,Green_only_no_AE,,1.0,2,
P,Rolling-Horizon,Hybrid,226373.19067376788,0.0,2,0.0
P,Rolling-Horizon,SP_only,374373.49947258993,0.0,2,65.37890302218209
U,CG+IR,BS_only,218056.4290370583,0.0,2,18.12841527740931
U,CG+IR,Green_only_no_AE,184592.69814547242,0.0,2,0.0
U,CG+IR,Hybrid,184592.69814547242,0.0,2,0.0
U,CG+IR,SP_only,359918.5886054636,0.0,2,94.97986227051176
U,Fix-and-Optimize,BS_only,245458.2932095682,0.0,2,15.842308400666557
U,Fix-and-Optimize,Green_only_no_AE,,1.0,2,
U,Fix-and-Optimize,Hybrid,211890.02239198802,0.0,2,0.0
U,Fix-and-Optimize,SP_only,365794.50258978177,0.0,2,72.6341327734048
U,Rolling-Horizon,BS_only,242739.10998371462,0.0,2,15.144261474955691
U,Rolling-Horizon,Green_only_no_AE,,1.0,2,
U,Rolling-Horizon,Hybrid,210813.0330372663,0.0,2,0.0
U,Rolling-Horizon,SP_only,366536.99620078155,0.0,2,73.86828077938962
