scenario,method,obj_mean,obj_std,n_seeds,rel_gap_to_CG_pct
L,CG+IR,182306.02969404333,6107.08463275469,2,0.0
L,FIFO,204804.0800948394,8327.329210379801,2,12.340815297526694
L,Fix-and-Optimize,193229.83733858663,7522.033797098251,2,5.992016645240024
L,Greedy,205175.74996837514,7866.229495822874,2,12.54468670768219
L,Rolling-Horizon,199564.86945602254,2048.746494556952,2,9.466960468034987
P,CG+IR,188483.2587138301,1573.6033939447807,2,0.0
P,FIFO,234220.18191975178,3222.654328911827,2,24.26577485874384
P,Fix-and-Optimize,221055.88366214867,632.2364794956084,2,17.281441954360982
P,Greedy,234036.35365064617,1546.5962621205545,2,24.168244568594986
P,Rolling-Horizon,226373.19067376788,7051.162011535052,2,20.10254503158035
U,CG+IR,184592.69814547242,6253.223932020948,2,0.0
U,FIFO,225685.36365762568,6864.655033819989,2,22.26126272869649
U,Fix-and-Optimize,211890.02239198802,7507.551230305151,2,14.787867841339715
U,Greedy,227163.69766069646,6998.371852561773,2,23.062125394404827
U,Rolling-Horizon,210813.0330372663,7904.0122630413825,2,14.204426911366966
