N,seed,scenario,method,status,error,obj,runtime_total,runtime_pricing,gap,gap_pct,lp_lower_bound,lp_obj_final_pool,irmp_obj,best_reduced_cost_last,num_negative_columns_last,num_columns_total,iterations,runtime_sec,cg_status,gap_type,full_pricing_converged,min_reduced_cost,lp_status,ip_status,success,num_iters,num_pricing_calls,num_columns_added,n_columns_generated,min_reduced_cost_last,pricing_time_share,infeasible_jobs,cost_energy,cost_delay,type_A_count,type_A_cost_energy,type_A_cost_delay,type_A_cost_total,type_A_shore_ratio,type_A_battery_ratio,type_A_brown_ratio,type_A_avg_tardy_hours,type_B_count,type_B_cost_energy,type_B_cost_delay,type_B_cost_total,type_B_shore_ratio,type_B_battery_ratio,type_B_brown_ratio,type_B_avg_tardy_hours,type_C_count,type_C_cost_energy,type_C_cost_delay,type_C_cost_total,type_C_shore_ratio,type_C_battery_ratio,type_C_brown_ratio,type_C_avg_tardy_hours,type_D_count,type_D_cost_energy,type_D_cost_delay,type_D_cost_total,type_D_shore_ratio,type_D_battery_ratio,type_D_brown_ratio,type_D_avg_tardy_hours,num_fully_masked,num_partially_masked,avg_masking_rate,time_saved_total,avg_stay_time,num_fully_masked_type_A,num_partially_masked_type_A,avg_masking_rate_type_A,num_fully_masked_type_B,num_partially_masked_type_B,avg_masking_rate_type_B,num_fully_masked_type_C,num_partially_masked_type_C,avg_masking_rate_type_C,num_fully_masked_type_D,num_partially_masked_type_D,avg_masking_rate_type_D,mode_shore_count,mode_battery_count,mode_brown_count,SP_share,BS_share,AE_share,mechanism
100,1,U,CG+IR,ok,,178339.47421345147,16.83862820000104,0.0,1.5858094429793794e-05,0.0015858094429793,178336.64608922883,178336.64608922883,178339.47421345147,0.0,0.0,42648.0,1.0,16.83862820000104,full_pricing_converged,Full-CG LP-IP gap,1.0,0.0,Optimal,Optimal,1.0,1.0,0.0,0.0,42648.0,0.0,0.0,0.0,178339.47421345147,0.0,19.0,51171.21168002153,0.0,51171.21168002153,0.2105263157894736,0.7894736842105263,0.0,0.0,48.0,73752.12764578388,0.0,73752.12764578388,0.1666666666666666,0.8333333333333334,0.0,0.0,19.0,29416.13488764601,0.0,29416.13488764601,0.0,1.0,0.0,0.0,14.0,24000.0,0.0,24000.0,0.0714285714285714,0.9285714285714286,0.0,0.0,40.0,11.0,0.4684529638046903,71.64454553062693,15.93382478876277,4.0,3.0,0.3104073572826067,20.0,5.0,0.4883080625751885,9.0,0.0,0.4736842105263157,7.0,3.0,0.6077692563207469,13.0,87.0,0.0,0.13,0.87,0.0,Hybrid
100,1,U,rolling_horizon,ok,,202909.0207742249,19.101709200000187,,,,,,,,,,,,,,,,,,1.0,,,,,,,0.0,199934.0207742249,2975.0,19.0,60433.12904029398,0.0,60433.12904029398,0.0526315789473684,0.8947368421052632,0.0526315789473684,0.0,48.0,78368.65766889806,600.0,78968.65766889806,0.25,0.625,0.125,0.015625,19.0,32332.23406503286,2000.0,34332.234065032855,0.0,0.8947368421052632,0.1052631578947368,0.2105263157894736,14.0,28800.0,375.0,29175.0,0.0,0.8571428571428571,0.1428571428571428,0.0178571428571428,38.0,11.0,0.4361377560742627,54.53674989650533,15.623290725763422,6.0,2.0,0.3821834119123396,16.0,8.0,0.4047145558240054,9.0,1.0,0.5224206369231345,7.0,0.0,0.5,13.0,76.0,11.0,0.13,0.76,0.11,Hybrid
100,1,U,fix_and_optimize,ok,,204382.4711616829,13.32535629999984,,,,,,,,,,,,,,,,,,1.0,,,,,,,0.0,197307.4711616829,7075.0,19.0,62735.61189337302,500.0,63235.61189337302,0.0,0.9473684210526316,0.0526315789473684,0.0131578947368421,48.0,74881.383524321,3200.0,78081.383524321,0.3333333333333333,0.5416666666666666,0.125,0.0833333333333333,19.0,30890.47574398883,3000.0,33890.475743988834,0.0,0.9473684210526316,0.0526315789473684,0.3157894736842105,14.0,28800.0,375.0,29175.0,0.0,0.8571428571428571,0.1428571428571428,0.0178571428571428,49.0,8.0,0.5312309185911697,72.51316757647322,15.2841662991301,11.0,2.0,0.6684326550502655,19.0,6.0,0.4463098211075398,11.0,0.0,0.5789473684210527,8.0,0.0,0.5714285714285714,16.0,74.0,10.0,0.16,0.74,0.1,Hybrid
100,2,U,CG+IR,ok,,190845.92207749336,21.577873600001112,0.0,8.302900139235905e-05,0.0083029001392359,190830.07633116347,190830.07633116347,190845.92207749336,0.0,0.0,44467.0,1.0,21.577873600001112,full_pricing_converged,Full-CG LP-IP gap,1.0,0.0,Optimal,Optimal,1.0,1.0,0.0,0.0,44467.0,0.0,0.0,0.0,190845.92207749336,0.0,23.0,71908.2069146626,0.0,71908.2069146626,0.0434782608695652,0.9565217391304348,0.0,0.0,53.0,78039.87275771453,0.0,78039.87275771453,0.2830188679245283,0.7169811320754716,0.0,0.0,12.0,19297.84240511622,0.0,19297.84240511622,0.0,1.0,0.0,0.0,12.0,21600.0,0.0,21600.0,0.0,1.0,0.0,0.0,46.0,12.0,0.4991296007408035,70.16649653766046,15.634125734324538,9.0,2.0,0.4126605039273325,24.0,10.0,0.5173918581839944,4.0,0.0,0.3333333333333333,9.0,0.0,0.75,16.0,84.0,0.0,0.16,0.84,0.0,Hybrid
100,2,U,rolling_horizon,ok,,218717.04530030765,20.63323579999997,,,,,,,,,,,,,,,,,,1.0,,,,,,,0.0,214242.04530030765,4475.0,23.0,74614.25950053375,0.0,74614.25950053375,0.0434782608695652,0.9130434782608696,0.0434782608695652,0.0,53.0,92883.3421509543,3600.0,96483.3421509543,0.2075471698113207,0.660377358490566,0.1320754716981132,0.0849056603773584,12.0,20944.44364881962,875.0,21819.44364881962,0.0,0.9166666666666666,0.0833333333333333,0.1458333333333333,12.0,25800.0,0.0,25800.0,0.0833333333333333,0.6666666666666666,0.25,0.0,43.0,10.0,0.476998908706452,63.94109005038797,15.344656989711204,11.0,2.0,0.545080047681181,24.0,4.0,0.4824272816940619,5.0,0.0,0.4166666666666667,3.0,4.0,0.3828669870160631,13.0,75.0,12.0,0.13,0.75,0.12,Hybrid
100,2,U,fix_and_optimize,ok,,219397.5736222932,15.824363699999594,,,,,,,,,,,,,,,,,,1.0,,,,,,,0.0,215522.5736222932,3875.0,23.0,72220.86992411925,0.0,72220.86992411925,0.0869565217391304,0.8695652173913043,0.0434782608695652,0.0,53.0,96557.26004935431,3000.0,99557.26004935431,0.1698113207547169,0.6792452830188679,0.1509433962264151,0.070754716981132,12.0,20944.44364881962,875.0,21819.44364881962,0.0,0.9166666666666666,0.0833333333333333,0.1458333333333333,12.0,25800.0,0.0,25800.0,0.0833333333333333,0.6666666666666666,0.25,0.0,49.0,9.0,0.5379845676639959,82.25158811473155,15.087029434139954,12.0,1.0,0.5595234376224443,25.0,8.0,0.5458380698317619,7.0,0.0,0.5833333333333334,5.0,0.0,0.4166666666666667,12.0,75.0,13.0,0.12,0.75,0.13,Hybrid
100,1,U,CG+IR,ok,,347660.0338463364,13.91061560000162,0.0,0.0,0.0,347660.0338463364,347660.0338463364,347660.0338463364,0.0,0.0,42648.0,1.0,13.91061560000162,full_pricing_converged,Full-CG LP-IP gap,1.0,0.0,Optimal,Optimal,1.0,1.0,0.0,0.0,42648.0,0.0,0.0,0.0,347660.0338463364,0.0,19.0,92842.62483828448,0.0,92842.62483828448,0.2631578947368421,0.0,0.7368421052631579,0.0,48.0,145585.13923275995,0.0,145585.13923275995,0.1458333333333333,0.0,0.8541666666666666,0.0,19.0,58832.26977529203,0.0,58832.26977529203,0.0,0.0,1.0,0.0,14.0,50400.0,0.0,50400.0,0.0,0.0,1.0,0.0,7.0,4.0,0.095225527602056,52.6023903723435,14.195733202410446,2.0,3.0,0.1978938057384037,5.0,1.0,0.1200535510661652,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,88.0,0.12,0.0,0.88,SP_only
100,1,U,rolling_horizon,ok,,354910.6429467704,12.750541999999768,,,,,,,,,,,,,,,,,,1.0,,,,,,,0.0,348510.6429467704,6400.0,19.0,112544.2667813565,0.0,112544.2667813565,0.0526315789473684,0.0,0.9473684210526316,0.0,48.0,126734.1063901218,6400.0,133134.1063901218,0.2916666666666667,0.0,0.7083333333333334,0.1666666666666666,19.0,58832.26977529203,0.0,58832.26977529203,0.0,0.0,1.0,0.0,14.0,50400.0,0.0,50400.0,0.0,0.0,1.0,0.0,2.0,8.0,0.0572945141589036,27.71587346786758,14.52157013636099,0.0,1.0,0.0421135520643459,2.0,7.0,0.1026936234722455,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,85.0,0.15,0.0,0.85,SP_only
100,1,U,fix_and_optimize,ok,,351869.6589497141,10.363964699999997,,,,,,,,,,,,,,,,,,1.0,,,,,,,0.0,347869.6589497141,4000.0,19.0,118300.47391405412,0.0,118300.47391405412,0.0,0.0,1.0,0.0,48.0,120336.91526036794,4000.0,124336.91526036794,0.3333333333333333,0.0,0.6666666666666666,0.1041666666666666,19.0,58832.26977529203,0.0,58832.26977529203,0.0,0.0,1.0,0.0,14.0,50400.0,0.0,50400.0,0.0,0.0,1.0,0.0,7.0,5.0,0.0888344882146635,38.26615466776264,14.414337946392829,0.0,0.0,0.0,7.0,5.0,0.1850718504472156,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,84.0,0.16,0.0,0.84,SP_only
100,2,U,CG+IR,ok,,372177.1433645909,15.783247100000152,0.0,1.434791035167493e-05,0.0014347910351674,372171.803400303,372171.803400303,372177.1433645909,0.0,0.0,44467.0,1.0,15.783247100000152,full_pricing_converged,Full-CG LP-IP gap,1.0,0.0,Optimal,Optimal,1.0,1.0,0.0,0.0,44467.0,0.0,0.0,0.0,372177.1433645909,0.0,23.0,120584.91978489014,0.0,120584.91978489014,0.217391304347826,0.0,0.782608695652174,0.0,53.0,169796.53876946843,0.0,169796.53876946843,0.1132075471698113,0.0,0.8867924528301887,0.0,12.0,38595.68481023244,0.0,38595.68481023244,0.0,0.0,1.0,0.0,12.0,43200.0,0.0,43200.0,0.0,0.0,1.0,0.0,6.0,5.0,0.0826411787267861,50.9037994744377,14.06163876656858,2.0,3.0,0.1727821109898587,4.0,2.0,0.0809458362247521,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,89.0,0.11,0.0,0.89,SP_only
