scenario,mechanism,method,total_cost,AE_share,infeasibility_rate
L,BS_only,CG+IR,203768.95549167972,0.01,0.0
L,BS_only,fix_and_optimize,225453.20449408802,0.11,0.0
L,BS_only,rolling_horizon,223783.51899243816,0.105,0.0
L,Green_only_no_AE,CG+IR,182306.02969404333,0.0,0.0
L,Green_only_no_AE,Fix-and-Optimize,,,1.0
L,Green_only_no_AE,Rolling-Horizon,,,1.0
L,Hybrid,CG+IR,182306.02969404333,0.0,0.0
L,Hybrid,fix_and_optimize,193229.83733858663,0.035,0.0
L,Hybrid,rolling_horizon,199564.86945602254,0.07,0.0
L,SP_only,CG+IR,354563.005506013,0.875,0.0
L,SP_only,fix_and_optimize,360357.45738907665,0.84,0.0
L,SP_only,rolling_horizon,364996.0347394317,0.845,0.0
P,BS_only,CG+IR,223613.96393952024,0.11,0.0
P,BS_only,fix_and_optimize,252073.53778688508,0.19,0.0
P,BS_only,rolling_horizon,251473.1629837717,0.195,0.0
P,Green_only_no_AE,CG+IR,188483.2587138301,0.0,0.0
P,Green_only_no_AE,Fix-and-Optimize,,,1.0
P,Green_only_no_AE,Rolling-Horizon,,,1.0
P,Hybrid,CG+IR,188483.2587138301,0.0,0.0
P,Hybrid,fix_and_optimize,221055.88366214867,0.13,0.0
P,Hybrid,rolling_horizon,226373.19067376788,0.15500000000000003,0.0
P,SP_only,CG+IR,367641.5881470911,0.88,0.0
P,SP_only,fix_and_optimize,374183.4540638447,0.865,0.0
P,SP_only,rolling_horizon,374373.49947258993,0.87,0.0
U,BS_only,CG+IR,218056.4290370583,0.105,0.0
U,BS_only,fix_and_optimize,245458.2932095682,0.21000000000000002,0.0
U,BS_only,rolling_horizon,242739.10998371462,0.19,0.0
U,Green_only_no_AE,CG+IR,184592.69814547242,0.0,0.0
U,Green_only_no_AE,Fix-and-Optimize,,,1.0
U,Green_only_no_AE,Rolling-Horizon,,,1.0
U,Hybrid,CG+IR,184592.69814547242,0.0,0.0
U,Hybrid,fix_and_optimize,211890.02239198802,0.115,0.0
U,Hybrid,rolling_horizon,210813.0330372663,0.11499999999999999,0.0
U,SP_only,CG+IR,359918.5886054636,0.885,0.0
U,SP_only,fix_and_optimize,365794.50258978177,0.855,0.0
U,SP_only,rolling_horizon,366536.99620078155,0.855,0.0
