N,seed,scenario,method,status,error,obj,runtime_total,runtime_pricing,gap,gap_pct,lp_lower_bound,lp_obj_final_pool,irmp_obj,best_reduced_cost_last,num_negative_columns_last,num_columns_total,iterations,runtime_sec,cg_status,gap_type,full_pricing_converged,min_reduced_cost,lp_status,ip_status,success,num_iters,num_pricing_calls,num_columns_added,n_columns_generated,min_reduced_cost_last,pricing_time_share,infeasible_jobs,cost_energy,cost_delay,type_A_count,type_A_cost_energy,type_A_cost_delay,type_A_cost_total,type_A_shore_ratio,type_A_battery_ratio,type_A_brown_ratio,type_A_avg_tardy_hours,type_B_count,type_B_cost_energy,type_B_cost_delay,type_B_cost_total,type_B_shore_ratio,type_B_battery_ratio,type_B_brown_ratio,type_B_avg_tardy_hours,type_C_count,type_C_cost_energy,type_C_cost_delay,type_C_cost_total,type_C_shore_ratio,type_C_battery_ratio,type_C_brown_ratio,type_C_avg_tardy_hours,type_D_count,type_D_cost_energy,type_D_cost_delay,type_D_cost_total,type_D_shore_ratio,type_D_battery_ratio,type_D_brown_ratio,type_D_avg_tardy_hours,mode_shore_count,mode_battery_count,mode_brown_count,SP_share,BS_share,AE_share,num_fully_masked,num_partially_masked,avg_masking_rate,time_saved_total,avg_stay_time,num_fully_masked_type_A,num_partially_masked_type_A,avg_masking_rate_type_A,num_fully_masked_type_B,num_partially_masked_type_B,avg_masking_rate_type_B,num_fully_masked_type_C,num_partially_masked_type_C,avg_masking_rate_type_C,num_fully_masked_type_D,num_partially_masked_type_D,avg_masking_rate_type_D
100,1,U,CG+IR,ok,,178339.47421345147,16.90380610000011,0.0,1.5858094429793794e-05,0.0015858094429793,178336.64608922883,178336.64608922883,178339.47421345147,0.0,0.0,42648.0,1.0,16.90380610000011,full_pricing_converged,Full-CG LP-IP gap,1.0,0.0,Optimal,Optimal,1.0,1.0,0.0,0.0,42648.0,0.0,0.0,0,178339.47421345147,0.0,19,51171.21168002153,0.0,51171.21168002153,0.2105263157894736,0.7894736842105263,0.0,0.0,48,73752.12764578388,0.0,73752.12764578388,0.1666666666666666,0.8333333333333334,0.0,0.0,19,29416.13488764601,0.0,29416.13488764601,0.0,1.0,0.0,0.0,14,24000.0,0.0,24000.0,0.0714285714285714,0.9285714285714286,0.0,0.0,13,87,0,0.13,0.87,0.0,,,,,,,,,,,,,,,,,
100,1,U,rolling_horizon,ok,,202909.0207742249,20.508913399999983,,,,,,,,,,,,,,,,,,1.0,,,,,,,0,199934.0207742249,2975.0,19,60433.12904029398,0.0,60433.12904029398,0.0526315789473684,0.8947368421052632,0.0526315789473684,0.0,48,78368.65766889806,600.0,78968.65766889806,0.25,0.625,0.125,0.015625,19,32332.23406503286,2000.0,34332.234065032855,0.0,0.8947368421052632,0.1052631578947368,0.2105263157894736,14,28800.0,375.0,29175.0,0.0,0.8571428571428571,0.1428571428571428,0.0178571428571428,13,76,11,0.13,0.76,0.11,38.0,11.0,0.4361377560742627,54.53674989650533,15.623290725763422,6.0,2.0,0.3821834119123396,16.0,8.0,0.4047145558240054,9.0,1.0,0.5224206369231345,7.0,0.0,0.5
100,1,U,fix_and_optimize,ok,,204382.4711616829,13.780355800000509,,,,,,,,,,,,,,,,,,1.0,,,,,,,0,197307.4711616829,7075.0,19,62735.61189337302,500.0,63235.61189337302,0.0,0.9473684210526316,0.0526315789473684,0.0131578947368421,48,74881.383524321,3200.0,78081.383524321,0.3333333333333333,0.5416666666666666,0.125,0.0833333333333333,19,30890.47574398883,3000.0,33890.475743988834,0.0,0.9473684210526316,0.0526315789473684,0.3157894736842105,14,28800.0,375.0,29175.0,0.0,0.8571428571428571,0.1428571428571428,0.0178571428571428,16,74,10,0.16,0.74,0.1,49.0,8.0,0.5312309185911697,72.51316757647322,15.2841662991301,11.0,2.0,0.6684326550502655,19.0,6.0,0.4463098211075398,11.0,0.0,0.5789473684210527,8.0,0.0,0.5714285714285714
100,1,U,FIFO,ok,,218820.7086238057,0.0312598999998954,,,,,,,,,,,,,,,,,,,,,,,,,0,209195.70862380564,9625.0,19,65720.60449132964,1000.0,66720.60449132964,0.0,0.8947368421052632,0.1052631578947368,0.0263157894736842,48,80542.87006744315,6000.0,86542.87006744315,0.3125,0.5,0.1875,0.15625,19,32332.23406503286,2250.0,34582.234065032855,0.0,0.8947368421052632,0.1052631578947368,0.2368421052631578,14,30600.0,375.0,30975.0,0.0,0.7857142857142857,0.2142857142857142,0.0178571428571428,15,69,16,0.15,0.69,0.16,,,,,,,,,,,,,,,,,
100,1,U,Greedy,ok,,220165.3258081347,0.0822105999995983,,,,,,,,,,,,,,,,,,,,,,,,,0,209415.3258081347,10750.0,19,63433.13623099793,4500.0,67933.13623099793,0.0526315789473684,0.8421052631578947,0.1052631578947368,0.1184210526315789,48,81669.17117611007,5000.0,86669.17117611007,0.2916666666666667,0.5208333333333334,0.1875,0.1302083333333333,19,33713.01840102664,875.0,34588.01840102664,0.0,0.8421052631578947,0.1578947368421052,0.0921052631578947,14,30600.0,375.0,30975.0,0.0,0.7857142857142857,0.2142857142857142,0.0178571428571428,15,68,17,0.15,0.68,0.17,,,,,,,,,,,,,,,,,
100,2,U,CG+IR,ok,,190845.92207749336,21.665068299999803,0.0,8.302900139235905e-05,0.0083029001392359,190830.07633116347,190830.07633116347,190845.92207749336,0.0,0.0,44467.0,1.0,21.665068299999803,full_pricing_converged,Full-CG LP-IP gap,1.0,0.0,Optimal,Optimal,1.0,1.0,0.0,0.0,44467.0,0.0,0.0,0,190845.92207749336,0.0,23,71908.2069146626,0.0,71908.2069146626,0.0434782608695652,0.9565217391304348,0.0,0.0,53,78039.87275771453,0.0,78039.87275771453,0.2830188679245283,0.7169811320754716,0.0,0.0,12,19297.84240511622,0.0,19297.84240511622,0.0,1.0,0.0,0.0,12,21600.0,0.0,21600.0,0.0,1.0,0.0,0.0,16,84,0,0.16,0.84,0.0,,,,,,,,,,,,,,,,,
100,2,U,rolling_horizon,ok,,218717.04530030765,22.833451200000127,,,,,,,,,,,,,,,,,,1.0,,,,,,,0,214242.04530030765,4475.0,23,74614.25950053375,0.0,74614.25950053375,0.0434782608695652,0.9130434782608696,0.0434782608695652,0.0,53,92883.3421509543,3600.0,96483.3421509543,0.2075471698113207,0.660377358490566,0.1320754716981132,0.0849056603773584,12,20944.44364881962,875.0,21819.44364881962,0.0,0.9166666666666666,0.0833333333333333,0.1458333333333333,12,25800.0,0.0,25800.0,0.0833333333333333,0.6666666666666666,0.25,0.0,13,75,12,0.13,0.75,0.12,43.0,10.0,0.476998908706452,63.94109005038797,15.344656989711204,11.0,2.0,0.545080047681181,24.0,4.0,0.4824272816940619,5.0,0.0,0.4166666666666667,3.0,4.0,0.3828669870160631
100,2,U,fix_and_optimize,ok,,219397.5736222932,19.618342300000226,,,,,,,,,,,,,,,,,,1.0,,,,,,,0,215522.5736222932,3875.0,23,72220.86992411925,0.0,72220.86992411925,0.0869565217391304,0.8695652173913043,0.0434782608695652,0.0,53,96557.26004935431,3000.0,99557.26004935431,0.1698113207547169,0.6792452830188679,0.1509433962264151,0.070754716981132,12,20944.44364881962,875.0,21819.44364881962,0.0,0.9166666666666666,0.0833333333333333,0.1458333333333333,12,25800.0,0.0,25800.0,0.0833333333333333,0.6666666666666666,0.25,0.0,12,75,13,0.12,0.75,0.13,49.0,9.0,0.5379845676639959,82.25158811473155,15.087029434139954,12.0,1.0,0.5595234376224443,25.0,8.0,0.5458380698317619,7.0,0.0,0.5833333333333334,5.0,0.0,0.4166666666666667
100,2,U,FIFO,ok,,232550.01869144567,0.1021200000004682,,,,,,,,,,,,,,,,,,,,,,,,,0,218625.01869144573,13925.0,23,72220.86992411925,6500.0,78720.86992411925,0.0869565217391304,0.8695652173913043,0.0434782608695652,0.1413043478260869,53,99659.70511850678,5800.0,105459.70511850678,0.1886792452830188,0.6226415094339622,0.1886792452830188,0.1367924528301886,12,20944.44364881962,1625.0,22569.44364881962,0.0,0.9166666666666666,0.0833333333333333,0.2708333333333333,12,25800.0,0.0,25800.0,0.0833333333333333,0.6666666666666666,0.25,0.0,13,72,15,0.13,0.72,0.15,,,,,,,,,,,,,,,,,
100,2,U,Greedy,ok,,234162.06951325823,0.2531404999999722,,,,,,,,,,,,,,,,,,,,,,,,,0,219987.06951325823,14175.0,23,78101.47441038773,2000.0,80101.47441038773,0.0434782608695652,0.8695652173913043,0.0869565217391304,0.0434782608695652,53,93941.15145405084,9800.0,103741.15145405084,0.2452830188679245,0.5849056603773585,0.1698113207547169,0.2311320754716981,12,20944.44364881962,1250.0,22194.44364881962,0.0,0.9166666666666666,0.0833333333333333,0.2083333333333333,12,27000.0,1125.0,28125.0,0.0,0.75,0.25,0.0625,14,71,15,0.14,0.71,0.15,,,,,,,,,,,,,,,,,
