N,seed,scenario,method,status,error,obj,runtime_total,runtime_pricing,gap,gap_pct,lp_lower_bound,lp_obj_final_pool,irmp_obj,best_reduced_cost_last,num_negative_columns_last,num_columns_total,iterations,runtime_sec,cg_status,gap_type,full_pricing_converged,min_reduced_cost,lp_status,ip_status,success,num_iters,num_pricing_calls,num_columns_added,n_columns_generated,min_reduced_cost_last,pricing_time_share,infeasible_jobs,cost_energy,cost_delay,type_A_count,type_A_cost_energy,type_A_cost_delay,type_A_cost_total,type_A_shore_ratio,type_A_battery_ratio,type_A_brown_ratio,type_A_avg_tardy_hours,type_B_count,type_B_cost_energy,type_B_cost_delay,type_B_cost_total,type_B_shore_ratio,type_B_battery_ratio,type_B_brown_ratio,type_B_avg_tardy_hours,type_C_count,type_C_cost_energy,type_C_cost_delay,type_C_cost_total,type_C_shore_ratio,type_C_battery_ratio,type_C_brown_ratio,type_C_avg_tardy_hours,type_D_count,type_D_cost_energy,type_D_cost_delay,type_D_cost_total,type_D_shore_ratio,type_D_battery_ratio,type_D_brown_ratio,type_D_avg_tardy_hours,num_fully_masked,num_partially_masked,avg_masking_rate,time_saved_total,avg_stay_time,num_fully_masked_type_A,num_partially_masked_type_A,avg_masking_rate_type_A,num_fully_masked_type_B,num_partially_masked_type_B,avg_masking_rate_type_B,num_fully_masked_type_C,num_partially_masked_type_C,avg_masking_rate_type_C,num_fully_masked_type_D,num_partially_masked_type_D,avg_masking_rate_type_D,mode_shore_count,mode_battery_count,mode_brown_count,SP_share,BS_share,AE_share,operation_mode,simops_saving_pct
25,1,U,CG+IR,ok,,33677.803002689994,3.3749163000002227,0.0,0.0001644750330295,0.0164475033029598,33672.26384492876,33672.26384492876,33677.803002689994,0.0,0,10829,1,3.3749163000002227,full_pricing_converged,Full-CG LP-IP gap,True,0.0,Optimal,Optimal,True,1,0,0,10829,0.0,0.0,0,33677.803002689994,0.0,3,7405.373282401613,0.0,7405.373282401613,0.3333333333333333,0.6666666666666666,0.0,0.0,14,17499.960528496318,0.0,17499.960528496318,0.5,0.5,0.0,0.0,4,6372.469191792063,0.0,6372.469191792063,0.0,1.0,0.0,0.0,4,2400.0,0.0,2400.0,1.0,0.0,0.0,0.0,7,8,0.3823174937736602,38.280244621792406,15.023231476393642,1,1,0.5490236125346589,5,4,0.4414886686543107,0,0,0.0,1,3,0.4325062863942945,12,13,0,0.48,0.52,0.0,simops,23.751502174410245
25,1,U,CG+IR,ok,,44168.480643021125,2.162388900000224,0.0,0.0,0.0,44168.48064302113,44168.48064302113,44168.480643021125,0.0,0,7512,1,2.162388900000224,full_pricing_converged,Full-CG LP-IP gap,True,0.0,Optimal,Optimal,True,1,0,0,7512,0.0,0.0,0,42993.480643021125,1175.0,3,9688.406182288618,0.0,9688.406182288618,0.0,1.0,0.0,0.0,14,20932.60526894044,800.0,21732.60526894044,0.3571428571428571,0.6428571428571429,0.0,0.0714285714285714,4,6372.469191792063,0.0,6372.469191792063,0.0,1.0,0.0,0.0,4,6000.0,375.0,6375.0,0.25,0.75,0.0,0.0625,0,0,0.0,0.0,14.928846137232991,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,6,19,0,0.24,0.76,0.0,sequential,
25,2,U,CG+IR,ok,,34220.32475458618,3.554902899999888,0.0,0.0004718581594958,0.047185815949588,34204.17761513013,34204.17761513013,34220.32475458618,0.0,0,11120,1,3.554902899999888,full_pricing_converged,Full-CG LP-IP gap,True,0.0,Optimal,Optimal,True,1,0,0,11120,0.0,0.0,0,34220.32475458618,0.0,5,9151.46660489807,0.0,9151.46660489807,0.6,0.4,0.0,0.0,15,18132.69932775997,0.0,18132.69932775997,0.4666666666666667,0.5333333333333333,0.0,0.0,3,4536.158821928152,0.0,4536.158821928152,0.0,1.0,0.0,0.0,2,2400.0,0.0,2400.0,0.5,0.5,0.0,0.0,13,5,0.6629520130222174,48.8656746983354,15.402125091789344,2,2,0.6496509520777698,9,3,0.7550363710111057,2,0,0.6666666666666666,0,0,0.0,11,14,0,0.44,0.56,0.0,simops,18.653965333564862
25,2,U,CG+IR,ok,,42067.60033836796,2.047802900000079,0.0,1.7295870350720608e-16,1.7295870350720612e-14,42067.60033836795,42067.60033836795,42067.60033836796,0.0,0,7260,1,2.047802900000079,full_pricing_converged,Full-CG LP-IP gap,True,0.0,Optimal,Optimal,True,1,0,0,7260,0.0,0.0,0,42067.60033836796,0.0,5,15368.888217465506,0.0,15368.888217465506,0.0,1.0,0.0,0.0,15,20962.5532989743,0.0,20962.5532989743,0.3333333333333333,0.6666666666666666,0.0,0.0,3,4536.158821928152,0.0,4536.158821928152,0.0,1.0,0.0,0.0,2,1200.0,0.0,1200.0,1.0,0.0,0.0,0.0,0,0,0.0,0.0,16.171402147324358,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,7,18,0,0.28,0.72,0.0,sequential,
100,1,U,CG+IR,ok,,178339.47421345147,16.686070299999756,0.0,1.5858094429793794e-05,0.0015858094429793,178336.64608922883,178336.64608922883,178339.47421345147,0.0,0,42648,1,16.686070299999756,full_pricing_converged,Full-CG LP-IP gap,True,0.0,Optimal,Optimal,True,1,0,0,42648,0.0,0.0,0,178339.47421345147,0.0,19,51171.21168002153,0.0,51171.21168002153,0.2105263157894736,0.7894736842105263,0.0,0.0,48,73752.12764578388,0.0,73752.12764578388,0.1666666666666666,0.8333333333333334,0.0,0.0,19,29416.13488764601,0.0,29416.13488764601,0.0,1.0,0.0,0.0,14,24000.0,0.0,24000.0,0.0714285714285714,0.9285714285714286,0.0,0.0,40,11,0.4684529638046903,71.64454553062693,15.93382478876277,4,3,0.3104073572826067,20,5,0.4883080625751885,9,0,0.4736842105263157,7,3,0.6077692563207469,13,87,0,0.13,0.87,0.0,simops,17.185655634587725
100,1,U,CG+IR,ok,,215348.5311995486,8.301687200000288,0.0,0.0,0.0,215348.5311995486,215348.5311995486,215348.5311995486,0.0,0,27857,1,8.301687200000288,full_pricing_converged,Full-CG LP-IP gap,True,0.0,Optimal,Optimal,True,1,0,0,27857,0.0,0.0,0,213123.5311995486,2225.0,19,59150.23695702706,0.0,59150.23695702706,0.0,1.0,0.0,0.0,48,91264.00166327952,1600.0,92864.00166327952,0.1875,0.5625,0.25,0.0416666666666666,19,41109.29257924204,625.0,41734.29257924204,0.0,0.5789473684210527,0.4210526315789473,0.0657894736842105,14,21600.0,0.0,21600.0,0.2142857142857142,0.7857142857142857,0.0,0.0,0,0,0.0,0.0,14.404763702546838,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,12,68,20,0.12,0.68,0.2,sequential,
100,2,U,CG+IR,ok,,190845.92207749336,21.830196299999898,0.0,8.302900139235905e-05,0.0083029001392359,190830.07633116347,190830.07633116347,190845.92207749336,0.0,0,44467,1,21.830196299999898,full_pricing_converged,Full-CG LP-IP gap,True,0.0,Optimal,Optimal,True,1,0,0,44467,0.0,0.0,0,190845.92207749336,0.0,23,71908.2069146626,0.0,71908.2069146626,0.0434782608695652,0.9565217391304348,0.0,0.0,53,78039.87275771453,0.0,78039.87275771453,0.2830188679245283,0.7169811320754716,0.0,0.0,12,19297.84240511622,0.0,19297.84240511622,0.0,1.0,0.0,0.0,12,21600.0,0.0,21600.0,0.0,1.0,0.0,0.0,46,12,0.4991296007408035,70.16649653766046,15.634125734324538,9,2,0.4126605039273325,24,10,0.5173918581839944,4,0,0.3333333333333333,9,0,0.75,16,84,0,0.16,0.84,0.0,simops,22.541229973528253
100,2,U,CG+IR,ok,,246383.87882001128,9.229048000000148,0.0,0.0,0.0,246383.87882001128,246383.87882001128,246383.87882001128,0.0,0,29078,1,9.229048000000148,full_pricing_converged,Full-CG LP-IP gap,True,0.0,Optimal,Optimal,True,1,0,0,29078,0.0,0.0,0,244858.87882001128,1525.0,23,73933.56713556702,0.0,73933.56713556702,0.0,1.0,0.0,0.0,53,113006.5499666702,1400.0,114406.5499666702,0.1698113207547169,0.490566037735849,0.3396226415094339,0.0330188679245283,12,30318.761717774047,125.0,30443.761717774047,0.0,0.4166666666666667,0.5833333333333334,0.0208333333333333,12,27600.0,0.0,27600.0,0.0833333333333333,0.5833333333333334,0.3333333333333333,0.0,0,0,0.0,0.0,12.6355301104069,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,10,61,29,0.1,0.61,0.29,sequential,
200,1,U,CG+IR,ok,,658378.0868126715,6.044194300000072,1.2538131000005706,0.0,0.0,658378.0868126715,658378.0868126715,658378.0868126715,-3340.2321862829363,18085,4991,8,6.044194300000072,budgeted_topK,Pool LP-IP gap,False,-3340.2321862829363,Optimal,Optimal,True,8,1600,4791,4991,-3340.2321862829363,0.2074408991121538,0,658378.0868126715,0.0,32,143924.75899704697,0.0,143924.75899704697,0.0625,0.4375,0.5,0.0,107,350934.5534598504,0.0,350934.5534598504,0.1121495327102803,0.0093457943925233,0.8785046728971962,0.0,36,86118.77435577405,0.0,86118.77435577405,0.0,0.4444444444444444,0.5555555555555556,0.0,25,77400.0,0.0,77400.0,0.0,0.28,0.72,0.0,40,8,0.226367980104073,75.34951292479673,14.852482541563935,12,4,0.4547992027823296,7,3,0.0876297119064685,16,0,0.4444444444444444,5,1,0.2137456943115169,14,38,148,0.07,0.19,0.74,simops,-13.812590865875372
200,1,U,CG+IR,ok,,578475.6166288753,3.135764699999981,0.7736863000004632,0.0,0.0,578475.6166288754,578475.6166288754,578475.6166288753,-1502.1654216538732,614,2197,8,3.135764699999981,budgeted_topK,Pool LP-IP gap,False,-1502.1654216538732,Optimal,Optimal,True,8,1600,1997,2197,-1502.1654216538732,0.2467297051977362,0,576675.6166288753,1800.0,32,100994.1115586618,0.0,100994.1115586618,0.0,1.0,0.0,0.0,107,304100.8108632076,800.0,304900.8108632076,0.0841121495327102,0.2710280373831775,0.6448598130841121,0.0093457943925233,36,107980.69420700562,1000.0,108980.69420700562,0.0,0.0833333333333333,0.9166666666666666,0.0555555555555555,25,63600.0,0.0,63600.0,0.16,0.32,0.52,0.0,0,0,0.0,0.0,7.874348167339878,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,13,72,115,0.065,0.36,0.575,sequential,
200,2,U,CG+IR,ok,,676653.5223256913,6.037525800000367,1.3139674000003652,0.0,0.0,676653.5223256913,676653.5223256913,676653.5223256913,-3398.9598490883127,18761,4944,8,6.037525800000367,budgeted_topK,Pool LP-IP gap,False,-3398.9598490883127,Optimal,Optimal,True,8,1600,4744,4944,-3398.9598490883127,0.2176334219557762,0,676253.5223256913,400.0,42,184753.1712764049,0.0,184753.1712764049,0.0714285714285714,0.4761904761904761,0.4523809523809524,0.0,100,324224.5288036671,400.0,324624.5288036671,0.09,0.01,0.9,0.005,27,61675.82224561932,0.0,61675.82224561932,0.0,0.5555555555555556,0.4444444444444444,0.0,31,105600.0,0.0,105600.0,0.064516129032258,0.0,0.935483870967742,0.0,39,8,0.2184104792142301,71.92470523856312,14.131184382791592,18,3,0.4683147748820209,5,4,0.0794244678249543,15,0,0.5555555555555556,1,1,0.0345299521066362,14,36,150,0.07,0.18,0.75,simops,-14.292937392011057
200,2,U,CG+IR,ok,,592034.4141693121,3.245827400000053,0.8226398999995581,0.0,0.0,592034.4141693121,592034.4141693121,592034.4141693121,-818.2752099999975,819,2286,8,3.245827400000053,budgeted_topK,Pool LP-IP gap,False,-818.2752099999975,Optimal,Optimal,True,8,1600,2086,2286,-818.2752099999975,0.25344536188201033,0,590334.4141693121,1700.0,42,133865.2372979468,0.0,133865.2372979468,0.0,1.0,0.0,0.0,100,281375.5330693648,200.0,281575.5330693648,0.07,0.25,0.68,0.0025,27,80293.64380200053,1500.0,81793.64380200053,0.0,0.14814814814814814,0.8518518518518519,0.1111111111111111,31,94800.0,0.0,94800.0,0.16129032258064516,0.03225806451612903,0.8064516129032258,0.0,0,0,0.0,0.0,7.989816766352842,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,12,72,116,0.06,0.36,0.58,sequential,
