iteration,wall_time,rmp_obj,rmp_lb,best_primal_obj,columns_added_this_iter,pricing_calls_cum,min_reduced_cost_last,num_negative_columns_last,dual_norm
1,0.5561584000006405,794877.0483261286,794877.0483261286,794877.0483261286,1000,200,-5902.913757901737,38170,0.0
2,0.9402546000001166,738501.3177282537,738501.3177282537,738501.3177282537,995,400,-8617.374836855244,34080,0.0
3,1.5122062000009464,722005.2768169732,722005.2768169732,722005.2768169732,981,600,-5902.913757901737,28020,0.0
4,2.230992500000866,701727.9945976768,701727.9945976768,701727.9945976768,1000,800,-5598.083495427646,22539,0.0
5,3.0785751000003074,684388.1014014616,684388.1014014616,684388.1014014616,998,1000,-4514.867001252212,19175,0.0
6,4.029334200000449,665959.5191919112,665959.5191919112,665959.5191919112,1000,1200,-3358.8500862829364,17575,0.0
7,5.046276500001113,653327.7671103254,653327.7671103254,653327.7671103254,996,1400,-3198.352218629,16982,0.0
8,6.479405600000973,643139.3346583546,643139.3346583546,643139.3346583546,976,1600,-3057.1380186290007,16020,0.0
9,8.323419400001512,629332.2989246588,629332.2989246588,629332.2989246588,992,1800,-2775.604340832486,13583,0.0
10,10.280360000000655,616149.6656150399,616149.6656150399,616149.6656150399,954,2000,-2238.0101862829365,13169,0.0
11,12.385698400001274,607008.6855892866,607008.6855892866,607008.6855892866,914,2200,-2202.4402578175414,11644,0.0
12,14.749749200000224,599769.174330874,599769.174330874,599769.174330874,754,2400,-2182.76290280392,10137,0.0
13,17.22922070000095,591100.7914019082,591100.7914019082,591100.7914019082,780,2600,-2071.0018490278644,8608,0.0
14,19.530389000001378,582315.3217087325,582315.3217087325,582315.3217087325,728,2800,-2025.2970284117587,9710,0.0
15,21.302000700001372,577917.3633751401,577917.3633751401,577917.3633751401,651,3000,-1998.1906490278643,8267,0.0
16,23.160069999999905,569914.7335241846,569914.7335241846,569914.7335241846,587,3200,-1990.5633641594848,9147,0.0
17,25.14481970000088,562260.8272514922,562260.8272514922,562260.8272514922,523,3400,-1970.41004890835,7630,0.0
18,27.138253900000564,558068.4670863801,558068.4670863801,558068.4670863801,465,3600,-2175.6784764210947,6077,0.0
19,29.33381030000055,550288.3153190516,550288.3153190516,550288.3153190516,402,3800,-1892.9251755124956,8552,0.0
20,31.47789190000003,542822.7813364624,542822.7813364624,542822.7813364624,394,4000,-1838.122786282936,3039,0.0
21,33.71080470000015,539154.8631665692,539154.8631665692,539154.8631665692,340,4200,-1829.9936037566345,3074,0.0
22,36.00772710000092,531858.9008980074,531858.9008980074,531858.9008980074,254,4400,-1784.709620596819,4848,0.0
23,38.64352990000043,525657.0806390448,525657.0806390448,525657.0806390448,273,4600,-964.8450467462305,5330,0.0
24,41.13119700000061,525405.3651585919,525405.3651585919,525405.3651585919,153,4800,-254.76590754852032,5781,0.0
25,43.553987600000255,525404.9182661786,525404.9182661786,525404.9182661786,147,5000,-100.49795090048292,5990,0.0
26,45.995357600000716,525404.9182731598,525404.9182731598,525404.9182731598,162,5200,-199.99996308837535,5874,0.0
27,48.55910050000057,525404.9182307003,525404.9182307003,525404.9182307003,101,5400,-99.6823106589718,7728,0.0
28,51.083280700000614,525404.9182654846,525404.9182654846,525404.9182654846,98,5600,-178.70856927189743,5721,0.0
29,53.639165100001264,525404.9182683466,525404.9182683466,525404.9182683466,31,5800,-72.63028754155584,6284,0.0
30,56.20385410000017,525404.9182428159,525404.9182428159,525404.9182428159,72,6000,-27.924298996461857,6649,0.0
