N,scenario,seed,method,status,error,obj,runtime_total,runtime_pricing,gap,gap_pct,lp_lower_bound,lp_obj_final_pool,irmp_obj,best_reduced_cost_last,num_negative_columns_last,num_columns_total,iterations,runtime_sec,cg_status,gap_type,full_pricing_converged,pricing_converged,objective_stabilized,relative_improvement_last_5,injected_columns_count,injected_incumbent_methods,min_reduced_cost,operation_mode,lp_status,ip_status,success,num_iters,num_pricing_calls,num_columns_added,n_columns_generated,min_reduced_cost_last,pricing_time_share,infeasible_jobs,cost_energy,cost_delay,type_A_count,type_A_cost_energy,type_A_cost_delay,type_A_cost_total,type_A_shore_ratio,type_A_battery_ratio,type_A_brown_ratio,type_A_avg_tardy_hours,type_B_count,type_B_cost_energy,type_B_cost_delay,type_B_cost_total,type_B_shore_ratio,type_B_battery_ratio,type_B_brown_ratio,type_B_avg_tardy_hours,type_C_count,type_C_cost_energy,type_C_cost_delay,type_C_cost_total,type_C_shore_ratio,type_C_battery_ratio,type_C_brown_ratio,type_C_avg_tardy_hours,type_D_count,type_D_cost_energy,type_D_cost_delay,type_D_cost_total,type_D_shore_ratio,type_D_battery_ratio,type_D_brown_ratio,type_D_avg_tardy_hours,num_fully_masked,num_partially_masked,avg_masking_rate,time_saved_total,avg_stay_time,num_fully_masked_type_A,num_partially_masked_type_A,avg_masking_rate_type_A,num_fully_masked_type_B,num_partially_masked_type_B,avg_masking_rate_type_B,num_fully_masked_type_C,num_partially_masked_type_C,avg_masking_rate_type_C,num_fully_masked_type_D,num_partially_masked_type_D,avg_masking_rate_type_D,mode_shore_count,mode_battery_count,mode_brown_count,SP_share,BS_share,AE_share,objective,total_cost,delay_cost,avg_stay_h,masking_rate,avg_delay_h
200,U,1,CG+IR,ok,,525417.6739598438,33.3502967000004,3.12847459999648,2.427727924346071e-05,0.002427727924346,525404.9182482536,525404.9182482536,525417.6739598438,-309.3043432718973,6185.0,11137.0,20.0,33.3502967000004,budgeted_stabilized,Pool LP-IP gap,0.0,0.0,1.0,8.505372335707191e-07,282.0,Greedy:200;FIFO:200,-309.3043432718973,simops,Optimal,Optimal,1.0,20.0,4000.0,10748.0,11137.0,-309.3043432718973,0.0938064997783495,0,523292.6739598438,2125.0,32,100994.1115586618,0.0,100994.1115586618,0.0,1.0,0.0,0.0,107,232717.8681941761,1000.0,233717.8681941761,0.1588785046728972,0.514018691588785,0.3271028037383177,0.0116822429906542,36,107980.69420700562,1125.0,109105.69420700562,0.0,0.0833333333333333,0.9166666666666666,0.0625,25,81600.0,0.0,81600.0,0.04,0.12,0.84,0.0,50,11,0.2740130668785059,76.71865522702059,15.698010418084827,16,1,0.5221410402269135,32,10,0.3373280382097192,0,0,0.0,2,0,0.08,18,93,89,0.09,0.465,0.445,525417.6739598438,525417.6739598438,2125.0,15.698010418084827,0.2740130668785059,
200,U,1,Restricted-CG,ok,,591662.9518940018,3.0478619000004983,0.4781526999995549,0.0,0.0,591662.9518940019,591662.9518940019,591662.9518940018,-7104.895947339419,8270.0,1933.0,6.0,3.0478619000004983,budgeted_stabilized,Pool LP-IP gap,0.0,0.0,1.0,0.0,0.0,,-7104.895947339419,simops,Optimal,Optimal,1.0,6.0,600.0,1733.0,1933.0,-7104.895947339419,0.1568813534496024,0,561637.9518940018,30025.0,32,138230.0167091516,7000.0,145230.0167091516,0.09375,0.46875,0.4375,0.109375,107,271712.26423325704,16400.0,288112.26423325704,0.0841121495327102,0.4672897196261682,0.4485981308411215,0.1915887850467289,36,75495.67095159303,5500.0,80995.67095159303,0.0,0.6666666666666666,0.3333333333333333,0.3055555555555556,25,76200.0,1125.0,77325.0,0.04,0.24,0.72,0.03,54,9,0.2817606517403138,78.58372185985812,15.778515790450545,12,1,0.3907457701195869,26,7,0.2592536340603012,12,0,0.3333333333333333,4,1,0.1643250743913506,13,95,92,0.065,0.475,0.46,591662.9518940018,591662.9518940018,30025.0,15.778515790450545,0.2817606517403138,
200,U,1,Greedy,ok,,593180.9473364722,0.182774299999437,,,,,,,,,,,0.182774299999437,,,,,,,,,,,,,,,,,,,,0,563155.9473364721,30025.0,32,136097.78192157092,7000.0,143097.78192157092,0.125,0.4375,0.4375,0.109375,107,275362.4944633082,16400.0,291762.4944633082,0.0654205607476635,0.4766355140186916,0.4579439252336448,0.1915887850467289,36,75495.67095159303,5500.0,80995.67095159303,0.0,0.6666666666666666,0.3333333333333333,0.3055555555555556,25,76200.0,1125.0,77325.0,0.04,0.24,0.72,0.03,53,9,0.2767606517403138,78.83372185985812,15.778515790450545,12,1,0.3907457701195869,25,7,0.2499078396677778,12,0,0.3333333333333333,4,1,0.1643250743913506,12,95,93,0.06,0.475,0.465,593180.9473364722,593180.9473364722,30025.0,15.778515790450545,0.2767606517403138,
200,U,1,FIFO,ok,,588678.591099917,0.0986390000016399,,,,,,,,,,,0.0986390000016399,,,,,,,,,,,,,,,,,,,,0,560328.5910999171,28350.0,32,138181.4307086878,5000.0,143181.4307086878,0.09375,0.46875,0.4375,0.078125,107,273451.48943963624,17600.0,291051.48943963624,0.0841121495327102,0.4579439252336448,0.4579439252336448,0.205607476635514,36,75495.67095159303,4625.0,80120.67095159303,0.0,0.6666666666666666,0.3333333333333333,0.2569444444444444,25,73200.0,1125.0,74325.0,0.08,0.24,0.68,0.03,53,11,0.2846887689519854,73.39115835771669,15.771697224359547,11,2,0.384047537537494,26,8,0.2672052230177503,12,0,0.3333333333333333,4,1,0.1622909490519195,14,94,92,0.07,0.47,0.46,588678.591099917,588678.591099917,28350.0,15.771697224359547,0.2846887689519854,
200,U,1,Rolling-Horizon,ok,,584711.2012913715,37.255101800001285,,,,,,,,,,,37.255101800001285,,,,,,,,,,,,,1.0,,,,,,,0,570236.2012913715,14475.0,32,135997.2122041958,4000.0,139997.2122041958,0.125,0.4375,0.4375,0.0625,107,281172.16250251775,6600.0,287772.16250251775,0.0654205607476635,0.4485981308411215,0.4859813084112149,0.0771028037383177,36,78666.826584658,3875.0,82541.826584658,0.0,0.6111111111111112,0.3888888888888889,0.2152777777777778,25,74400.0,0.0,74400.0,0.04,0.28,0.68,0.0,42,6,0.2254631520436654,67.61203912220738,15.780908565453064,6,3,0.2576031238450604,24,2,0.2262823657510916,8,0,0.2222222222222222,4,1,0.185484692412974,12,91,97,0.06,0.455,0.485,584711.2012913715,584711.2012913715,14475.0,15.780908565453064,0.2254631520436654,
200,U,1,Fix-and-Optimize,ok,,582071.0194861728,25.58130809999966,,,,,,,,,,,25.58130809999966,,,,,,,,,,,,,1.0,,,,,,,0,562396.0194861728,19675.0,32,133006.82382306884,4500.0,137506.82382306884,0.125,0.46875,0.40625,0.0703125,107,279493.524711511,10800.0,290293.524711511,0.0654205607476635,0.4579439252336448,0.4766355140186916,0.1261682242990654,36,75495.67095159303,4375.0,79870.67095159303,0.0,0.6666666666666666,0.3333333333333333,0.2430555555555555,25,74400.0,0.0,74400.0,0.04,0.28,0.68,0.0,51,8,0.2644902024941587,77.26897713817516,15.738683819481734,11,1,0.3594957701195869,27,6,0.2630310805262273,10,1,0.2847180621860732,3,0,0.12,12,95,93,0.06,0.475,0.465,582071.0194861728,582071.0194861728,19675.0,15.738683819481734,0.2644902024941587,
200,U,2,CG+IR,ok,,539083.6193973668,33.68277269999999,3.4512229999982083,0.0,0.0,539083.6193973668,539083.6193973668,539083.6193973668,-4.908831215288956e-05,3489.0,11933.0,21.0,33.68277269999999,budgeted_stabilized,Pool LP-IP gap,0.0,0.0,1.0,0.0,273.0,Greedy:200;FIFO:200,-4.908831215288956e-05,simops,Optimal,Optimal,1.0,21.0,4200.0,11556.0,11933.0,-4.908831215288956e-05,0.1024625564746992,0,538108.6193973668,975.0,42,133865.2372979468,0.0,133865.2372979468,0.0,1.0,0.0,0.0,100,222761.8245638277,600.0,223361.8245638277,0.13,0.48,0.39,0.0075,27,81881.55753559223,375.0,82256.55753559223,0.0,0.1111111111111111,0.8888888888888888,0.0277777777777777,31,99600.0,0.0,99600.0,0.1290322580645161,0.0,0.8709677419354839,0.0,46,9,0.2394689831078096,65.95450693933672,15.11972466215796,20,1,0.482119388931532,24,6,0.2515804431506961,0,0,0.0,2,2,0.0802173539150958,17,93,90,0.085,0.465,0.45,539083.6193973668,539083.6193973668,975.0,15.11972466215796,0.2394689831078096,
200,U,2,Restricted-CG,ok,,598456.2467115917,3.246790400000464,0.5024265000010928,0.0,0.0,598456.246711592,598456.246711592,598456.2467115917,-5822.800757254379,11175.0,1930.0,6.0,3.246790400000464,budgeted_stabilized,Pool LP-IP gap,0.0,0.0,1.0,0.0,0.0,,-5822.800757254379,simops,Optimal,Optimal,1.0,6.0,600.0,1730.0,1930.0,-5822.800757254379,0.154745591215565,0,574406.2467115917,24050.0,42,167328.1202642778,11500.0,178828.1202642778,0.0476190476190476,0.6666666666666666,0.2857142857142857,0.1369047619047619,100,242926.7030433032,7800.0,250726.7030433032,0.11,0.44,0.45,0.0975,27,60951.42340401063,3625.0,64576.42340401063,0.0,0.5925925925925926,0.4074074074074074,0.2685185185185185,31,103200.0,1125.0,104325.0,0.032258064516129,0.0967741935483871,0.8709677419354839,0.0241935483870967,45,6,0.2357584858948667,65.26778404670964,15.086497852324689,15,1,0.3775481650914767,21,5,0.2229467424513133,7,0,0.2592592592592592,2,0,0.064516129032258,14,91,95,0.07,0.455,0.475,598456.2467115917,598456.2467115917,24050.0,15.086497852324689,0.2357584858948667,
200,U,2,Greedy,ok,,598456.2467115918,0.1874248999993142,,,,,,,,,,,0.1874248999993142,,,,,,,,,,,,,,,,,,,,0,574406.2467115918,24050.0,42,167328.1202642778,11500.0,178828.1202642778,0.0476190476190476,0.6666666666666666,0.2857142857142857,0.1369047619047619,100,242926.7030433032,7800.0,250726.7030433032,0.11,0.44,0.45,0.0975,27,60951.42340401063,3625.0,64576.42340401063,0.0,0.5925925925925926,0.4074074074074074,0.2685185185185185,31,103200.0,1125.0,104325.0,0.032258064516129,0.0967741935483871,0.8709677419354839,0.0241935483870967,45,6,0.2357584858948667,65.26778404670964,15.086497852324689,15,1,0.3775481650914767,21,5,0.2229467424513133,7,0,0.2592592592592592,2,0,0.064516129032258,14,91,95,0.07,0.455,0.475,598456.2467115918,598456.2467115918,24050.0,15.086497852324689,0.2357584858948667,
200,U,2,FIFO,ok,,597642.9233729115,0.0967012000000977,,,,,,,,,,,0.0967012000000977,,,,,,,,,,,,,,,,,,,,0,573892.9233729115,23750.0,42,170526.90082100028,7000.0,177526.90082100028,0.0476190476190476,0.6428571428571429,0.3095238095238095,0.0833333333333333,100,239214.5991479004,12000.0,251214.5991479004,0.11,0.46,0.43,0.15,27,60951.42340401063,4000.0,64951.42340401063,0.0,0.5925925925925926,0.4074074074074074,0.2962962962962963,31,103200.0,750.0,103950.0,0.032258064516129,0.0967741935483871,0.8709677419354839,0.0161290322580645,47,8,0.2499276930238641,67.01834847630181,15.112622115017684,18,0,0.4285714285714285,20,7,0.2292127078170852,7,0,0.2592592592592592,2,1,0.0665892846149773,14,92,94,0.07,0.46,0.47,597642.9233729115,597642.9233729115,23750.0,15.112622115017684,0.2499276930238641,
