N,scenario,method,objective_mean,objective_std,runtime_sec_mean,gap_pct_mean,cg_status,gap_type,pricing_converged,objective_stabilized
200,L,CG+IR,507928.2909927933,9448.112004602188,39.14379595000082,0.0037765242566587805,budgeted_stabilized,Pool LP-IP gap,False,True
200,L,FIFO,562161.5018546791,8835.372843237961,0.10726675000023533,,,,,
200,L,Fix-and-Optimize,553559.4430150867,2390.152814672197,19.861126949998834,,,,,
200,L,Greedy,563994.0419186421,3011.0274059325116,0.18866234999950393,,,,,
200,L,Restricted-CG,563994.0419186421,3011.02740593247,3.101990649999607,1.0281801743001501e-14,budgeted_stabilized,Pool LP-IP gap,False,True
200,L,Rolling-Horizon,567344.356852351,6882.847895570266,32.256927200000064,,,,,
200,P,CG+IR,542591.6242608115,11072.43583309739,34.66767834999973,0.0023063778762083538,budgeted_stabilized,Pool LP-IP gap,False,True
200,P,FIFO,610610.4368522181,6495.721403200485,0.09930210000129591,,,,,
200,P,Fix-and-Optimize,603652.7370650142,9994.277669307057,23.818622799999503,,,,,
200,P,Greedy,612766.5625197373,6550.991395110825,0.18335595000007743,,,,,
200,P,Restricted-CG,612766.562519737,6550.991395110907,3.0479614500000025,0.0,budgeted_stabilized,Pool LP-IP gap,False,True
200,P,Rolling-Horizon,618715.4554674658,10161.19984672582,34.553254749998814,,,,,
200,U,CG+IR,532250.6466786053,9663.2826901978,33.51653470000019,0.0012138639621730354,budgeted_stabilized,Pool LP-IP gap,False,True
200,U,FIFO,593160.7572364142,6338.7401390438745,0.09767010000086884,,,,,
200,U,Fix-and-Optimize,583667.1920388674,2257.32887190834,24.764530999999806,,,,,
200,U,Greedy,595818.597024032,3730.199960936239,0.18509959999937564,,,,,
200,U,Restricted-CG,595059.5993027968,4803.584832117264,3.147326150000481,0.0,budgeted_stabilized,Pool LP-IP gap,False,True
200,U,Rolling-Horizon,587278.8690050195,3631.230504308476,37.142610400001104,,,,,
