iteration,wall_time,rmp_obj,rmp_lb,best_primal_obj,columns_added_this_iter,pricing_calls_cum,min_reduced_cost_last,dual_norm
1,0.4530785999959335,790584.6338215682,790584.6338215682,790584.6338215682,600,200,-5950.457828150027,0.0
2,0.7348742999602109,744764.7751828323,744764.7751828323,744764.7751828323,593,400,-5950.457828150027,0.0
3,1.1348932000109926,726004.5225923188,726004.5225923188,726004.5225923188,597,600,-5950.457828150027,0.0
4,1.6276503999251872,705201.5588934702,705201.5588934702,705201.5588934702,600,800,-5950.457828150027,0.0
5,2.219431299949065,690771.1271190682,690771.1271190682,690771.1271190682,600,1000,-5950.457828150027,0.0
6,2.8611348000122234,681054.7165290228,681054.7165290228,681054.7165290228,600,1200,-5950.457828150027,0.0
7,3.5878216999117285,673387.1565125912,673387.1565125912,673387.1565125912,600,1400,-5950.457828150027,0.0
8,4.366131399990991,666362.9534203793,666362.9534203793,666362.9534203793,594,1600,-5950.457828150027,0.0
9,5.18642689997796,659819.8243577604,659819.8243577604,659819.8243577604,598,1800,-5950.457828150027,0.0
10,6.053501299931668,651955.8493003183,651955.8493003183,651955.8493003183,598,2000,-5950.457828150027,0.0
11,6.943894899915904,644675.4185463624,644675.4185463624,644675.4185463624,600,2200,-5950.457828150027,0.0
12,7.906703199958429,637618.533643127,637618.533643127,637618.533643127,599,2400,-5950.457828150027,0.0
13,9.030309499939904,627043.813983755,627043.813983755,627043.813983755,584,2600,-5950.457828150027,0.0
14,10.134077499969862,620948.8467236195,620948.8467236195,620948.8467236195,578,2800,-5950.457828150027,0.0
15,11.316513599944301,615037.0723443727,615037.0723443727,615037.0723443727,568,3000,-5950.457828150027,0.0
16,12.494870199938305,603990.6573452668,603990.6573452668,603990.6573452668,500,3200,-5950.457828150027,0.0
17,13.701068499940448,597375.7885187839,597375.7885187839,597375.7885187839,496,3400,-5950.457828150027,0.0
18,15.008874299935997,591317.9309670979,591317.9309670979,591317.9309670979,494,3600,-5950.457828150027,0.0
19,16.390841800021008,585986.1064968121,585986.1064968121,585986.1064968121,495,3800,-5950.457828150027,0.0
20,17.80887489998713,581711.8832890581,581711.8832890581,581711.8832890581,429,4000,-5950.457828150027,0.0
