iteration,wall_time,rmp_obj,rmp_lb,best_primal_obj,columns_added_this_iter,pricing_calls_cum,min_reduced_cost_last,dual_norm
1,0.6034968000021763,807474.9519948729,807474.9519948729,807474.9519948729,600,200,-3661.0910797040747,0.0
2,0.9278440999914892,619089.1845574898,619089.1845574898,619089.1845574898,408,400,-2771.1012293625126,0.0
3,1.2847140000085346,606548.8238985683,606548.8238985683,606548.8238985683,316,600,-2174.7771987214487,0.0
4,1.6912571000284515,598612.0390961443,598612.0390961443,598612.0390961443,164,800,-2174.7771973984172,0.0
5,2.1163690999965183,594345.2034838386,594345.2034838386,594345.2034838386,111,1000,-1523.469719001887,0.0
6,2.5519317000289448,591276.9431439228,591276.9431439228,591276.9431439228,62,1200,-1523.469719001887,0.0
7,2.993069700023625,588156.0891033696,588156.0891033696,588156.0891033696,153,1400,-1418.0089442034246,0.0
8,3.4451508999918588,585781.0029386684,585781.0029386684,585781.0029386684,41,1600,-451.6948442034245,0.0
9,3.923716899997089,585781.0029386684,585781.0029386684,585781.0029386684,16,1800,-354.5008146794115,0.0
10,4.405169900041074,585781.0029386684,585781.0029386684,585781.0029386684,17,2000,-237.433626,0.0
11,4.879475000023376,585781.0029386684,585781.0029386684,585781.0029386684,6,2200,-266.86153699999977,0.0
12,5.353570000035688,585781.0029386684,585781.0029386684,585781.0029386684,5,2400,-13.37862026228413,0.0
13,5.858511099999305,585781.0029386684,585781.0029386684,585781.0029386684,2,2600,-72.61650339225525,0.0
14,6.343057000020053,585781.0029386684,585781.0029386684,585781.0029386684,4,2800,-123.84969789367096,0.0
15,6.8210205000359565,585781.0029386684,585781.0029386684,585781.0029386684,2,3000,-92.40273829367106,0.0
16,7.298864700016566,585781.0029386684,585781.0029386684,585781.0029386684,0,3200,0.0,0.0
