iteration,wall_time,rmp_obj,rmp_lb,best_primal_obj,columns_added_this_iter,pricing_calls_cum,min_reduced_cost_last,dual_norm
1,0.6782064999861177,798734.9266144546,798734.9266144546,798734.9266144546,600,200,-5949.811921312698,0.0
2,1.0569219999888446,752223.9403576731,752223.9403576731,752223.9403576731,600,400,-7303.448010676798,0.0
3,1.5828091999865137,732153.0993700186,732153.0993700186,732153.0993700186,597,600,-5836.890871312698,0.0
4,2.2673549999890383,711859.7362679928,711859.7362679928,711859.7362679928,600,800,-5540.715003534006,0.0
5,3.0851963999739382,699376.4289868288,699376.4289868288,699376.4289868288,600,1000,-3569.887163938095,0.0
6,4.0053672999783885,691192.6675995563,691192.6675995563,691192.6675995563,598,1200,-3448.5625551039852,0.0
7,5.0433565999846905,682650.676461432,682650.676461432,682650.676461432,597,1400,-3316.238188373996,0.0
8,6.112635699973907,673998.6478422949,673998.6478422949,673998.6478422949,589,1600,-3256.522176868991,0.0
9,7.258308999997098,667221.0505715417,667221.0505715417,667221.0505715417,595,1800,-3144.3432883739965,0.0
10,8.472281399997883,657293.375728972,657293.375728972,657293.375728972,596,2000,-3105.5383768689912,0.0
11,9.774869899993064,650342.5198923198,650342.5198923198,650342.5198923198,595,2200,-3066.1643675246837,0.0
12,11.158267899998464,640788.7072511205,640788.7072511205,640788.7072511205,592,2400,-2949.437550767695,0.0
13,12.642768299992895,632823.337517353,632823.337517353,632823.337517353,589,2600,-2914.485032030395,0.0
14,14.149251599999843,625011.3587189794,625011.3587189794,625011.3587189794,585,2800,-2823.7187025161197,0.0
15,15.754308299976401,619335.9467573806,619335.9467573806,619335.9467573806,579,3000,-2764.508846214676,0.0
16,17.42412769998191,611594.9712000781,611594.9712000781,611594.9712000781,563,3200,-2196.1326106020174,0.0
17,19.177964199974667,607018.3552479664,607018.3552479664,607018.3552479664,507,3400,-2167.4661579206117,0.0
18,20.973898999975063,601739.9833785836,601739.9833785836,601739.9833785836,479,3600,-2135.160818304076,0.0
19,23.056821499980288,596799.7579757104,596799.7579757104,596799.7579757104,504,3800,-2058.004178276888,0.0
20,24.99533339997288,592688.3327470014,592688.3327470014,592688.3327470014,409,4000,-2048.7721268237383,0.0
21,27.02375329998904,588585.7302100423,588585.7302100423,588585.7302100423,405,4200,-2396.1911289818636,0.0
22,29.178321699990192,584260.4323344799,584260.4323344799,584260.4323344799,359,4400,-1985.4929993306887,0.0
23,31.40476979999221,580194.0727108023,580194.0727108023,580194.0727108023,323,4600,-1982.4400464610103,0.0
24,33.699129499989795,576249.0926513758,576249.0926513758,576249.0926513758,347,4800,-1972.1141260326117,0.0
25,36.06292539997958,572322.0664126966,572322.0664126966,572322.0664126966,305,5000,-1959.3527298100094,0.0
26,38.42793289999827,568406.6309377444,568406.6309377444,568406.6309377444,287,5200,-1927.2393242969763,0.0
27,40.93723229999887,564569.7055521804,564569.7055521804,564569.7055521804,309,5400,-1891.5504106020176,0.0
28,43.480556899972726,560792.9372284352,560792.9372284352,560792.9372284352,241,5600,-1883.8984993306885,0.0
29,46.19732219999423,557028.1346932063,557028.1346932063,557028.1346932063,229,5800,-1874.0352242969764,0.0
30,48.88021749997279,553210.6539198182,553210.6539198182,553210.6539198182,184,6000,-1868.1869242969763,0.0
31,51.60741679999046,549525.8018801276,549525.8018801276,549525.8018801276,213,6200,-1820.583910602017,0.0
32,54.30993569997372,545928.7858908102,545928.7858908102,545928.7858908102,147,6400,-1780.4492242969761,0.0
33,57.0973938999814,542435.0390074977,542435.0390074977,542435.0390074977,203,6600,-1746.8051067905376,0.0
34,59.97409589999006,539359.9621838133,539359.9621838133,539359.9621838133,146,6800,-1402.4512450723291,0.0
35,62.883766299986746,536443.6337532412,536443.6337532412,536443.6337532412,265,7000,-1243.5635890686772,0.0
36,65.77565979998326,534926.5605776365,534926.5605776365,534926.5605776365,130,7200,-438.83988906867694,0.0
37,68.74225739997928,534743.4132602711,534743.4132602711,534743.4132602711,134,7400,-399.9999585264346,0.0
38,71.86084289997234,534743.4132602711,534743.4132602711,534743.4132602711,79,7600,-133.3332845264349,0.0
39,74.83758069999749,534743.413260271,534743.413260271,534743.413260271,83,7800,-268.1199648900142,0.0
40,77.81933119997848,534743.413260271,534743.413260271,534743.413260271,138,8000,-149.90471907903793,0.0
41,80.86472589999903,534743.413260271,534743.413260271,534743.413260271,122,8200,-137.9358069818636,0.0
42,83.88619159997324,534743.413260271,534743.413260271,534743.413260271,27,8400,-98.65064552643469,0.0
43,86.95088289998239,534743.413260271,534743.413260271,534743.413260271,76,8600,-192.88614858995243,0.0
44,90.00517629997921,534743.413260271,534743.413260271,534743.413260271,15,8800,-166.66666023746802,0.0
45,93.10819969998556,534743.413260271,534743.413260271,534743.413260271,74,9000,-92.95468325587262,0.0
46,96.36758249998093,534743.413260271,534743.413260271,534743.413260271,70,9200,-166.66670189003025,0.0
47,99.47730259998934,534743.413260271,534743.413260271,534743.413260271,101,9400,-92.95468325587262,0.0
