iteration,wall_time,rmp_obj,rmp_lb,best_primal_obj,columns_added_this_iter,pricing_calls_cum,min_reduced_cost_last,dual_norm
1,1.219919600058347,2042203.3145947864,2042203.3145947864,2042203.3145947864,1500,500,-5993.503578981433,0.0
2,1.898795900051482,1990862.0411666238,1990862.0411666238,1990862.0411666238,1500,1000,-9869.788678345047,0.0
3,2.885926500079222,1970615.4543831833,1970615.4543831833,1970615.4543831833,1498,1500,-9869.788678345047,0.0
4,4.125800400041044,1948286.2573888693,1948286.2573888693,1948286.2573888693,1500,2000,-9869.788678345047,0.0
5,5.594430000055581,1935775.1804257524,1935775.1804257524,1935775.1804257524,1496,2500,-9869.788678345047,0.0
6,7.244084100006148,1927058.7335299226,1927058.7335299226,1927058.7335299226,1489,3000,-9869.788678345047,0.0
7,9.052610300015658,1917569.845847187,1917569.845847187,1917569.845847187,1495,3500,-9869.788678345047,0.0
8,10.990798200014979,1906361.8830094507,1906361.8830094507,1906361.8830094507,1494,4000,-9869.788678345047,0.0
9,13.02181509998627,1897109.822011753,1897109.822011753,1897109.822011753,1490,4500,-9869.788678345047,0.0
10,15.26428310002666,1885573.9109200572,1885573.9109200572,1885573.9109200572,1496,5000,-9869.788678345047,0.0
11,17.63251060002949,1877319.4717198333,1877319.4717198333,1877319.4717198333,1486,5500,-9869.788678345047,0.0
12,20.168428600067273,1867134.2557672758,1867134.2557672758,1867134.2557672758,1467,6000,-9869.788678345047,0.0
13,22.85111620009411,1853241.8528408275,1853241.8528408275,1853241.8528408275,1435,6500,-9869.788678345047,0.0
14,25.746982100070454,1840345.2217697024,1840345.2217697024,1840345.2217697024,1392,7000,-9869.788678345047,0.0
15,28.94505730003584,1831236.6425330448,1831236.6425330448,1831236.6425330448,1290,7500,-9869.788678345047,0.0
16,32.10309430002235,1823730.1513692723,1823730.1513692723,1823730.1513692723,1204,8000,-9869.788678345047,0.0
17,35.462567100068554,1815969.720075491,1815969.720075491,1815969.720075491,1195,8500,-9869.788678345047,0.0
18,38.98545590008143,1809524.5992784847,1809524.5992784847,1809524.5992784847,1192,9000,-9869.788678345047,0.0
19,42.56319050001912,1802591.785459199,1802591.785459199,1802591.785459199,1035,9500,-9869.788678345047,0.0
20,46.35188840003684,1794925.3257983413,1794925.3257983413,1794925.3257983413,1033,10000,-9869.788678345047,0.0
