iteration,wall_time,rmp_obj,rmp_lb,best_primal_obj,columns_added_this_iter,pricing_calls_cum,min_reduced_cost_last,dual_norm
1,1.0246684000594541,2017279.4650262692,2017279.4650262692,2017279.4650262692,1500,500,-5979.457325958287,0.0
2,1.6536110000452027,1964824.9511242711,1964824.9511242711,1964824.9511242711,1500,1000,-10264.644761797957,0.0
3,2.5525071000447497,1945151.0646314565,1945151.0646314565,1945151.0646314565,1500,1500,-10264.644761797957,0.0
4,3.7093188000144437,1930142.0848755108,1930142.0848755108,1930142.0848755108,1500,2000,-10264.644761797957,0.0
5,5.216107500018552,1915149.7356516963,1915149.7356516963,1915149.7356516963,1500,2500,-10264.644761797957,0.0
6,6.746521400054917,1904108.721715543,1904108.721715543,1904108.721715543,1491,3000,-10264.644761797957,0.0
7,8.387377000064589,1897056.5211874612,1897056.5211874612,1897056.5211874612,1487,3500,-10264.644761797957,0.0
8,10.268128900090232,1881835.4620258985,1881835.4620258985,1881835.4620258985,1496,4000,-10264.644761797957,0.0
9,12.288998200092465,1872798.704812495,1872798.704812495,1872798.704812495,1490,4500,-10264.644761797957,0.0
10,14.45643270004075,1863304.691953764,1863304.691953764,1863304.691953764,1493,5000,-10264.644761797957,0.0
11,16.81912690005265,1850868.0500899479,1850868.0500899479,1850868.0500899479,1480,5500,-10264.644761797957,0.0
12,19.265049200039357,1840407.198289364,1840407.198289364,1840407.198289364,1463,6000,-10264.644761797957,0.0
13,21.877929100068286,1828058.283319362,1828058.283319362,1828058.283319362,1452,6500,-10264.644761797957,0.0
14,24.690702600055374,1818604.1017972075,1818604.1017972075,1818604.1017972075,1451,7000,-10264.644761797957,0.0
15,27.64820060005877,1809341.3926061508,1809341.3926061508,1809341.3926061508,1333,7500,-10264.644761797957,0.0
16,30.847967100096866,1800148.879428411,1800148.879428411,1800148.879428411,1224,8000,-10264.644761797957,0.0
17,34.20597200002521,1793502.5609441649,1793502.5609441649,1793502.5609441649,1114,8500,-10264.644761797957,0.0
18,37.62250080006197,1787142.9530140557,1787142.9530140557,1787142.9530140557,1126,9000,-10264.644761797957,0.0
19,41.249496200005524,1780116.9233471747,1780116.9233471747,1780116.9233471747,1047,9500,-10264.644761797957,0.0
20,45.098652800079435,1773777.7635217677,1773777.7635217677,1773777.7635217677,1032,10000,-10264.644761797957,0.0
