iteration,wall_time,rmp_obj,rmp_lb,best_primal_obj,columns_added_this_iter,pricing_calls_cum,min_reduced_cost_last,dual_norm
1,1.212023300002329,2039570.5012162286,2039570.5012162286,2039570.5012162286,1500,500,-5999.14642236802,0.0
2,1.8214023999753408,1990855.1158380113,1990855.1158380113,1990855.1158380113,1500,1000,-7146.373976248261,0.0
3,2.6680529000004753,1971355.0739240157,1971355.0739240157,1971355.0739240157,1500,1500,-5950.560898068814,0.0
4,3.6965913999592885,1952565.5031815404,1952565.5031815404,1952565.5031815404,1500,2000,-5856.604473240666,0.0
5,4.91076569998404,1939616.7482982199,1939616.7482982199,1939616.7482982199,1500,2500,-3618.922081722,0.0
6,6.226376199978404,1929650.4419667774,1929650.4419667774,1929650.4419667774,1492,3000,-3531.906118984808,0.0
7,7.624506799969822,1918913.958098528,1918913.958098528,1918913.958098528,1496,3500,-3513.9627461213768,0.0
8,9.070039799960796,1911280.0392046864,1911280.0392046864,1911280.0392046864,1497,4000,-3498.9793195006755,0.0
9,10.637979499995708,1900073.126652668,1900073.126652668,1900073.126652668,1493,4500,-3440.2237786221754,0.0
10,12.28601099998923,1890820.2317061408,1890820.2317061408,1890820.2317061408,1477,5000,-3437.5544406959707,0.0
11,14.056488399975933,1882256.196636184,1882256.196636184,1882256.196636184,1479,5500,-3433.1094895123306,0.0
12,16.088689800002612,1868177.4655650363,1868177.4655650363,1868177.4655650363,1474,6000,-3415.7337309019895,0.0
13,18.0367838999955,1856138.692217049,1856138.692217049,1856138.692217049,1463,6500,-3374.288079826001,0.0
14,20.055147900013253,1845481.8865495771,1845481.8865495771,1845481.8865495771,1461,7000,-3353.2895207212323,0.0
15,22.154294200008735,1836330.2729917092,1836330.2729917092,1836330.2729917092,1418,7500,-3327.054328402471,0.0
16,24.406096099992283,1828065.161387495,1828065.161387495,1828065.161387495,1342,8000,-3295.7830673346034,0.0
17,26.79423489997862,1813601.17903084,1813601.17903084,1813601.17903084,1281,8500,-3152.3153895123305,0.0
18,29.277362099965103,1806880.5700651212,1806880.5700651212,1806880.5700651212,1203,9000,-3131.247021739222,0.0
19,31.90425610000966,1799971.8970315917,1799971.8970315917,1799971.8970315917,1137,9500,-3090.722927384107,0.0
20,34.63321210001595,1793716.1283405097,1793716.1283405097,1793716.1283405097,1052,10000,-3069.019758589616,0.0
21,37.65648249996593,1787241.5068979918,1787241.5068979918,1787241.5068979918,980,10500,-3061.296046158241,0.0
22,40.653590300004,1781114.931785947,1781114.931785947,1781114.931785947,916,11000,-3045.73919873779,0.0
23,43.83227099996293,1775023.6808932417,1775023.6808932417,1775023.6808932417,802,11500,-3007.9547511724004,0.0
24,47.105460199993104,1769026.2059960237,1769026.2059960237,1769026.2059960237,767,12000,-2988.0795987377896,0.0
