iteration,wall_time,rmp_obj,rmp_lb,best_primal_obj,columns_added_this_iter,pricing_calls_cum,min_reduced_cost_last,dual_norm
1,0.6794992000213824,794877.0483261286,794877.0483261286,794877.0483261286,600,200,-5902.913757901737,0.0
2,0.9572031999996398,740538.9085102001,740538.9085102001,740538.9085102001,597,400,-9899.337236855245,0.0
3,1.3391740000224672,727232.0643877772,727232.0643877772,727232.0643877772,597,600,-9899.337236855245,0.0
4,1.8225529000046663,707722.3030550182,707722.3030550182,707722.3030550182,600,800,-9899.337236855245,0.0
5,2.373350300011225,693363.6346633937,693363.6346633937,693363.6346633937,600,1000,-9899.337236855245,0.0
6,2.9895042999996804,682614.7559221432,682614.7559221432,682614.7559221432,597,1200,-9899.337236855245,0.0
7,3.653444199997466,674578.6887753158,674578.6887753158,674578.6887753158,600,1400,-9899.337236855245,0.0
8,4.366613599995617,665005.0167544241,665005.0167544241,665005.0167544241,600,1600,-9899.337236855245,0.0
9,5.120641000015894,658378.0868126715,658378.0868126715,658378.0868126715,600,1800,-9899.337236855245,0.0
10,5.919316300016362,651569.9698869521,651569.9698869521,651569.9698869521,600,2000,-9899.337236855245,0.0
11,6.76444420000189,644272.1159399723,644272.1159399723,644272.1159399723,593,2200,-9899.337236855245,0.0
12,7.701602200017078,637809.1479366317,637809.1479366317,637809.1479366317,571,2400,-9899.337236855245,0.0
13,8.630063400021754,629671.1866269241,629671.1866269241,629671.1866269241,572,2600,-9899.337236855245,0.0
14,9.611526000022423,618755.1650422652,618755.1650422652,618755.1650422652,545,2800,-9899.337236855245,0.0
15,10.637682200002018,610887.9126409227,610887.9126409227,610887.9126409227,578,3000,-9899.337236855245,0.0
16,11.744578300014837,603821.2949145156,603821.2949145156,603821.2949145156,561,3200,-9899.337236855245,0.0
17,12.884556900011376,598335.1662360403,598335.1662360403,598335.1662360403,534,3400,-9899.337236855245,0.0
18,14.084286900004372,592934.776838031,592934.776838031,592934.776838031,513,3600,-9899.337236855245,0.0
19,15.356838700012304,586548.3166424365,586548.3166424365,586548.3166424365,466,3800,-9899.337236855245,0.0
20,16.682233100000303,582343.2860297952,582343.2860297952,582343.2860297952,440,4000,-9899.337236855245,0.0
21,18.119728899997426,578192.612885094,578192.612885094,578192.612885094,418,4200,-9899.337236855245,0.0
22,19.603873800020665,574158.9394662967,574158.9394662967,574158.9394662967,415,4400,-9899.337236855245,0.0
23,21.13023239999893,570174.9289771273,570174.9289771273,570174.9289771273,325,4600,-9899.337236855245,0.0
24,22.688734700001078,566171.2807127907,566171.2807127907,566171.2807127907,373,4800,-9899.337236855245,0.0
25,24.305445200006943,561834.5118673048,561834.5118673048,561834.5118673048,307,5000,-9899.337236855245,0.0
26,25.951420500001404,557969.1032966614,557969.1032966614,557969.1032966614,339,5200,-9899.337236855245,0.0
27,27.621432100015227,554166.6747648974,554166.6747648974,554166.6747648974,313,5400,-9899.337236855245,0.0
28,29.36461980000604,550355.8579466825,550355.8579466825,550355.8579466825,294,5600,-9899.337236855245,0.0
29,31.128891800006386,546598.2971416247,546598.2971416247,546598.2971416247,246,5800,-9899.337236855245,0.0
30,32.91378380000242,542874.6995186805,542874.6995186805,542874.6995186805,204,6000,-9899.337236855245,0.0
31,34.74328670001705,539167.6269192378,539167.6269192378,539167.6269192378,215,6200,-9899.337236855245,0.0
32,36.61757960001705,535492.0778603456,535492.0778603456,535492.0778603456,164,6400,-9899.337236855245,0.0
33,38.49276650001411,531892.0778758134,531892.0778758134,531892.0778758134,122,6600,-9899.337236855245,0.0
34,40.514041100017494,528340.9977931012,528340.9977931012,528340.9977931012,193,6800,-9899.337236855245,0.0
35,42.538818300003186,525657.6438980955,525657.6438980955,525657.6438980955,104,7000,-9899.337236855245,0.0
36,44.529802000004565,525406.7275334807,525406.7275334807,525406.7275334807,87,7200,-9899.337236855245,0.0
37,46.527484000020195,525405.365134575,525405.365134575,525405.365134575,78,7400,-9899.337236855245,0.0
38,48.57873629999813,525405.365134575,525405.365134575,525405.365134575,93,7600,-9899.337236855245,0.0
39,50.55648140000994,525405.3651274928,525405.3651274928,525405.3651274928,76,7800,-9899.337236855245,0.0
40,52.58477210000274,525405.3651219927,525405.3651219927,525405.3651219927,68,8000,-9899.337236855245,0.0
41,54.704392500018,525404.9182598433,525404.9182598433,525404.9182598433,58,8200,-9899.337236855245,0.0
42,56.83840770000825,525404.9182497268,525404.9182497268,525404.9182497268,45,8400,-9899.337236855245,0.0
43,58.92843860000721,525404.9182704149,525404.9182704149,525404.9182704149,104,8600,-9899.337236855245,0.0
44,61.056732900004135,525404.9182623555,525404.9182623555,525404.9182623555,129,8800,-9899.337236855245,0.0
45,63.15869900002144,525404.918239089,525404.918239089,525404.918239089,55,9000,-9899.337236855245,0.0
46,65.27258839999558,525404.9182349477,525404.9182349477,525404.9182349477,39,9200,-9899.337236855245,0.0
47,67.4464508999954,525404.9182520611,525404.9182520611,525404.9182520611,188,9400,-9899.337236855245,0.0
48,69.65935530001298,525404.9182584881,525404.9182584881,525404.9182584881,52,9600,-9899.337236855245,0.0
49,71.91376320002018,525404.9182100369,525404.9182100369,525404.9182100369,13,9800,-9899.337236855245,0.0
50,74.15818379999837,525404.9182496069,525404.9182496069,525404.9182496069,50,10000,-9899.337236855245,0.0
51,76.3452853000199,525404.9182566066,525404.9182566066,525404.9182566066,92,10200,-9899.337236855245,0.0
52,78.52561640000204,525404.9182449618,525404.9182449618,525404.9182449618,34,10400,-9899.337236855245,0.0
53,80.70503330000793,525404.9182514768,525404.9182514768,525404.9182514768,12,10600,-9899.337236855245,0.0
54,82.90352900000289,525404.9182378917,525404.9182378917,525404.9182378917,86,10800,-9899.337236855245,0.0
55,85.16800629999489,525404.9182343107,525404.9182343107,525404.9182343107,62,11000,-9899.337236855245,0.0
56,87.40171780000674,525404.9182282973,525404.9182282973,525404.9182282973,24,11200,-9899.337236855245,0.0
57,89.59645169999567,525404.9182299819,525404.9182299819,525404.9182299819,10,11400,-9899.337236855245,0.0
58,91.82021880001412,525404.91821555,525404.91821555,525404.91821555,29,11600,-9899.337236855245,0.0
59,94.09745689999545,525404.9182405008,525404.9182405008,525404.9182405008,25,11800,-9899.337236855245,0.0
60,96.26503300000331,525404.9182317676,525404.9182317676,525404.9182317676,13,12000,-9899.337236855245,0.0
